quote,quote_url,author,author_url
"You can't help getting older, but you don't have to get old.",https://www.brainyquote.com/quotes/george_burns_103932?src=t_age,George Burns,https://www.brainyquote.com/authors/george-burns-quotes
"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",https://www.brainyquote.com/quotes/mark_twain_103892?src=t_age,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"Youth is the gift of nature, but age is a work of art.",https://www.brainyquote.com/quotes/stanislaw_jerzy_lec_120623?src=t_age,Stanislaw Jerzy Lec,https://www.brainyquote.com/authors/stanislaw-jerzy-lec-quotes
"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.",https://www.brainyquote.com/quotes/henry_ford_103927?src=t_age,Henry Ford,https://www.brainyquote.com/authors/henry-ford-quotes
"As I grow older, I pay less attention to what men say. I just watch what they do.",https://www.brainyquote.com/quotes/andrew_carnegie_106123?src=t_age,Andrew Carnegie,https://www.brainyquote.com/authors/andrew-carnegie-quotes
True terror is to wake up one morning and discover that your high school class is running the country.,https://www.brainyquote.com/quotes/kurt_vonnegut_103944?src=t_age,Kurt Vonnegut,https://www.brainyquote.com/authors/kurt-vonnegut-quotes
I don't feel old. I don't feel anything till noon. That's when it's time for my nap.,https://www.brainyquote.com/quotes/bob_hope_128183?src=t_age,Bob Hope,https://www.brainyquote.com/authors/bob-hope-quotes
Youth is wasted on the young.,https://www.brainyquote.com/quotes/george_bernard_shaw_131494?src=t_age,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
Forty is the old age of youth; fifty the youth of old age.,https://www.brainyquote.com/quotes/victor_hugo_103906?src=t_age,Victor Hugo,https://www.brainyquote.com/authors/victor-hugo-quotes
Aging is not lost youth but a new stage of opportunity and strength.,https://www.brainyquote.com/quotes/betty_friedan_383994?src=t_age,Betty Friedan,https://www.brainyquote.com/authors/betty-friedan-quotes
"Just remember, once you're over the hill you begin to pick up speed.",https://www.brainyquote.com/quotes/arthur_schopenhauer_119081?src=t_age,Arthur Schopenhauer,https://www.brainyquote.com/authors/arthur-schopenhauer-quotes
I'm happy to report that my inner child is still ageless.,https://www.brainyquote.com/quotes/james_broughton_295295?src=t_age,James Broughton,https://www.brainyquote.com/authors/james-broughton-quotes
"There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.",https://www.brainyquote.com/quotes/sophia_loren_120970?src=t_age,Sophia Loren,https://www.brainyquote.com/authors/sophia-loren-quotes
"Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.",https://www.brainyquote.com/quotes/samuel_ullman_103893?src=t_age,Samuel Ullman,https://www.brainyquote.com/authors/samuel-ullman-quotes
Old age is no place for sissies.,https://www.brainyquote.com/quotes/bette_davis_126805?src=t_age,Bette Davis,https://www.brainyquote.com/authors/bette-davis-quotes
"Do not go gentle into that good night but rage, rage against the dying of the light.",https://www.brainyquote.com/quotes/dylan_thomas_101660?src=t_age,Dylan Thomas,https://www.brainyquote.com/authors/dylan-thomas-quotes
"Men are like wine - some turn to vinegar, but the best improve with age.",https://www.brainyquote.com/quotes/pope_john_xxiii_137073?src=t_age,Pope John XXIII,https://www.brainyquote.com/authors/pope-john-xxiii-quotes
A diplomat is a man who always remembers a woman's birthday but never remembers her age.,https://www.brainyquote.com/quotes/robert_frost_107290?src=t_age,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
Age is a very high price to pay for maturity.,https://www.brainyquote.com/quotes/tom_stoppard_114140?src=t_age,Tom Stoppard,https://www.brainyquote.com/authors/tom-stoppard-quotes
Every time I paint a portrait I lose a friend.,https://www.brainyquote.com/quotes/john_singer_sargent_201939?src=t_age,John Singer Sargent,https://www.brainyquote.com/authors/john-singer-sargent-quotes
"Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.",https://www.brainyquote.com/quotes/golda_meir_131892?src=t_age,Golda Meir,https://www.brainyquote.com/authors/golda-meir-quotes
"Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.",https://www.brainyquote.com/quotes/confucius_119277?src=t_age,Confucius,https://www.brainyquote.com/authors/confucius-quotes
In youth we run into difficulties. In old age difficulties run into us.,https://www.brainyquote.com/quotes/josh_billings_119141?src=t_age,Josh Billings,https://www.brainyquote.com/authors/josh-billings-quotes
Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.,https://www.brainyquote.com/quotes/sam_ewing_103896?src=t_age,Sam Ewing,https://www.brainyquote.com/authors/sam-ewing-quotes
Old minds are like old horses; you must exercise them if you wish to keep them in working order.,https://www.brainyquote.com/quotes/john_adams_148176?src=t_age,John Adams,https://www.brainyquote.com/authors/john-adams-quotes
"The secret of staying young is to live honestly, eat slowly, and lie about your age.",https://www.brainyquote.com/quotes/lucille_ball_136031?src=t_age,Lucille Ball,https://www.brainyquote.com/authors/lucille-ball-quotes
"It is not how old you are, but how you are old.",https://www.brainyquote.com/quotes/jules_renard_119986?src=t_age,Jules Renard,https://www.brainyquote.com/authors/jules-renard-quotes
You should never reveal your true age.,https://www.brainyquote.com/quotes/eve_arnold_489369?src=t_age,Eve Arnold,https://www.brainyquote.com/authors/eve-arnold-quotes
"To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.",https://www.brainyquote.com/quotes/thomas_bailey_aldrich_388760?src=t_age,Thomas Bailey Aldrich,https://www.brainyquote.com/authors/thomas-bailey-aldrich-quotes
"Age does not protect you from love. But love, to some extent, protects you from age.",https://www.brainyquote.com/quotes/anais_nin_143127?src=t_age,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
None are so old as those who have outlived enthusiasm.,https://www.brainyquote.com/quotes/henry_david_thoreau_103923?src=t_age,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
A man growing old becomes a child again.,https://www.brainyquote.com/quotes/sophocles_395430?src=t_age,Sophocles,https://www.brainyquote.com/authors/sophocles-quotes
Youth is when you're allowed to stay up late on New Year's Eve. Middle age is when you're forced to.,https://www.brainyquote.com/quotes/bill_vaughan_103943?src=t_age,Bill Vaughan,https://www.brainyquote.com/authors/bill-vaughan-quotes
"Every man desires to live long, but no man wishes to be old.",https://www.brainyquote.com/quotes/jonathan_swift_382820?src=t_age,Jonathan Swift,https://www.brainyquote.com/authors/jonathan-swift-quotes
The trick is growing up without growing old.,https://www.brainyquote.com/quotes/casey_stengel_103935?src=t_age,Casey Stengel,https://www.brainyquote.com/authors/casey-stengel-quotes
"As men get older, the toys get more expensive.",https://www.brainyquote.com/quotes/marvin_davis_111675?src=t_age,Marvin Davis,https://www.brainyquote.com/authors/marvin-davis-quotes
Preparation for old age should begin not later than one's teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.,https://www.brainyquote.com/quotes/dwight_l_moody_119367?src=t_age,Dwight L. Moody,https://www.brainyquote.com/authors/dwight-l-moody-quotes
"The old believe everything, the middle-aged suspect everything, the young know everything.",https://www.brainyquote.com/quotes/oscar_wilde_138415?src=t_age,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"Let age, not envy, draw wrinkles on thy cheeks.",https://www.brainyquote.com/quotes/thomas_browne_150234?src=t_age,Thomas Browne,https://www.brainyquote.com/authors/thomas-browne-quotes
"In youth, the days are short and the years are long. In old age, the years are short and days long.",https://www.brainyquote.com/quotes/pope_paul_vi_120382?src=t_age,Pope Paul VI,https://www.brainyquote.com/authors/pope-paul-vi-quotes
