quote,quote_url,author,author_url
I restore myself when I'm alone.,https://www.brainyquote.com/quotes/marilyn_monroe_380350?src=t_alone,Marilyn Monroe,https://www.brainyquote.com/authors/marilyn-monroe-quotes
Alone we can do so little; together we can do so much.,https://www.brainyquote.com/quotes/helen_keller_382259?src=t_alone,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
The time you feel lonely is the time you most need to be by yourself.,https://www.brainyquote.com/quotes/douglas_coupland_411420?src=t_alone,Douglas Coupland,https://www.brainyquote.com/authors/douglas-coupland-quotes
The strongest man in the world is he who stands most alone.,https://www.brainyquote.com/quotes/henrik_ibsen_382771?src=t_alone,Henrik Ibsen,https://www.brainyquote.com/authors/henrik-ibsen-quotes
"If you are lonely when you're alone, you are in bad company.",https://www.brainyquote.com/quotes/jeanpaul_sartre_382887?src=t_alone,Jean-Paul Sartre,https://www.brainyquote.com/authors/jean-paul-sartre-quotes
Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,https://www.brainyquote.com/quotes/henry_rollins_381421?src=t_alone,Henry Rollins,https://www.brainyquote.com/authors/henry-rollins-quotes
"It is far better to be alone, than to be in bad company.",https://www.brainyquote.com/quotes/george_washington_109673?src=t_alone,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
Solitude vivifies; isolation kills.,https://www.brainyquote.com/quotes/joseph_roux_101753?src=t_alone,Joseph Roux,https://www.brainyquote.com/authors/joseph-roux-quotes
You only grow when you are alone.,https://www.brainyquote.com/quotes/paul_newman_109368?src=t_alone,Paul Newman,https://www.brainyquote.com/authors/paul-newman-quotes
"Let your mind alone, and see what happens.",https://www.brainyquote.com/quotes/virgil_thomson_114309?src=t_alone,Virgil Thomson,https://www.brainyquote.com/authors/virgil-thomson-quotes
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,https://www.brainyquote.com/quotes/a_p_j_abdul_kalam_179896?src=t_alone,A. P. J. Abdul Kalam,https://www.brainyquote.com/authors/a-p-j-abdul-kalam-quotes
Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,https://www.brainyquote.com/quotes/anne_hathaway_443627?src=t_alone,Anne Hathaway,https://www.brainyquote.com/authors/anne-hathaway-quotes
All men's miseries derive from not being able to sit in a quiet room alone.,https://www.brainyquote.com/quotes/blaise_pascal_133380?src=t_alone,Blaise Pascal,https://www.brainyquote.com/authors/blaise-pascal-quotes
To live alone is the fate of all great souls.,https://www.brainyquote.com/quotes/arthur_schopenhauer_377750?src=t_alone,Arthur Schopenhauer,https://www.brainyquote.com/authors/arthur-schopenhauer-quotes
