quote,quote_url,author,author_url
It is amazing what you can accomplish if you do not care who gets the credit.,https://www.brainyquote.com/quotes/harry_s_truman_109615?src=t_amazing,Harry S Truman,https://www.brainyquote.com/authors/harry-s-truman-quotes
"Work hard, be kind, and amazing things will happen.",https://www.brainyquote.com/quotes/conan_obrien_452010?src=t_amazing,Conan O'Brien,https://www.brainyquote.com/authors/conan-obrien-quotes
"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things.",https://www.brainyquote.com/quotes/joe_namath_163808?src=t_amazing,Joe Namath,https://www.brainyquote.com/authors/joe-namath-quotes
"Isn't it amazing that we are all made in God's image, and yet there is so much diversity among his people?",https://www.brainyquote.com/quotes/desmond_tutu_454144?src=t_amazing,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
"The thing that is really hard, and really amazing, is giving up on being perfect and beginning the work of becoming yourself.",https://www.brainyquote.com/quotes/anna_quindlen_390536?src=t_amazing,Anna Quindlen,https://www.brainyquote.com/authors/anna-quindlen-quotes
"If you set goals and go after them with all the determination you can muster, your gifts will take you places that will amaze you.",https://www.brainyquote.com/quotes/les_brown_391112?src=t_amazing,Les Brown,https://www.brainyquote.com/authors/les-brown-quotes
It's amazing how much you can learn if your intentions are truly earnest.,https://www.brainyquote.com/quotes/chuck_berry_167442?src=t_amazing,Chuck Berry,https://www.brainyquote.com/authors/chuck-berry-quotes
Amazement awaits us at every corner.,https://www.brainyquote.com/quotes/james_broughton_295278?src=t_amazing,James Broughton,https://www.brainyquote.com/authors/james-broughton-quotes
There are amazingly wonderful people in all walks of life; some familiar to us and others not. Stretch yourself and really get to know people. People are in many ways one of our greatest treasures.,https://www.brainyquote.com/quotes/bryant_h_mcgill_168273?src=t_amazing,Bryant H. McGill,https://www.brainyquote.com/authors/bryant-h-mcgill-quotes
"When you're true to who you are, amazing things happen.",https://www.brainyquote.com/quotes/deborah_norville_445627?src=t_amazing,Deborah Norville,https://www.brainyquote.com/authors/deborah-norville-quotes
Listen once in a while. It's amazing what you can hear.,https://www.brainyquote.com/quotes/russell_baker_468382?src=t_amazing,Russell Baker,https://www.brainyquote.com/authors/russell-baker-quotes
"If you tell people where to go, but not how to get there, you'll be amazed at the results.",https://www.brainyquote.com/quotes/george_s_patton_124616?src=t_amazing,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
"With love, you should go ahead and take the risk of getting hurt because love is an amazing feeling.",https://www.brainyquote.com/quotes/britney_spears_391449?src=t_amazing,Britney Spears,https://www.brainyquote.com/authors/britney-spears-quotes
It's amazing how a competitive nature can turn a negative into something positive.,https://www.brainyquote.com/quotes/barry_mann_216313?src=t_amazing,Barry Mann,https://www.brainyquote.com/authors/barry-mann-quotes
"It's amazing how, over time, a person's perspective can be altered.",https://www.brainyquote.com/quotes/fred_durst_433215?src=t_amazing,Fred Durst,https://www.brainyquote.com/authors/fred-durst-quotes
You will never cease to be the most amazed person on earth at what God has done for you on the inside.,https://www.brainyquote.com/quotes/oswald_chambers_386879?src=t_amazing,Oswald Chambers,https://www.brainyquote.com/authors/oswald-chambers-quotes
It's such an amazing thing to be loved for who you are.,https://www.brainyquote.com/quotes/debra_winger_445655?src=t_amazing,Debra Winger,https://www.brainyquote.com/authors/debra-winger-quotes
The body is an amazing machine... If you eat the right things your body will perform incredibly well!,https://www.brainyquote.com/quotes/shawn_johnson_425460?src=t_amazing,Shawn Johnson,https://www.brainyquote.com/authors/shawn-johnson-quotes
"I play a musical instrument a little, but only for my own amazement.",https://www.brainyquote.com/quotes/fred_allen_383694?src=t_amazing,Fred Allen,https://www.brainyquote.com/authors/fred-allen-quotes
It's amazing the clarity that comes with psychotic jealousy.,https://www.brainyquote.com/quotes/rupert_everett_381830?src=t_amazing,Rupert Everett,https://www.brainyquote.com/authors/rupert-everett-quotes
It's amazing how good getting up and moving makes you feel.,https://www.brainyquote.com/quotes/paula_deen_431859?src=t_amazing,Paula Deen,https://www.brainyquote.com/authors/paula-deen-quotes
Isn't it amazing the way the future succeeds in creating an appropriate past?,https://www.brainyquote.com/quotes/john_leonard_108292?src=t_amazing,John Leonard,https://www.brainyquote.com/authors/john-leonard-quotes
People must feel that the natural world is important and valuable and beautiful and wonderful and an amazement and a pleasure.,https://www.brainyquote.com/quotes/david_attenborough_214804?src=t_amazing,David Attenborough,https://www.brainyquote.com/authors/david-attenborough-quotes
It's amazing how much trouble you can get in when you don't have anything else to do.,https://www.brainyquote.com/quotes/quincy_jones_300512?src=t_amazing,Quincy Jones,https://www.brainyquote.com/authors/quincy-jones-quotes
The amazing fact is that America is founded on a document. It's a work in progress. It can be tested by each generation.,https://www.brainyquote.com/quotes/christopher_hitchens_472315?src=t_amazing,Christopher Hitchens,https://www.brainyquote.com/authors/christopher-hitchens-quotes
I'm not a kid anymore. And I'm excited for all the amazing things to come.,https://www.brainyquote.com/quotes/paris_hilton_415095?src=t_amazing,Paris Hilton,https://www.brainyquote.com/authors/paris-hilton-quotes
I think having children is the most amazing thing.,https://www.brainyquote.com/quotes/rachel_stevens_434018?src=t_amazing,Rachel Stevens,https://www.brainyquote.com/authors/rachel-stevens-quotes
It's amazing what ordinary people can do if they set out without preconceived notions.,https://www.brainyquote.com/quotes/ben_stein_120870?src=t_amazing,Ben Stein,https://www.brainyquote.com/authors/ben-stein-quotes
I am constantly amazed by Tina Fey. And I am Tina Fey.,https://www.brainyquote.com/quotes/tina_fey_414047?src=t_amazing,Tina Fey,https://www.brainyquote.com/authors/tina-fey-quotes
"When the shriveled skin of the ordinary is stuffed out with meaning, it satisfies the senses amazingly.",https://www.brainyquote.com/quotes/virginia_woolf_147065?src=t_amazing,Virginia Woolf,https://www.brainyquote.com/authors/virginia-woolf-quotes
Nothing amazes me anymore.,https://www.brainyquote.com/quotes/david_beckham_379819?src=t_amazing,David Beckham,https://www.brainyquote.com/authors/david-beckham-quotes
Words to me were magic. You could say a word and it could conjure up all kinds of images or feelings or a chilly sensation or whatever. It was amazing to me that words had this power.,https://www.brainyquote.com/quotes/amy_tan_269478?src=t_amazing,Amy Tan,https://www.brainyquote.com/authors/amy-tan-quotes
It's amazing where the paranoid mind can take you.,https://www.brainyquote.com/quotes/bill_ayers_458107?src=t_amazing,Bill Ayers,https://www.brainyquote.com/authors/bill-ayers-quotes
The '60s were an amazing time.,https://www.brainyquote.com/quotes/peter_max_376382?src=t_amazing,Peter Max,https://www.brainyquote.com/authors/peter-max-quotes
It's amazing how stress keeps you trim.,https://www.brainyquote.com/quotes/peter_andre_433995?src=t_amazing,Peter Andre,https://www.brainyquote.com/authors/peter-andre-quotes
"When it's over, I want to say: all my life I was a bride married to amazement. I was the bridegroom, taking the world into my arms.",https://www.brainyquote.com/quotes/mary_oliver_170185?src=t_amazing,Mary Oliver,https://www.brainyquote.com/authors/mary-oliver-quotes
People never cease to amaze me.,https://www.brainyquote.com/quotes/tina_yothers_356221?src=t_amazing,Tina Yothers,https://www.brainyquote.com/authors/tina-yothers-quotes
"It's amazing how ideas start out, isn't it?",https://www.brainyquote.com/quotes/nigel_farage_423546?src=t_amazing,Nigel Farage,https://www.brainyquote.com/authors/nigel-farage-quotes
"If you dream of something worth doing and then simply go to work on it and don't think anything of personalities, or emotional conflicts, or of money, or of family distractions; it is amazing how quickly you get through those 5,000 steps.",https://www.brainyquote.com/quotes/edwin_land_199293?src=t_amazing,Edwin Land,https://www.brainyquote.com/authors/edwin-land-quotes
I am indeed amazed when I consider how weak my mind is and how prone to error.,https://www.brainyquote.com/quotes/rene_descartes_384770?src=t_amazing,Rene Descartes,https://www.brainyquote.com/authors/rene-descartes-quotes
The body can do amazing things in a situation when it is really called for.,https://www.brainyquote.com/quotes/suzanne_farrell_209167?src=t_amazing,Suzanne Farrell,https://www.brainyquote.com/authors/suzanne-farrell-quotes
"Considering the amount of information we're bombarded by, it's amazing if a song can transcend time.",https://www.brainyquote.com/quotes/michael_bolton_376498?src=t_amazing,Michael Bolton,https://www.brainyquote.com/authors/michael-bolton-quotes
People like Frank Zappa were amazing for us Brits.,https://www.brainyquote.com/quotes/rick_wakeman_308037?src=t_amazing,Rick Wakeman,https://www.brainyquote.com/authors/rick-wakeman-quotes
"As far as the public is concerned, India is amazingly secular.",https://www.brainyquote.com/quotes/shah_rukh_khan_442119?src=t_amazing,Shah Rukh Khan,https://www.brainyquote.com/authors/shah-rukh-khan-quotes
"There are a lot of people with a lot of money, and I'm amazed they don't understand what a great pleasure it can be to give.",https://www.brainyquote.com/quotes/robert_mondavi_256053?src=t_amazing,Robert Mondavi,https://www.brainyquote.com/authors/robert-mondavi-quotes
"The truth sets you free. It's a very liberating thing, when you say this is who I am warts and all and then you can just get on with life. It's amazing.",https://www.brainyquote.com/quotes/geri_halliwell_271321?src=t_amazing,Geri Halliwell,https://www.brainyquote.com/authors/geri-halliwell-quotes
I have amazing friends who have led inspirational lives.,https://www.brainyquote.com/quotes/andrew_shue_214115?src=t_amazing,Andrew Shue,https://www.brainyquote.com/authors/andrew-shue-quotes
