quote,quote_url,author,author_url
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.,https://www.brainyquote.com/quotes/buddha_104025?src=t_anger,Buddha,https://www.brainyquote.com/authors/buddha-quotes
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,https://www.brainyquote.com/quotes/mark_twain_120156?src=t_anger,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.",https://www.brainyquote.com/quotes/aristotle_132211?src=t_anger,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"Let us not look back in anger, nor forward in fear, but around in awareness.",https://www.brainyquote.com/quotes/james_thurber_106488?src=t_anger,James Thurber,https://www.brainyquote.com/authors/james-thurber-quotes
Speak when you are angry - and you'll make the best speech you'll ever regret.,https://www.brainyquote.com/quotes/laurence_j_peter_138443?src=t_anger,Laurence J. Peter,https://www.brainyquote.com/authors/laurence-j-peter-quotes
"I don't usually lose my temper, but if I get angry, it's true - I'm scary.",https://www.brainyquote.com/quotes/eva_mendes_417176?src=t_anger,Eva Mendes,https://www.brainyquote.com/authors/eva-mendes-quotes
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive.",https://www.brainyquote.com/quotes/lee_iacocca_138442?src=t_anger,Lee Iacocca,https://www.brainyquote.com/authors/lee-iacocca-quotes
"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.",https://www.brainyquote.com/quotes/joel_osteen_579093?src=t_anger,Joel Osteen,https://www.brainyquote.com/authors/joel-osteen-quotes
Keep your temper. A decision made in anger is never sound.,https://www.brainyquote.com/quotes/ford_frick_330333?src=t_anger,Ford Frick,https://www.brainyquote.com/authors/ford-frick-quotes
"When anger rises, think of the consequences.",https://www.brainyquote.com/quotes/confucius_132199?src=t_anger,Confucius,https://www.brainyquote.com/authors/confucius-quotes
Violence is the last refuge of the incompetent.,https://www.brainyquote.com/quotes/isaac_asimov_133913?src=t_anger,Isaac Asimov,https://www.brainyquote.com/authors/isaac-asimov-quotes
"When angry count to ten before you speak. If very angry, count to one hundred.",https://www.brainyquote.com/quotes/thomas_jefferson_132201?src=t_anger,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
I am a danger to myself if I get angry.,https://www.brainyquote.com/quotes/oriana_fallaci_336477?src=t_anger,Oriana Fallaci,https://www.brainyquote.com/authors/oriana-fallaci-quotes
Discussion is an exchange of knowledge; an argument an exchange of ignorance.,https://www.brainyquote.com/quotes/robert_quillen_132520?src=t_anger,Robert Quillen,https://www.brainyquote.com/authors/robert-quillen-quotes
I shall allow no man to belittle my soul by making me hate him.,https://www.brainyquote.com/quotes/booker_t_washington_105621?src=t_anger,Booker T. Washington,https://www.brainyquote.com/authors/booker-t-washington-quotes
"Heaven has no rage like love to hatred turned, nor hell a fury like a woman scorned.",https://www.brainyquote.com/quotes/william_congreve_100903?src=t_anger,William Congreve,https://www.brainyquote.com/authors/william-congreve-quotes
"Sometimes, you have to get angry to get things done.",https://www.brainyquote.com/quotes/ang_lee_466717?src=t_anger,Ang Lee,https://www.brainyquote.com/authors/ang-lee-quotes
Anger is a wind which blows out the lamp of the mind.,https://www.brainyquote.com/quotes/robert_green_ingersoll_149228?src=t_anger,Robert Green Ingersoll,https://www.brainyquote.com/authors/robert-green-ingersoll-quotes
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.,https://www.brainyquote.com/quotes/maya_angelou_148635?src=t_anger,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
How much more grievous are the consequences of anger than the causes of it.,https://www.brainyquote.com/quotes/marcus_aurelius_100900?src=t_anger,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
"While seeking revenge, dig two graves - one for yourself.",https://www.brainyquote.com/quotes/douglas_horton_108526?src=t_anger,Douglas Horton,https://www.brainyquote.com/authors/douglas-horton-quotes
People won't have time for you if you are always angry or complaining.,https://www.brainyquote.com/quotes/stephen_hawking_447593?src=t_anger,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
"There are two things a person should never be angry at, what they can help, and what they cannot.",https://www.brainyquote.com/quotes/plato_120361?src=t_anger,Plato,https://www.brainyquote.com/authors/plato-quotes
Whatever is begun in anger ends in shame.,https://www.brainyquote.com/quotes/benjamin_franklin_103758?src=t_anger,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"The flame of anger, bright and brief, sharpens the barb of love.",https://www.brainyquote.com/quotes/walter_savage_landor_151102?src=t_anger,Walter Savage Landor,https://www.brainyquote.com/authors/walter-savage-landor-quotes
Silence is one of the hardest arguments to refute.,https://www.brainyquote.com/quotes/josh_billings_100690?src=t_anger,Josh Billings,https://www.brainyquote.com/authors/josh-billings-quotes
"For every minute you remain angry, you give up sixty seconds of peace of mind.",https://www.brainyquote.com/quotes/ralph_waldo_emerson_120981?src=t_anger,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
"Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_155019?src=t_anger,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
Anger and intolerance are the enemies of correct understanding.,https://www.brainyquote.com/quotes/mahatma_gandhi_125866?src=t_anger,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger.",https://www.brainyquote.com/quotes/epictetus_132883?src=t_anger,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
He who angers you conquers you.,https://www.brainyquote.com/quotes/elizabeth_kenny_100902?src=t_anger,Elizabeth Kenny,https://www.brainyquote.com/authors/elizabeth-kenny-quotes
Ridicule is the first and last argument of a fool.,https://www.brainyquote.com/quotes/charles_simmons_379438?src=t_anger,Charles Simmons,https://www.brainyquote.com/authors/charles-simmons-quotes
"If you get down and quarell everyday, you're saying prayers to the devil, I say.",https://www.brainyquote.com/quotes/bob_marley_167090?src=t_anger,Bob Marley,https://www.brainyquote.com/authors/bob-marley-quotes
"Get mad, then get over it.",https://www.brainyquote.com/quotes/colin_powell_104016?src=t_anger,Colin Powell,https://www.brainyquote.com/authors/colin-powell-quotes
A man that studieth revenge keeps his own wounds green.,https://www.brainyquote.com/quotes/francis_bacon_133639?src=t_anger,Francis Bacon,https://www.brainyquote.com/authors/francis-bacon-quotes
"Fear is the only true enemy, born of ignorance and the parent of anger and hate.",https://www.brainyquote.com/quotes/edward_albert_217654?src=t_anger,Edward Albert,https://www.brainyquote.com/authors/edward-albert-quotes
Keep cool; anger is not an argument.,https://www.brainyquote.com/quotes/daniel_webster_379808?src=t_anger,Daniel Webster,https://www.brainyquote.com/authors/daniel-webster-quotes
"There's a natural law of karma that vindictive people, who go out of their way to hurt others, will end up broke and alone.",https://www.brainyquote.com/quotes/sylvester_stallone_584128?src=t_anger,Sylvester Stallone,https://www.brainyquote.com/authors/sylvester-stallone-quotes
