quote,quote_url,author,author_url
May you live all the days of your life.,https://www.brainyquote.com/quotes/jonathan_swift_101069?src=t_anniversary,Jonathan Swift,https://www.brainyquote.com/authors/jonathan-swift-quotes
"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person.",https://www.brainyquote.com/quotes/w_somerset_maugham_106565?src=t_anniversary,W. Somerset Maugham,https://www.brainyquote.com/authors/w-somerset-maugham-quotes
"You were made perfectly to be loved - and surely I have loved you, in the idea of you, my whole life long.",https://www.brainyquote.com/quotes/elizabeth_barrett_brownin_108885?src=t_anniversary,Elizabeth Barrett Browning,https://www.brainyquote.com/authors/elizabeth-barrett-brownin-quotes
"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.",https://www.brainyquote.com/quotes/martin_luther_138958?src=t_anniversary,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
May you live as long as you wish and love as long as you live.,https://www.brainyquote.com/quotes/robert_a_heinlein_125799?src=t_anniversary,Robert A. Heinlein,https://www.brainyquote.com/authors/robert-a-heinlein-quotes
"Marriage is an alliance entered into by a man who can't sleep with the window shut, and a woman who can't sleep with the window open.",https://www.brainyquote.com/quotes/george_bernard_shaw_106669?src=t_anniversary,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
"Some people ask the secret of our long marriage. We take time to go to a restaurant two times a week. A little candlelight, dinner, soft music and dancing. She goes Tuesdays, I go Fridays.",https://www.brainyquote.com/quotes/henny_youngman_128914?src=t_anniversary,Henny Youngman,https://www.brainyquote.com/authors/henny-youngman-quotes
"A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.",https://www.brainyquote.com/quotes/paul_sweeney_106622?src=t_anniversary,Paul Sweeney,https://www.brainyquote.com/authors/paul-sweeney-quotes
The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.,https://www.brainyquote.com/quotes/julia_child_442469?src=t_anniversary,Julia Child,https://www.brainyquote.com/authors/julia-child-quotes
"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship.",https://www.brainyquote.com/quotes/marilyn_monroe_498653?src=t_anniversary,Marilyn Monroe,https://www.brainyquote.com/authors/marilyn-monroe-quotes
"Love grows more tremendously full, swift, poignant, as the years multiply.",https://www.brainyquote.com/quotes/zane_grey_306878?src=t_anniversary,Zane Grey,https://www.brainyquote.com/authors/zane-grey-quotes
"Yes, it was love at first sight. I feel that after all these years, I have finally found my soul mate.",https://www.brainyquote.com/quotes/barbara_hershey_298664?src=t_anniversary,Barbara Hershey,https://www.brainyquote.com/authors/barbara-hershey-quotes
"Chains do not hold a marriage together. It is threads, hundreds of tiny threads, which sew people together through the years.",https://www.brainyquote.com/quotes/simone_signoret_145682?src=t_anniversary,Simone Signoret,https://www.brainyquote.com/authors/simone-signoret-quotes
Love is not weakness. It is strong. Only the sacrament of marriage can contain it.,https://www.brainyquote.com/quotes/boris_pasternak_116658?src=t_anniversary,Boris Pasternak,https://www.brainyquote.com/authors/boris-pasternak-quotes
"Marriage is an act of will that signifies and involves a mutual gift, which unites the spouses and binds them to their eventual souls, with whom they make up a sole family - a domestic church.",https://www.brainyquote.com/quotes/pope_john_paul_ii_158582?src=t_anniversary,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
"I love my wife, she deserves anything and everything.",https://www.brainyquote.com/quotes/aaron_spelling_195907?src=t_anniversary,Aaron Spelling,https://www.brainyquote.com/authors/aaron-spelling-quotes
