quote,quote_url,author,author_url
It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time.,https://www.brainyquote.com/quotes/david_allan_coe_204305?src=t_architecture,David Allan Coe,https://www.brainyquote.com/authors/david-allan-coe-quotes
We shape our buildings; thereafter they shape us.,https://www.brainyquote.com/quotes/winston_churchill_111316?src=t_architecture,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
Whatever good things we build end up building us.,https://www.brainyquote.com/quotes/jim_rohn_379224?src=t_architecture,Jim Rohn,https://www.brainyquote.com/authors/jim-rohn-quotes
"Architecture is a visual art, and the buildings speak for themselves.",https://www.brainyquote.com/quotes/julia_morgan_193131?src=t_architecture,Julia Morgan,https://www.brainyquote.com/authors/julia-morgan-quotes
"We are called to be architects of the future, not its victims.",https://www.brainyquote.com/quotes/r_buckminster_fuller_153435?src=t_architecture,R. Buckminster Fuller,https://www.brainyquote.com/authors/r-buckminster-fuller-quotes
"Good buildings come from good people, and all problems are solved by good design.",https://www.brainyquote.com/quotes/stephen_gardiner_356370?src=t_architecture,Stephen Gardiner,https://www.brainyquote.com/authors/stephen-gardiner-quotes
Architecture starts when you carefully put two bricks together. There it begins.,https://www.brainyquote.com/quotes/ludwig_mies_van_der_rohe_116040?src=t_architecture,Ludwig Mies van der Rohe,https://www.brainyquote.com/authors/ludwig-mies-van-der-rohe-quotes
"Architecture should speak of its time and place, but yearn for timelessness.",https://www.brainyquote.com/quotes/frank_gehry_173206?src=t_architecture,Frank Gehry,https://www.brainyquote.com/authors/frank-gehry-quotes
Each new situation requires a new architecture.,https://www.brainyquote.com/quotes/jean_nouvel_229128?src=t_architecture,Jean Nouvel,https://www.brainyquote.com/authors/jean-nouvel-quotes
"Buildings should serve people, not the other way around.",https://www.brainyquote.com/quotes/john_portman_197357?src=t_architecture,John Portman,https://www.brainyquote.com/authors/john-portman-quotes
"A great building must begin with the unmeasurable, must go through measurable means when it is being designed and in the end must be unmeasurable.",https://www.brainyquote.com/quotes/louis_kahn_117396?src=t_architecture,Louis Kahn,https://www.brainyquote.com/authors/louis-kahn-quotes
I call architecture frozen music.,https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_109108?src=t_architecture,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"Architecture is the learned game, correct and magnificent, of forms assembled in the light.",https://www.brainyquote.com/quotes/le_corbusier_115265?src=t_architecture,Le Corbusier,https://www.brainyquote.com/authors/le-corbusier-quotes
I believe that the way people live can be directed a little by architecture.,https://www.brainyquote.com/quotes/tadao_ando_362002?src=t_architecture,Tadao Ando,https://www.brainyquote.com/authors/tadao-ando-quotes
The mother art is architecture. Without an architecture of our own we have no soul of our own civilization.,https://www.brainyquote.com/quotes/frank_lloyd_wright_127711?src=t_architecture,Frank Lloyd Wright,https://www.brainyquote.com/authors/frank-lloyd-wright-quotes
Form follows profit is the aesthetic principle of our times.,https://www.brainyquote.com/quotes/richard_rogers_395101?src=t_architecture,Richard Rogers,https://www.brainyquote.com/authors/richard-rogers-quotes
Architecture is the art of how to waste space.,https://www.brainyquote.com/quotes/philip_johnson_102369?src=t_architecture,Philip Johnson,https://www.brainyquote.com/authors/philip-johnson-quotes
"The loftier the building, the deeper must the foundation be laid.",https://www.brainyquote.com/quotes/thomas_a_kempis_383396?src=t_architecture,Thomas a Kempis,https://www.brainyquote.com/authors/thomas-a-kempis-quotes
I try to give people a different way of looking at their surroundings. That's art to me.,https://www.brainyquote.com/quotes/maya_lin_344886?src=t_architecture,Maya Lin,https://www.brainyquote.com/authors/maya-lin-quotes
