quote,quote_url,author,author_url
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,https://www.brainyquote.com/quotes/lou_holtz_450789?src=t_attitude,Lou Holtz,https://www.brainyquote.com/authors/lou-holtz-quotes
"Your attitude, not your aptitude, will determine your altitude.",https://www.brainyquote.com/quotes/zig_ziglar_381975?src=t_attitude,Zig Ziglar,https://www.brainyquote.com/authors/zig-ziglar-quotes
A positive attitude can really make dreams come true - it did for me.,https://www.brainyquote.com/quotes/david_bailey_119302?src=t_attitude,David Bailey,https://www.brainyquote.com/authors/david-bailey-quotes
"People may hear your words, but they feel your attitude.",https://www.brainyquote.com/quotes/john_c_maxwell_451128?src=t_attitude,John C. Maxwell,https://www.brainyquote.com/authors/john-c-maxwell-quotes
"Excellence is not a skill, it's an attitude.",https://www.brainyquote.com/quotes/ralph_marston_104215?src=t_attitude,Ralph Marston,https://www.brainyquote.com/authors/ralph-marston-quotes
"You cannot control what happens to you, but you can control your attitude toward what happens to you, and in that, you will be mastering change rather than allowing it to master you.",https://www.brainyquote.com/quotes/brian_tracy_125679?src=t_attitude,Brian Tracy,https://www.brainyquote.com/authors/brian-tracy-quotes
Attitude is a little thing that makes a big difference.,https://www.brainyquote.com/quotes/winston_churchill_104164?src=t_attitude,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"Acting is magical. Change your look and your attitude, and you can be anyone.",https://www.brainyquote.com/quotes/alicia_witt_266570?src=t_attitude,Alicia Witt,https://www.brainyquote.com/authors/alicia-witt-quotes
Adopting the right attitude can convert a negative stress into a positive one.,https://www.brainyquote.com/quotes/hans_selye_381383?src=t_attitude,Hans Selye,https://www.brainyquote.com/authors/hans-selye-quotes
Attitude determines the altitude of life.,https://www.brainyquote.com/quotes/edwin_louis_cole_360075?src=t_attitude,Edwin Louis Cole,https://www.brainyquote.com/authors/edwin-louis-cole-quotes
"My attitude is, if someone's going to criticize me, tell me to my face.",https://www.brainyquote.com/quotes/simon_cowell_181343?src=t_attitude,Simon Cowell,https://www.brainyquote.com/authors/simon-cowell-quotes
Some people say I have attitude - maybe I do... but I think you have to. You have to believe in yourself when no one else does - that makes you a winner right there.,https://www.brainyquote.com/quotes/venus_williams_442154?src=t_attitude,Venus Williams,https://www.brainyquote.com/authors/venus-williams-quotes
"For success, attitude is equally as important as ability.",https://www.brainyquote.com/quotes/walter_scott_118620?src=t_attitude,Walter Scott,https://www.brainyquote.com/authors/walter-scott-quotes
Time plays a role in almost every decision. And some decisions define your attitude about time.,https://www.brainyquote.com/quotes/john_cale_331655?src=t_attitude,John Cale,https://www.brainyquote.com/authors/john-cale-quotes
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",https://www.brainyquote.com/quotes/charles_r_swindoll_163385?src=t_attitude,Charles R. Swindoll,https://www.brainyquote.com/authors/charles-r-swindoll-quotes
"The attitude is very important. Because, your behavior radiates how you feel.",https://www.brainyquote.com/quotes/lou_ferrigno_392084?src=t_attitude,Lou Ferrigno,https://www.brainyquote.com/authors/lou-ferrigno-quotes
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",https://www.brainyquote.com/quotes/wade_boggs_311616?src=t_attitude,Wade Boggs,https://www.brainyquote.com/authors/wade-boggs-quotes
