quote,quote_url,author,author_url
Living well is the best revenge.,https://www.brainyquote.com/quotes/george_herbert_379993?src=t_best,George Herbert,https://www.brainyquote.com/authors/george-herbert-quotes
"I'm selfish, impatient, and a little insecure. I make mistakes, I'm out of control, and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",https://www.brainyquote.com/quotes/marilyn_monroe_498604?src=t_best,Marilyn Monroe,https://www.brainyquote.com/authors/marilyn-monroe-quotes
The best way to predict the future is to create it.,https://www.brainyquote.com/quotes/peter_drucker_131600?src=t_best,Peter Drucker,https://www.brainyquote.com/authors/peter-drucker-quotes
"In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.",https://www.brainyquote.com/quotes/theodore_roosevelt_403358?src=t_best,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
The best way to find yourself is to lose yourself in the service of others.,https://www.brainyquote.com/quotes/mahatma_gandhi_150725?src=t_best,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"To give anything less than your best, is to sacrifice the gift.",https://www.brainyquote.com/quotes/steve_prefontaine_109446?src=t_best,Steve Prefontaine,https://www.brainyquote.com/authors/steve-prefontaine-quotes
A problem is a chance for you to do your best.,https://www.brainyquote.com/quotes/duke_ellington_103831?src=t_best,Duke Ellington,https://www.brainyquote.com/authors/duke-ellington-quotes
"At his best, man is the noblest of all animals; separated from law and justice he is the worst.",https://www.brainyquote.com/quotes/aristotle_148472?src=t_best,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else - means to fight the hardest battle which any human being can fight; and never stop fighting.",https://www.brainyquote.com/quotes/e_e_cummings_161592?src=t_best,e. e. cummings,https://www.brainyquote.com/authors/e-e-cummings-quotes
The best revenge is massive success.,https://www.brainyquote.com/quotes/frank_sinatra_379942?src=t_best,Frank Sinatra,https://www.brainyquote.com/authors/frank-sinatra-quotes
The best revenge is to be unlike him who performed the injury.,https://www.brainyquote.com/quotes/marcus_aurelius_383110?src=t_best,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
Expect the best. Prepare for the worst. Capitalize on what comes.,https://www.brainyquote.com/quotes/zig_ziglar_133664?src=t_best,Zig Ziglar,https://www.brainyquote.com/authors/zig-ziglar-quotes
Knowing your own darkness is the best method for dealing with the darknesses of other people.,https://www.brainyquote.com/quotes/carl_jung_114806?src=t_best,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
The best way to find out if you can trust somebody is to trust them.,https://www.brainyquote.com/quotes/ernest_hemingway_383691?src=t_best,Ernest Hemingway,https://www.brainyquote.com/authors/ernest-hemingway-quotes
"I am as bad as the worst, but, thank God, I am as good as the best.",https://www.brainyquote.com/quotes/walt_whitman_146852?src=t_best,Walt Whitman,https://www.brainyquote.com/authors/walt-whitman-quotes
That's your best friend and your worst enemy - your own brain.,https://www.brainyquote.com/quotes/fred_durst_432266?src=t_best,Fred Durst,https://www.brainyquote.com/authors/fred-durst-quotes
"There are some things you learn best in calm, and some in storm.",https://www.brainyquote.com/quotes/willa_cather_132373?src=t_best,Willa Cather,https://www.brainyquote.com/authors/willa-cather-quotes
"Whether it's the best of times or the worst of times, it's the only time we've got.",https://www.brainyquote.com/quotes/art_buchwald_104437?src=t_best,Art Buchwald,https://www.brainyquote.com/authors/art-buchwald-quotes
I have the simplest tastes. I am always satisfied with the best.,https://www.brainyquote.com/quotes/oscar_wilde_103484?src=t_best,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"I did my best, and God did the rest.",https://www.brainyquote.com/quotes/hattie_mcdaniel_315470?src=t_best,Hattie McDaniel,https://www.brainyquote.com/authors/hattie-mcdaniel-quotes
I do the very best I know how - the very best I can; and I mean to keep on doing so until the end.,https://www.brainyquote.com/quotes/abraham_lincoln_132309?src=t_best,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
The best revenge is to live on and prove yourself.,https://www.brainyquote.com/quotes/eddie_vedder_468059?src=t_best,Eddie Vedder,https://www.brainyquote.com/authors/eddie-vedder-quotes
"The most basic question is not what is best, but who shall decide what is best.",https://www.brainyquote.com/quotes/thomas_sowell_381905?src=t_best,Thomas Sowell,https://www.brainyquote.com/authors/thomas-sowell-quotes
Grow old with me! The best is yet to be.,https://www.brainyquote.com/quotes/robert_browning_413996?src=t_best,Robert Browning,https://www.brainyquote.com/authors/robert-browning-quotes
"To love and win is the best thing. To love and lose, the next best.",https://www.brainyquote.com/quotes/william_makepeace_thacker_103445?src=t_best,William Makepeace Thackeray,https://www.brainyquote.com/authors/william-makepeace-thacker-quotes
The best cure for the body is a quiet mind.,https://www.brainyquote.com/quotes/napoleon_bonaparte_150189?src=t_best,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.",https://www.brainyquote.com/quotes/al_lopez_139460?src=t_best,Al Lopez,https://www.brainyquote.com/authors/al-lopez-quotes
Nobody who ever gave his best regretted it.,https://www.brainyquote.com/quotes/george_halas_160094?src=t_best,George Halas,https://www.brainyquote.com/authors/george-halas-quotes
The worst thing that happens to you may be the best thing for you if you don't let it get the best of you.,https://www.brainyquote.com/quotes/will_rogers_387178?src=t_best,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
But I always think that the best way to know God is to love many things.,https://www.brainyquote.com/quotes/vincent_van_gogh_384146?src=t_best,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
"It's a funny thing about life; if you refuse to accept anything but the best, you very often get it.",https://www.brainyquote.com/quotes/w_somerset_maugham_110037?src=t_best,W. Somerset Maugham,https://www.brainyquote.com/authors/w-somerset-maugham-quotes
"The best doctors in the world are Doctor Diet, Doctor Quiet, and Doctor Merryman.",https://www.brainyquote.com/quotes/jonathan_swift_165779?src=t_best,Jonathan Swift,https://www.brainyquote.com/authors/jonathan-swift-quotes
The best vision is insight.,https://www.brainyquote.com/quotes/malcolm_forbes_151535?src=t_best,Malcolm Forbes,https://www.brainyquote.com/authors/malcolm-forbes-quotes
Learn to say 'no' to the good so you can say 'yes' to the best.,https://www.brainyquote.com/quotes/john_c_maxwell_383175?src=t_best,John C. Maxwell,https://www.brainyquote.com/authors/john-c-maxwell-quotes
You have to accept whatever comes and the only important thing is that you meet it with courage and with the best that you have to give.,https://www.brainyquote.com/quotes/eleanor_roosevelt_393076?src=t_best,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
One of the best things to do sometimes is simply to be.,https://www.brainyquote.com/quotes/eric_butterworth_178411?src=t_best,Eric Butterworth,https://www.brainyquote.com/authors/eric-butterworth-quotes
It is best for the wise man not to seem wise.,https://www.brainyquote.com/quotes/aeschylus_398301?src=t_best,Aeschylus,https://www.brainyquote.com/authors/aeschylus-quotes
"I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind.",https://www.brainyquote.com/quotes/albert_einstein_121753?src=t_best,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
Old friends are best.,https://www.brainyquote.com/quotes/john_selden_380224?src=t_best,John Selden,https://www.brainyquote.com/authors/john-selden-quotes
The best thing about the future is that it comes only one day at a time.,https://www.brainyquote.com/quotes/dean_acheson_132165?src=t_best,Dean Acheson,https://www.brainyquote.com/authors/dean-acheson-quotes
"At its best, life is completely unpredictable.",https://www.brainyquote.com/quotes/christopher_walken_457817?src=t_best,Christopher Walken,https://www.brainyquote.com/authors/christopher-walken-quotes
"If a man does his best, what else is there?",https://www.brainyquote.com/quotes/george_s_patton_103560?src=t_best,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
The best preparation for tomorrow is to do today's work superbly well.,https://www.brainyquote.com/quotes/william_osler_129852?src=t_best,William Osler,https://www.brainyquote.com/authors/william-osler-quotes
This is the precept by which I have lived: Prepare for the worst; expect the best; and take what comes.,https://www.brainyquote.com/quotes/hannah_arendt_119665?src=t_best,Hannah Arendt,https://www.brainyquote.com/authors/hannah-arendt-quotes
The best way of removing negativity is to laugh and be joyous.,https://www.brainyquote.com/quotes/david_icke_359821?src=t_best,David Icke,https://www.brainyquote.com/authors/david-icke-quotes
Just do what you do best.,https://www.brainyquote.com/quotes/red_auerbach_158168?src=t_best,Red Auerbach,https://www.brainyquote.com/authors/red-auerbach-quotes
"When things are bad, it's the best time to reinvent yourself.",https://www.brainyquote.com/quotes/george_lopez_417198?src=t_best,George Lopez,https://www.brainyquote.com/authors/george-lopez-quotes
I will do my best. That is all I can do. I ask for your help - and God's.,https://www.brainyquote.com/quotes/lyndon_b_johnson_114701?src=t_best,Lyndon B. Johnson,https://www.brainyquote.com/authors/lyndon-b-johnson-quotes
The best work is not what is most difficult for you; it is what you do best.,https://www.brainyquote.com/quotes/jeanpaul_sartre_397397?src=t_best,Jean-Paul Sartre,https://www.brainyquote.com/authors/jean-paul-sartre-quotes
But men are men; the best sometimes forget.,https://www.brainyquote.com/quotes/william_shakespeare_396613?src=t_best,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
"I have made the choices that work best for me. I know I cannot please everyone, and that's fine.",https://www.brainyquote.com/quotes/marlee_matlin_302809?src=t_best,Marlee Matlin,https://www.brainyquote.com/authors/marlee-matlin-quotes
The best ideas come as jokes. Make your thinking as funny as possible.,https://www.brainyquote.com/quotes/david_ogilvy_133098?src=t_best,David Ogilvy,https://www.brainyquote.com/authors/david-ogilvy-quotes
The best luck of all is the luck you make for yourself.,https://www.brainyquote.com/quotes/douglas_macarthur_157427?src=t_best,Douglas MacArthur,https://www.brainyquote.com/authors/douglas-macarthur-quotes
The best mirror is an old friend.,https://www.brainyquote.com/quotes/peter_nivio_zarlenga_120345?src=t_best,Peter Nivio Zarlenga,https://www.brainyquote.com/authors/peter-nivio-zarlenga-quotes
"I always prefer to believe the best of everybody, it saves so much trouble.",https://www.brainyquote.com/quotes/rudyard_kipling_161758?src=t_best,Rudyard Kipling,https://www.brainyquote.com/authors/rudyard-kipling-quotes
Life is best when you are in love.,https://www.brainyquote.com/quotes/michael_moriarty_227782?src=t_best,Michael Moriarty,https://www.brainyquote.com/authors/michael-moriarty-quotes
"It was the best of times, it was the worst of times.",https://www.brainyquote.com/quotes/charles_dickens_101118?src=t_best,Charles Dickens,https://www.brainyquote.com/authors/charles-dickens-quotes
Find out what you like doing best and get someone to pay you for it.,https://www.brainyquote.com/quotes/katharine_whitehorn_392393?src=t_best,Katharine Whitehorn,https://www.brainyquote.com/authors/katharine-whitehorn-quotes
"Enthusiasm is the best protection in any situation. Wholeheartedness is contagious. Give yourself, if you wish to get others.",https://www.brainyquote.com/quotes/david_seabury_154981?src=t_best,David Seabury,https://www.brainyquote.com/authors/david-seabury-quotes
The best books... are those that tell you what you know already.,https://www.brainyquote.com/quotes/george_orwell_163175?src=t_best,George Orwell,https://www.brainyquote.com/authors/george-orwell-quotes
