quote,quote_url,author,author_url
"The more you praise and celebrate your life, the more there is in life to celebrate.",https://www.brainyquote.com/quotes/oprah_winfrey_132401?src=t_birthday,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
Today you are you! That is truer than true! There is no one alive who is you-er than you!,https://www.brainyquote.com/quotes/dr_seuss_414098?src=t_birthday,Dr. Seuss,https://www.brainyquote.com/authors/dr-seuss-quotes
How old would you be if you didn't know how old you are?,https://www.brainyquote.com/quotes/satchel_paige_103901?src=t_birthday,Satchel Paige,https://www.brainyquote.com/authors/satchel-paige-quotes
God gave us the gift of life; it is up to us to give ourselves the gift of living well.,https://www.brainyquote.com/quotes/voltaire_134077?src=t_birthday,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
My policy on cake is pro having it and pro eating it.,https://www.brainyquote.com/quotes/boris_johnson_452516?src=t_birthday,Boris Johnson,https://www.brainyquote.com/authors/boris-johnson-quotes
There are two great days in a person's life - the day we are born and the day we discover why.,https://www.brainyquote.com/quotes/william_barclay_186927?src=t_birthday,William Barclay,https://www.brainyquote.com/authors/william-barclay-quotes
The great thing about getting older is that you don't lose all the other ages you've been.,https://www.brainyquote.com/quotes/madeleine_lengle_115555?src=t_birthday,Madeleine L'Engle,https://www.brainyquote.com/authors/madeleine-lengle-quotes
The greatest gift that you can give to others is the gift of unconditional love and acceptance.,https://www.brainyquote.com/quotes/brian_tracy_386350?src=t_birthday,Brian Tracy,https://www.brainyquote.com/authors/brian-tracy-quotes
It takes a long time to become young.,https://www.brainyquote.com/quotes/pablo_picasso_103938?src=t_birthday,Pablo Picasso,https://www.brainyquote.com/authors/pablo-picasso-quotes
"Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It's all about the memories.",https://www.brainyquote.com/quotes/buddy_valastro_520155?src=t_birthday,Buddy Valastro,https://www.brainyquote.com/authors/buddy-valastro-quotes
The greatest gifts you can give your children are the roots of responsibility and the wings of independence.,https://www.brainyquote.com/quotes/denis_waitley_165021?src=t_birthday,Denis Waitley,https://www.brainyquote.com/authors/denis-waitley-quotes
Cherish all your happy moments; they make a fine cushion for old age.,https://www.brainyquote.com/quotes/booth_tarkington_160153?src=t_birthday,Booth Tarkington,https://www.brainyquote.com/authors/booth-tarkington-quotes
"Don't just count your years, make your years count.",https://www.brainyquote.com/quotes/george_meredith_119586?src=t_birthday,George Meredith,https://www.brainyquote.com/authors/george-meredith-quotes
I kept a diary right after I was born. Day 1: Tired from the move. Day 2: Everyone thinks I'm an idiot.,https://www.brainyquote.com/quotes/steven_wright_578889?src=t_birthday,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
Love the giver more than the gift.,https://www.brainyquote.com/quotes/brigham_young_146731?src=t_birthday,Brigham Young,https://www.brainyquote.com/authors/brigham-young-quotes
