quote,quote_url,author,author_url
The time is always right to do what is right.,https://www.brainyquote.com/quotes/martin_luther_king_jr_106169?src=t_brainy,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
It is better to keep your mouth closed and let people think you are a fool than to open it and remove all doubt.,https://www.brainyquote.com/quotes/mark_twain_103535?src=t_brainy,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
I hear and I forget. I see and I remember. I do and I understand.,https://www.brainyquote.com/quotes/confucius_136802?src=t_brainy,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"We make a living by what we get, but we make a life by what we give.",https://www.brainyquote.com/quotes/winston_churchill_131192?src=t_brainy,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
What do you hang on the walls of your mind?,https://www.brainyquote.com/quotes/eve_arnold_489359?src=t_brainy,Eve Arnold,https://www.brainyquote.com/authors/eve-arnold-quotes
"Nobody cares how much you know, until they know how much you care.",https://www.brainyquote.com/quotes/theodore_roosevelt_140484?src=t_brainy,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
We are not permitted to choose the frame of our destiny. But what we put into it is ours.,https://www.brainyquote.com/quotes/dag_hammarskjold_103548?src=t_brainy,Dag Hammarskjold,https://www.brainyquote.com/authors/dag-hammarskjold-quotes
"It's not that I'm so smart, it's just that I stay with problems longer.",https://www.brainyquote.com/quotes/albert_einstein_106192?src=t_brainy,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"People who know little are usually great talkers, while men who know much say little.",https://www.brainyquote.com/quotes/jeanjacques_rousseau_103461?src=t_brainy,Jean-Jacques Rousseau,https://www.brainyquote.com/authors/jean-jacques-rousseau-quotes
"There are three classes of people: those who see, those who see when they are shown, those who do not see.",https://www.brainyquote.com/quotes/leonardo_da_vinci_387197?src=t_brainy,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
None so deaf as those that will not hear. None so blind as those that will not see.,https://www.brainyquote.com/quotes/matthew_henry_189365?src=t_brainy,Matthew Henry,https://www.brainyquote.com/authors/matthew-henry-quotes
Quality is never an accident. It is always the result of intelligent effort.,https://www.brainyquote.com/quotes/john_ruskin_130005?src=t_brainy,John Ruskin,https://www.brainyquote.com/authors/john-ruskin-quotes
"If you don't know where you are going, you might wind up someplace else.",https://www.brainyquote.com/quotes/yogi_berra_391900?src=t_brainy,Yogi Berra,https://www.brainyquote.com/authors/yogi-berra-quotes
Men can starve from a lack of self-realization as much as they can from a lack of bread.,https://www.brainyquote.com/quotes/richard_wright_107731?src=t_brainy,Richard Wright,https://www.brainyquote.com/authors/richard-wright-quotes
Insanity: doing the same thing over and over again and expecting different results.,https://www.brainyquote.com/quotes/unknown_133991?src=t_brainy,Unknown,https://www.brainyquote.com/authors/unknown-quotes
"In the kingdom of the blind, the one-eyed man is king.",https://www.brainyquote.com/quotes/desiderius_erasmus_161329?src=t_brainy,Desiderius Erasmus,https://www.brainyquote.com/authors/desiderius-erasmus-quotes
Fortune favors the prepared mind.,https://www.brainyquote.com/quotes/louis_pasteur_159478?src=t_brainy,Louis Pasteur,https://www.brainyquote.com/authors/louis-pasteur-quotes
Inspiration arrives as a packet of material to be delivered.,https://www.brainyquote.com/quotes/john_updike_112404?src=t_brainy,John Updike,https://www.brainyquote.com/authors/john-updike-quotes
Be less curious about people and more curious about ideas.,https://www.brainyquote.com/quotes/marie_curie_126078?src=t_brainy,Marie Curie,https://www.brainyquote.com/authors/marie-curie-quotes
"A gem cannot be polished without friction, nor a man perfected without trials.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_162971?src=t_brainy,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
Do not let what you cannot do interfere with what you can do.,https://www.brainyquote.com/quotes/john_wooden_105700?src=t_brainy,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
To be is to do.,https://www.brainyquote.com/quotes/immanuel_kant_110274?src=t_brainy,Immanuel Kant,https://www.brainyquote.com/authors/immanuel-kant-quotes
"People are not disturbed by things, but by the view they take of them.",https://www.brainyquote.com/quotes/epictetus_104206?src=t_brainy,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
Well begun is half done.,https://www.brainyquote.com/quotes/aristotle_109750?src=t_brainy,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
Judge a man by his questions rather than his answers.,https://www.brainyquote.com/quotes/voltaire_100338?src=t_brainy,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
