quote,quote_url,author,author_url
"If one does not know to which port one is sailing, no wind is favorable.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_100585?src=t_business,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",https://www.brainyquote.com/quotes/mark_twain_122378?src=t_business,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",https://www.brainyquote.com/quotes/colin_powell_121363?src=t_business,Colin Powell,https://www.brainyquote.com/authors/colin-powell-quotes
Our work is the presentation of our capabilities.,https://www.brainyquote.com/quotes/edward_gibbon_119400?src=t_business,Edward Gibbon,https://www.brainyquote.com/authors/edward-gibbon-quotes
"If you owe the bank $100 that's your problem. If you owe the bank $100 million, that's the bank's problem.",https://www.brainyquote.com/quotes/j_paul_getty_129274?src=t_business,J. Paul Getty,https://www.brainyquote.com/authors/j-paul-getty-quotes
"There is only one boss. The customer. And he can fire everybody in the company from the chairman on down, simply by spending his money somewhere else.",https://www.brainyquote.com/quotes/sam_walton_146810?src=t_business,Sam Walton,https://www.brainyquote.com/authors/sam-walton-quotes
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,https://www.brainyquote.com/quotes/theodore_isaac_rubin_126226?src=t_business,Theodore Isaac Rubin,https://www.brainyquote.com/authors/theodore-isaac-rubin-quotes
A brand for a company is like a reputation for a person. You earn reputation by trying to do hard things well.,https://www.brainyquote.com/quotes/jeff_bezos_173309?src=t_business,Jeff Bezos,https://www.brainyquote.com/authors/jeff-bezos-quotes
Making money is art and working is art and good business is the best art.,https://www.brainyquote.com/quotes/andy_warhol_138498?src=t_business,Andy Warhol,https://www.brainyquote.com/authors/andy-warhol-quotes
"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion.",https://www.brainyquote.com/quotes/elon_musk_567286?src=t_business,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their own interest.",https://www.brainyquote.com/quotes/adam_smith_136391?src=t_business,Adam Smith,https://www.brainyquote.com/authors/adam-smith-quotes
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.,https://www.brainyquote.com/quotes/dale_carnegie_100661?src=t_business,Dale Carnegie,https://www.brainyquote.com/authors/dale-carnegie-quotes
Details create the big picture.,https://www.brainyquote.com/quotes/sanford_i_weill_283124?src=t_business,Sanford I. Weill,https://www.brainyquote.com/authors/sanford-i-weill-quotes
"An organization, no matter how well designed, is only as good as the people who live and work in it.",https://www.brainyquote.com/quotes/dee_hock_285455?src=t_business,Dee Hock,https://www.brainyquote.com/authors/dee-hock-quotes
"In the business world, everyone is paid in two coins: cash and experience. Take the experience first; the cash will come later.",https://www.brainyquote.com/quotes/harold_s_geneen_104356?src=t_business,Harold S. Geneen,https://www.brainyquote.com/authors/harold-s-geneen-quotes
An economist is an expert who will know tomorrow why the things he predicted yesterday didn't happen today.,https://www.brainyquote.com/quotes/laurence_j_peter_163120?src=t_business,Laurence J. Peter,https://www.brainyquote.com/authors/laurence-j-peter-quotes
"Ideas pull the trigger, but instinct loads the gun.",https://www.brainyquote.com/quotes/don_marquis_101531?src=t_business,Don Marquis,https://www.brainyquote.com/authors/don-marquis-quotes
"Sooner or later, those who win are those who think they can.",https://www.brainyquote.com/quotes/paul_tournier_119361?src=t_business,Paul Tournier,https://www.brainyquote.com/authors/paul-tournier-quotes
"The entrepreneur always searches for change, responds to it, and exploits it as an opportunity.",https://www.brainyquote.com/quotes/peter_drucker_154441?src=t_business,Peter Drucker,https://www.brainyquote.com/authors/peter-drucker-quotes
Do more than is required. What is the distance between someone who achieves their goals consistently and those who spend their lives and careers merely following? The extra mile.,https://www.brainyquote.com/quotes/gary_ryan_blair_125852?src=t_business,Gary Ryan Blair,https://www.brainyquote.com/authors/gary-ryan-blair-quotes
"The first responsibility of a leader is to define reality. The last is to say thank you. In between, the leader is a servant.",https://www.brainyquote.com/quotes/max_de_pree_100557?src=t_business,Max de Pree,https://www.brainyquote.com/authors/max-de-pree-quotes
