quote,quote_url,author,author_url
The cars we drive say a lot about us.,https://www.brainyquote.com/quotes/alexandra_paul_387900?src=t_car,Alexandra Paul,https://www.brainyquote.com/authors/alexandra-paul-quotes
It's a never ending battle of making your cars better and also trying to be better yourself.,https://www.brainyquote.com/quotes/dale_earnhardt_253600?src=t_car,Dale Earnhardt,https://www.brainyquote.com/authors/dale-earnhardt-quotes
"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.",https://www.brainyquote.com/quotes/george_best_253899?src=t_car,George Best,https://www.brainyquote.com/authors/george-best-quotes
"It's like driving a car at night. You never see further than your headlights, but you can make the whole trip that way.",https://www.brainyquote.com/quotes/e_l_doctorow_154857?src=t_car,E. L. Doctorow,https://www.brainyquote.com/authors/e-l-doctorow-quotes
"Everything in life is somewhere else, and you get there in a car.",https://www.brainyquote.com/quotes/e_b_white_100103?src=t_car,E. B. White,https://www.brainyquote.com/authors/e-b-white-quotes
"We aren't addicted to oil, but our cars are.",https://www.brainyquote.com/quotes/james_woolsey_509785?src=t_car,James Woolsey,https://www.brainyquote.com/authors/james-woolsey-quotes
Self-driving cars are the natural extension of active safety and obviously something we should do.,https://www.brainyquote.com/quotes/elon_musk_567216?src=t_car,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"There's three things men always talk about - women, sports, and cars.",https://www.brainyquote.com/quotes/mario_lopez_300197?src=t_car,Mario Lopez,https://www.brainyquote.com/authors/mario-lopez-quotes
"I love driving cars, looking at them, cleaning and washing and shining them. I clean 'em inside and outside. I'm very touchy about cars. I don't want anybody leaning on them or closing the door too hard, know what I mean?",https://www.brainyquote.com/quotes/scott_baio_419202?src=t_car,Scott Baio,https://www.brainyquote.com/authors/scott-baio-quotes
Cars and cameras are the two things I let myself be materialistic about. I don't care about other stuff.,https://www.brainyquote.com/quotes/louis_c_k_452732?src=t_car,Louis C. K.,https://www.brainyquote.com/authors/louis-c-k-quotes
A car for every purse and purpose.,https://www.brainyquote.com/quotes/alfred_p_sloan_194030?src=t_car,Alfred P. Sloan,https://www.brainyquote.com/authors/alfred-p-sloan-quotes
"People spend so much time in their cars, and it's a legal way to have fun by speeding a little bit or testing yourself a little bit, and you get to invest in your car. For some people, it becomes their baby.",https://www.brainyquote.com/quotes/jordana_brewster_432723?src=t_car,Jordana Brewster,https://www.brainyquote.com/authors/jordana-brewster-quotes
The best car safety device is a rear-view mirror with a cop in it.,https://www.brainyquote.com/quotes/dudley_moore_195256?src=t_car,Dudley Moore,https://www.brainyquote.com/authors/dudley-moore-quotes
Fast cars are my only vice.,https://www.brainyquote.com/quotes/michael_bay_211109?src=t_car,Michael Bay,https://www.brainyquote.com/authors/michael-bay-quotes
Germans make nice cars.,https://www.brainyquote.com/quotes/jason_behr_387816?src=t_car,Jason Behr,https://www.brainyquote.com/authors/jason-behr-quotes
I love fast cars... and to go too fast in them.,https://www.brainyquote.com/quotes/lara_flynn_boyle_333193?src=t_car,Lara Flynn Boyle,https://www.brainyquote.com/authors/lara-flynn-boyle-quotes
"I know a lot about cars, man. I can look at any car's headlights and tell you exactly which way it's coming.",https://www.brainyquote.com/quotes/mitch_hedberg_297438?src=t_car,Mitch Hedberg,https://www.brainyquote.com/authors/mitch-hedberg-quotes
"The automobile engine will come, and then I will consider my life's work complete.",https://www.brainyquote.com/quotes/rudolf_diesel_182177?src=t_car,Rudolf Diesel,https://www.brainyquote.com/authors/rudolf-diesel-quotes
"To attract men, I wear a perfume called 'New Car Interior.'",https://www.brainyquote.com/quotes/rita_rudner_122725?src=t_car,Rita Rudner,https://www.brainyquote.com/authors/rita-rudner-quotes
I love vintage cars because you can do so much more to them.,https://www.brainyquote.com/quotes/tpain_510714?src=t_car,T-Pain,https://www.brainyquote.com/authors/t-pain-quotes
I am a big car enthusiast. I totally understand guys like Jay Leno who have a thousand cars. But asking me my favorite car would be like asking my favorite song or favorite food - it changes everyday.,https://www.brainyquote.com/quotes/casey_james_523245?src=t_car,Casey James,https://www.brainyquote.com/authors/casey-james-quotes
"I don't run a car, have never run a car. I could say that this is because I have this extremely tender environmentalist conscience, but the fact is I hate driving.",https://www.brainyquote.com/quotes/david_attenborough_214826?src=t_car,David Attenborough,https://www.brainyquote.com/authors/david-attenborough-quotes
"In the history of the world, no one has ever washed a rented car.",https://www.brainyquote.com/quotes/lawrence_summers_187383?src=t_car,Lawrence Summers,https://www.brainyquote.com/authors/lawrence-summers-quotes
"I was quiet, a loner. I was one of those children where, if you put me in a room and gave me some crayons and a pencils, you wouldn't hear from me for nine straight hours. And I was always drawing racing cars and rockets and spaceships and planes, things that were very fast that would take me away.",https://www.brainyquote.com/quotes/gary_oldman_415708?src=t_car,Gary Oldman,https://www.brainyquote.com/authors/gary-oldman-quotes
