quote,quote_url,author,author_url
"And know that I am with you always; yes, to the end of time.",https://www.brainyquote.com/quotes/jesus_christ_414657?src=t_christmas,Jesus Christ,https://www.brainyquote.com/authors/jesus-christ-quotes
Christmas is the spirit of giving without a thought of getting. It is happiness because we see joy in people. It is forgetting self and finding time for others. It is discarding the meaningless and stressing the true values.,https://www.brainyquote.com/quotes/thomas_s_monson_676208?src=t_christmas,Thomas S. Monson,https://www.brainyquote.com/authors/thomas-s-monson-quotes
"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.",https://www.brainyquote.com/quotes/joel_osteen_676215?src=t_christmas,Joel Osteen,https://www.brainyquote.com/authors/joel-osteen-quotes
For it is in giving that we receive.,https://www.brainyquote.com/quotes/francis_of_assisi_121465?src=t_christmas,Francis of Assisi,https://www.brainyquote.com/authors/francis-of-assisi-quotes
"Maybe Christmas, the Grinch thought, doesn't come from a store.",https://www.brainyquote.com/quotes/dr_seuss_102623?src=t_christmas,Dr. Seuss,https://www.brainyquote.com/authors/dr-seuss-quotes
"Every gift which is given, even though it be small, is in reality great, if it is given with affection.",https://www.brainyquote.com/quotes/pindar_176327?src=t_christmas,Pindar,https://www.brainyquote.com/authors/pindar-quotes
Christmas is a season not only of rejoicing but of reflection.,https://www.brainyquote.com/quotes/winston_churchill_676223?src=t_christmas,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"I will honor Christmas in my heart, and try to keep it all the year.",https://www.brainyquote.com/quotes/charles_dickens_105777?src=t_christmas,Charles Dickens,https://www.brainyquote.com/authors/charles-dickens-quotes
God is in the details.,https://www.brainyquote.com/quotes/ludwig_mies_van_der_rohe_101419?src=t_christmas,Ludwig Mies van der Rohe,https://www.brainyquote.com/authors/ludwig-mies-van-der-rohe-quotes
Christmas isn't a season. It's a feeling.,https://www.brainyquote.com/quotes/edna_ferber_163146?src=t_christmas,Edna Ferber,https://www.brainyquote.com/authors/edna-ferber-quotes
"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.",https://www.brainyquote.com/quotes/calvin_coolidge_121116?src=t_christmas,Calvin Coolidge,https://www.brainyquote.com/authors/calvin-coolidge-quotes
The main reason Santa is so jolly is because he knows where all the bad girls live.,https://www.brainyquote.com/quotes/george_carlin_385341?src=t_christmas,George Carlin,https://www.brainyquote.com/authors/george-carlin-quotes
He who has not Christmas in his heart will never find it under a tree.,https://www.brainyquote.com/quotes/roy_l_smith_105772?src=t_christmas,Roy L. Smith,https://www.brainyquote.com/authors/roy-l-smith-quotes
Don't let the past steal your present. This is the message of Christmas: We are never alone.,https://www.brainyquote.com/quotes/taylor_caldwell_676222?src=t_christmas,Taylor Caldwell,https://www.brainyquote.com/authors/taylor-caldwell-quotes
"God never gives someone a gift they are not capable of receiving. If he gives us the gift of Christmas, it is because we all have the ability to understand and receive it.",https://www.brainyquote.com/quotes/pope_francis_676221?src=t_christmas,Pope Francis,https://www.brainyquote.com/authors/pope-francis-quotes
One of the most glorious messes in the world is the mess created in the living room on Christmas day. Don't clean it up too quickly.,https://www.brainyquote.com/quotes/andy_rooney_676226?src=t_christmas,Andy Rooney,https://www.brainyquote.com/authors/andy-rooney-quotes
A good conscience is a continual Christmas.,https://www.brainyquote.com/quotes/benjamin_franklin_163802?src=t_christmas,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
Christmas is the day that holds all time together.,https://www.brainyquote.com/quotes/alexander_smith_379476?src=t_christmas,Alexander Smith,https://www.brainyquote.com/authors/alexander-smith-quotes
"I once wanted to become an atheist, but I gave up - they have no holidays.",https://www.brainyquote.com/quotes/henny_youngman_134688?src=t_christmas,Henny Youngman,https://www.brainyquote.com/authors/henny-youngman-quotes
"Christmas waves a magic wand over this world, and behold, everything is softer and more beautiful.",https://www.brainyquote.com/quotes/norman_vincent_peale_105765?src=t_christmas,Norman Vincent Peale,https://www.brainyquote.com/authors/norman-vincent-peale-quotes
"If you haven't got any charity in your heart, you have the worst kind of heart trouble.",https://www.brainyquote.com/quotes/bob_hope_153638?src=t_christmas,Bob Hope,https://www.brainyquote.com/authors/bob-hope-quotes
It is a fine seasoning for joy to think of those we love.,https://www.brainyquote.com/quotes/moliere_382509?src=t_christmas,Moliere,https://www.brainyquote.com/authors/moliere-quotes
"I love the excitement, the childlike spirit of innocence and just about everything that goes along with Christmas.",https://www.brainyquote.com/quotes/hillary_scott_517165?src=t_christmas,Hillary Scott,https://www.brainyquote.com/authors/hillary-scott-quotes
Let's be naughty and save Santa the trip.,https://www.brainyquote.com/quotes/gary_allan_377930?src=t_christmas,Gary Allan,https://www.brainyquote.com/authors/gary-allan-quotes
"Christmas is a season for kindling the fire for hospitality in the hall, the genial flame of charity in the heart.",https://www.brainyquote.com/quotes/washington_irving_389250?src=t_christmas,Washington Irving,https://www.brainyquote.com/authors/washington-irving-quotes
"Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.",https://www.brainyquote.com/quotes/dale_evans_192175?src=t_christmas,Dale Evans,https://www.brainyquote.com/authors/dale-evans-quotes
Expectancy is the atmosphere for miracles.,https://www.brainyquote.com/quotes/edwin_louis_cole_360084?src=t_christmas,Edwin Louis Cole,https://www.brainyquote.com/authors/edwin-louis-cole-quotes
The two most joyous times of the year are Christmas morning and the end of school.,https://www.brainyquote.com/quotes/alice_cooper_454763?src=t_christmas,Alice Cooper,https://www.brainyquote.com/authors/alice-cooper-quotes
"It's true, Christmas can feel like a lot of work, particularly for mothers. But when you look back on all the Christmases in your life, you'll find you've created family traditions and lasting memories. Those memories, good and bad, are really what help to keep a family together over the long haul.",https://www.brainyquote.com/quotes/caroline_kennedy_437794?src=t_christmas,Caroline Kennedy,https://www.brainyquote.com/authors/caroline-kennedy-quotes
Santa Claus has the right idea - visit people only once a year.,https://www.brainyquote.com/quotes/victor_borge_141764?src=t_christmas,Victor Borge,https://www.brainyquote.com/authors/victor-borge-quotes
What I don't like about office Christmas parties is looking for a job the next day.,https://www.brainyquote.com/quotes/phyllis_diller_385304?src=t_christmas,Phyllis Diller,https://www.brainyquote.com/authors/phyllis-diller-quotes
"Once again, we come to the Holiday Season, a deeply religious time that each of us observes, in his own way, by going to the mall of his choice.",https://www.brainyquote.com/quotes/dave_barry_102051?src=t_christmas,Dave Barry,https://www.brainyquote.com/authors/dave-barry-quotes
"A lovely thing about Christmas is that it's compulsory, like a thunderstorm, and we all go through it together.",https://www.brainyquote.com/quotes/garrison_keillor_153450?src=t_christmas,Garrison Keillor,https://www.brainyquote.com/authors/garrison-keillor-quotes
"Christmas, children, is not a date. It is a state of mind.",https://www.brainyquote.com/quotes/mary_ellen_chase_105773?src=t_christmas,Mary Ellen Chase,https://www.brainyquote.com/authors/mary-ellen-chase-quotes
"The Supreme Court has ruled that they cannot have a nativity scene in Washington, D.C. This wasn't for any religious reasons. They couldn't find three wise men and a virgin.",https://www.brainyquote.com/quotes/jay_leno_403524?src=t_christmas,Jay Leno,https://www.brainyquote.com/authors/jay-leno-quotes
The excellence of a gift lies in its appropriateness rather than in its value.,https://www.brainyquote.com/quotes/charles_dudley_warner_384820?src=t_christmas,Charles Dudley Warner,https://www.brainyquote.com/authors/charles-dudley-warner-quotes
That's the true spirit of Christmas; people being helped by people other than me.,https://www.brainyquote.com/quotes/jerry_seinfeld_385105?src=t_christmas,Jerry Seinfeld,https://www.brainyquote.com/authors/jerry-seinfeld-quotes
"I wrapped my Christmas presents early this year, but I used the wrong paper. See, the paper I used said 'Happy Birthday' on it. I didn't want to waste it so I just wrote 'Jesus' on it.",https://www.brainyquote.com/quotes/demetri_martin_414428?src=t_christmas,Demetri Martin,https://www.brainyquote.com/authors/demetri-martin-quotes
"I once bought my kids a set of batteries for Christmas with a note on it saying, toys not included.",https://www.brainyquote.com/quotes/bernard_manning_128868?src=t_christmas,Bernard Manning,https://www.brainyquote.com/authors/bernard-manning-quotes
"Moving between the legs of tables and of chairs, rising or falling, grasping at kisses and toys, advancing boldly, sudden to take alarm, retreating to the corner of arm and knee, eager to be reassured, taking pleasure in the fragrant brilliance of the Christmas tree.",https://www.brainyquote.com/quotes/t_s_eliot_119514?src=t_christmas,T. S. Eliot,https://www.brainyquote.com/authors/t-s-eliot-quotes
Mail your packages early so the post office can lose them in time for Christmas.,https://www.brainyquote.com/quotes/johnny_carson_384940?src=t_christmas,Johnny Carson,https://www.brainyquote.com/authors/johnny-carson-quotes
"As dry leaves that before the wild hurricane fly, when they meet with an obstacle, mount to the sky. So up to the house-top the coursers they flew, with the sleigh full of toys, and St. Nicholas too.",https://www.brainyquote.com/quotes/clement_clarke_moore_219907?src=t_christmas,Clement Clarke Moore,https://www.brainyquote.com/authors/clement-clarke-moore-quotes
Christmas is doing a little something extra for someone.,https://www.brainyquote.com/quotes/charles_m_schulz_676225?src=t_christmas,Charles M. Schulz,https://www.brainyquote.com/authors/charles-m-schulz-quotes
"I don't think Christmas is necessarily about things. It's about being good to one another, it's about the Christian ethic, it's about kindness.",https://www.brainyquote.com/quotes/carrie_fisher_392809?src=t_christmas,Carrie Fisher,https://www.brainyquote.com/authors/carrie-fisher-quotes
The thing about Christmas is that it almost doesn't matter what mood you're in or what kind of a year you've had - it's a fresh start.,https://www.brainyquote.com/quotes/kelly_clarkson_676219?src=t_christmas,Kelly Clarkson,https://www.brainyquote.com/authors/kelly-clarkson-quotes
"Nothing says holidays, like a cheese log.",https://www.brainyquote.com/quotes/ellen_degeneres_377943?src=t_christmas,Ellen DeGeneres,https://www.brainyquote.com/authors/ellen-degeneres-quotes
"Pets, like their owners, tend to expand a little over the Christmas period.",https://www.brainyquote.com/quotes/frances_wright_381290?src=t_christmas,Frances Wright,https://www.brainyquote.com/authors/frances-wright-quotes
