quote,quote_url,author,author_url
The single biggest problem in communication is the illusion that it has taken place.,https://www.brainyquote.com/quotes/george_bernard_shaw_385438?src=t_communication,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
We have two ears and one mouth so that we can listen twice as much as we speak.,https://www.brainyquote.com/quotes/epictetus_106298?src=t_communication,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
Wise men speak because they have something to say; Fools because they have to say something.,https://www.brainyquote.com/quotes/unknown_109439?src=t_communication,Unknown,https://www.brainyquote.com/authors/unknown-quotes
"Words are singularly the most powerful force available to humanity. We can choose to use this force constructively with words of encouragement, or destructively using words of despair. Words have energy and power with the ability to help, to heal, to hinder, to hurt, to harm, to humiliate and to humble.",https://www.brainyquote.com/quotes/yehuda_berg_536651?src=t_communication,Yehuda Berg,https://www.brainyquote.com/authors/yehuda-berg-quotes
"If you can't convince them, confuse them.",https://www.brainyquote.com/quotes/harry_s_truman_100086?src=t_communication,Harry S Truman,https://www.brainyquote.com/authors/harry-s-truman-quotes
"Half the world is composed of people who have something to say and can't, and the other half who have nothing to say and keep on saying it.",https://www.brainyquote.com/quotes/robert_frost_122640?src=t_communication,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"I do not agree with what you have to say, but I'll defend to the death your right to say it.",https://www.brainyquote.com/quotes/evelyn_beatrice_hall_109645?src=t_communication,Evelyn Beatrice Hall,https://www.brainyquote.com/authors/evelyn-beatrice-hall-quotes
"I think it's very important to have a feedback loop, where you're constantly thinking about what you've done and how you could be doing it better. I think that's the single best piece of advice: constantly think about how you could be doing things better and questioning yourself.",https://www.brainyquote.com/quotes/elon_musk_567271?src=t_communication,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"Communication leads to community, that is, to understanding, intimacy and mutual valuing.",https://www.brainyquote.com/quotes/rollo_may_389414?src=t_communication,Rollo May,https://www.brainyquote.com/authors/rollo-may-quotes
Eloquence is a painting of the thoughts.,https://www.brainyquote.com/quotes/blaise_pascal_118726?src=t_communication,Blaise Pascal,https://www.brainyquote.com/authors/blaise-pascal-quotes
Communication - the human connection - is the key to personal and career success.,https://www.brainyquote.com/quotes/paul_j_meyer_190945?src=t_communication,Paul J. Meyer,https://www.brainyquote.com/authors/paul-j-meyer-quotes
"Of all of our inventions for mass communication, pictures still speak the most universally understood language.",https://www.brainyquote.com/quotes/walt_disney_131651?src=t_communication,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
"Talk low, talk slow and don't say too much.",https://www.brainyquote.com/quotes/john_wayne_100060?src=t_communication,John Wayne,https://www.brainyquote.com/authors/john-wayne-quotes
"If you have an important point to make, don't try to be subtle or clever. Use a pile driver. Hit the point once. Then come back and hit it again. Then hit it a third time - a tremendous whack.",https://www.brainyquote.com/quotes/winston_churchill_111314?src=t_communication,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
The most important thing in communication is hearing what isn't said.,https://www.brainyquote.com/quotes/peter_drucker_142500?src=t_communication,Peter Drucker,https://www.brainyquote.com/authors/peter-drucker-quotes
"Communication is a skill that you can learn. It's like riding a bicycle or typing. If you're willing to work at it, you can rapidly improve the quality of evry part of your life.",https://www.brainyquote.com/quotes/brian_tracy_401625?src=t_communication,Brian Tracy,https://www.brainyquote.com/authors/brian-tracy-quotes
The ability to simplify means to eliminate the unnecessary so that the necessary may speak.,https://www.brainyquote.com/quotes/hans_hofmann_107805?src=t_communication,Hans Hofmann,https://www.brainyquote.com/authors/hans-hofmann-quotes
It usually takes me more than three weeks to prepare a good impromptu speech.,https://www.brainyquote.com/quotes/mark_twain_100433?src=t_communication,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"To effectively communicate, we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others.",https://www.brainyquote.com/quotes/tony_robbins_132532?src=t_communication,Tony Robbins,https://www.brainyquote.com/authors/tony-robbins-quotes
"Good communication is just as stimulating as black coffee, and just as hard to sleep after.",https://www.brainyquote.com/quotes/anne_morrow_lindbergh_136164?src=t_communication,Anne Morrow Lindbergh,https://www.brainyquote.com/authors/anne-morrow-lindbergh-quotes
"The basic tool for the manipulation of reality is the manipulation of words. If you can control the meaning of words, you can control the people who must use the words.",https://www.brainyquote.com/quotes/philip_k_dick_163099?src=t_communication,Philip K. Dick,https://www.brainyquote.com/authors/philip-k-dick-quotes
"The two words 'information' and 'communication' are often used interchangeably, but they signify quite different things. Information is giving out; communication is getting through.",https://www.brainyquote.com/quotes/sydney_j_harris_101958?src=t_communication,Sydney J. Harris,https://www.brainyquote.com/authors/sydney-j-harris-quotes
Truthful words are not beautiful; beautiful words are not truthful. Good words are not persuasive; persuasive words are not good.,https://www.brainyquote.com/quotes/lao_tzu_390341?src=t_communication,Lao Tzu,https://www.brainyquote.com/authors/lao-tzu-quotes
"The game of life is a game of boomerangs. Our thoughts, deeds and words return to us sooner or later with astounding accuracy.",https://www.brainyquote.com/quotes/florence_scovel_shinn_155115?src=t_communication,Florence Scovel Shinn,https://www.brainyquote.com/authors/florence-scovel-shinn-quotes
A different language is a different vision of life.,https://www.brainyquote.com/quotes/federico_fellini_106347?src=t_communication,Federico Fellini,https://www.brainyquote.com/authors/federico-fellini-quotes
Whatever words we utter should be chosen with care for people will hear them and be influenced by them for good or ill.,https://www.brainyquote.com/quotes/buddha_118669?src=t_communication,Buddha,https://www.brainyquote.com/authors/buddha-quotes
The pen is the tongue of the mind.,https://www.brainyquote.com/quotes/horace_118837?src=t_communication,Horace,https://www.brainyquote.com/authors/horace-quotes
Don't tell me the moon is shining; show me the glint of light on broken glass.,https://www.brainyquote.com/quotes/anton_chekhov_161950?src=t_communication,Anton Chekhov,https://www.brainyquote.com/authors/anton-chekhov-quotes
"Be still when you have nothing to say; when genuine passion moves you, say what you've got to say, and say it hot.",https://www.brainyquote.com/quotes/d_h_lawrence_188601?src=t_communication,D. H. Lawrence,https://www.brainyquote.com/authors/d-h-lawrence-quotes
My belief is that communication is the best way to create strong relationships.,https://www.brainyquote.com/quotes/jada_pinkett_smith_426639?src=t_communication,Jada Pinkett Smith,https://www.brainyquote.com/authors/jada-pinkett-smith-quotes
"Blessed is the man, who having nothing to say, abstains from giving wordy evidence of the fact.",https://www.brainyquote.com/quotes/george_eliot_161537?src=t_communication,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
"Any problem, big or small, within a family, always seems to start with bad communication. Someone isn't listening.",https://www.brainyquote.com/quotes/emma_thompson_360147?src=t_communication,Emma Thompson,https://www.brainyquote.com/authors/emma-thompson-quotes
"Words are, of course, the most powerful drug used by mankind.",https://www.brainyquote.com/quotes/rudyard_kipling_101386?src=t_communication,Rudyard Kipling,https://www.brainyquote.com/authors/rudyard-kipling-quotes
Metaphors have a way of holding the most truth in the least space.,https://www.brainyquote.com/quotes/orson_scott_card_108637?src=t_communication,Orson Scott Card,https://www.brainyquote.com/authors/orson-scott-card-quotes
"Number one, cash is king... number two, communicate... number three, buy or bury the competition.",https://www.brainyquote.com/quotes/jack_welch_412661?src=t_communication,Jack Welch,https://www.brainyquote.com/authors/jack-welch-quotes
