quote,quote_url,author,author_url
"A computer once beat me at chess, but it was no match for me at kick boxing.",https://www.brainyquote.com/quotes/emo_philips_128993?src=t_computers,Emo Philips,https://www.brainyquote.com/authors/emo-philips-quotes
Never trust a computer you can't throw out a window.,https://www.brainyquote.com/quotes/steve_wozniak_101335?src=t_computers,Steve Wozniak,https://www.brainyquote.com/authors/steve-wozniak-quotes
"To err is human, but to really foul things up you need a computer.",https://www.brainyquote.com/quotes/paul_r_ehrlich_128388?src=t_computers,Paul R. Ehrlich,https://www.brainyquote.com/authors/paul-r-ehrlich-quotes
"The internet could be a very positive step towards education, organisation and participation in a meaningful society.",https://www.brainyquote.com/quotes/noam_chomsky_447294?src=t_computers,Noam Chomsky,https://www.brainyquote.com/authors/noam-chomsky-quotes
Access to computers and the Internet has become a basic need for education in our society.,https://www.brainyquote.com/quotes/kent_conrad_168841?src=t_computers,Kent Conrad,https://www.brainyquote.com/authors/kent-conrad-quotes
"I think it's fair to say that personal computers have become the most empowering tool we've ever created. They're tools of communication, they're tools of creativity, and they can be shaped by their user.",https://www.brainyquote.com/quotes/bill_gates_173261?src=t_computers,Bill Gates,https://www.brainyquote.com/authors/bill-gates-quotes
The good news about computers is that they do what you tell them to do. The bad news is that they do what you tell them to do.,https://www.brainyquote.com/quotes/ted_nelson_184205?src=t_computers,Ted Nelson,https://www.brainyquote.com/authors/ted-nelson-quotes
"The Internet is not just one thing, it's a collection of things - of numerous communications networks that all speak the same digital language.",https://www.brainyquote.com/quotes/james_h_clark_102045?src=t_computers,James H. Clark,https://www.brainyquote.com/authors/james-h-clark-quotes
I do not fear computers. I fear the lack of them.,https://www.brainyquote.com/quotes/isaac_asimov_100104?src=t_computers,Isaac Asimov,https://www.brainyquote.com/authors/isaac-asimov-quotes
Computers are like Old Testament gods; lots of rules and no mercy.,https://www.brainyquote.com/quotes/joseph_campbell_383491?src=t_computers,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
Computing is not about computers any more. It is about living.,https://www.brainyquote.com/quotes/nicholas_negroponte_130283?src=t_computers,Nicholas Negroponte,https://www.brainyquote.com/authors/nicholas-negroponte-quotes
The digital revolution is far more significant than the invention of writing or even of printing.,https://www.brainyquote.com/quotes/douglas_engelbart_100293?src=t_computers,Douglas Engelbart,https://www.brainyquote.com/authors/douglas-engelbart-quotes
Computer science is no more about computers than astronomy is about telescopes.,https://www.brainyquote.com/quotes/edsger_dijkstra_201168?src=t_computers,Edsger Dijkstra,https://www.brainyquote.com/authors/edsger-dijkstra-quotes
"The real danger is not that computers will begin to think like men, but that men will begin to think like computers.",https://www.brainyquote.com/quotes/sydney_j_harris_104631?src=t_computers,Sydney J. Harris,https://www.brainyquote.com/authors/sydney-j-harris-quotes
"Computers themselves, and software yet to be developed, will revolutionize the way we learn.",https://www.brainyquote.com/quotes/steve_jobs_416899?src=t_computers,Steve Jobs,https://www.brainyquote.com/authors/steve-jobs-quotes
Computers are useless. They can only give you answers.,https://www.brainyquote.com/quotes/pablo_picasso_102018?src=t_computers,Pablo Picasso,https://www.brainyquote.com/authors/pablo-picasso-quotes
Man is still the most extraordinary computer of all.,https://www.brainyquote.com/quotes/john_f_kennedy_110084?src=t_computers,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"When people think about computer science, they imagine people with pocket protectors and thick glasses who code all night.",https://www.brainyquote.com/quotes/marissa_mayer_456048?src=t_computers,Marissa Mayer,https://www.brainyquote.com/authors/marissa-mayer-quotes
The computer is a moron.,https://www.brainyquote.com/quotes/peter_drucker_101331?src=t_computers,Peter Drucker,https://www.brainyquote.com/authors/peter-drucker-quotes
We're entering a new world in which data may be more important than software.,https://www.brainyquote.com/quotes/tim_oreilly_219565?src=t_computers,Tim O'Reilly,https://www.brainyquote.com/authors/tim-oreilly-quotes
"Computers are magnificent tools for the realization of our dreams, but no machine can replace the human spark of spirit, compassion, love, and understanding.",https://www.brainyquote.com/quotes/louis_v_gerstner_jr_130528?src=t_computers,"Louis V. Gerstner, Jr.",https://www.brainyquote.com/authors/louis-v-gerstner-jr-quotes
"Computers make it easier to do a lot of things, but most of the things they make it easier to do don't need to be done.",https://www.brainyquote.com/quotes/andy_rooney_161413?src=t_computers,Andy Rooney,https://www.brainyquote.com/authors/andy-rooney-quotes
