quote,quote_url,author,author_url
"I'm not the kind of person who tries to be cool or trendy, I'm definitely an individual.",https://www.brainyquote.com/quotes/leonardo_dicaprio_385800?src=t_cool,Leonardo DiCaprio,https://www.brainyquote.com/authors/leonardo-dicaprio-quotes
"Nothing is cooler and more attractive than a big comeback, and that'll be me.",https://www.brainyquote.com/quotes/steven_adler_553745?src=t_cool,Steven Adler,https://www.brainyquote.com/authors/steven-adler-quotes
"I'm a mirror. If you're cool with me, I'm cool with you, and the exchange starts. What you see is what you reflect. If you don't like what you see, then you've done something. If I'm standoffish, that's because you are.",https://www.brainyquote.com/quotes/jayz_416392?src=t_cool,Jay-Z,https://www.brainyquote.com/authors/jay-z-quotes
"Being cool is being your own self, not doing something that someone else is telling you to do.",https://www.brainyquote.com/quotes/vanessa_hudgens_409623?src=t_cool,Vanessa Hudgens,https://www.brainyquote.com/authors/vanessa-hudgens-quotes
"The secret was to just be cool, stay in God's graces, and work it out.",https://www.brainyquote.com/quotes/solomon_burke_272888?src=t_cool,Solomon Burke,https://www.brainyquote.com/authors/solomon-burke-quotes
"To create well I have to be in a good mood, happy and cool.",https://www.brainyquote.com/quotes/marc_newson_278964?src=t_cool,Marc Newson,https://www.brainyquote.com/authors/marc-newson-quotes
Be still and cool in thine own mind and spirit.,https://www.brainyquote.com/quotes/george_fox_182497?src=t_cool,George Fox,https://www.brainyquote.com/authors/george-fox-quotes
I've never been cool - and I don't care.,https://www.brainyquote.com/quotes/celine_dion_263123?src=t_cool,Celine Dion,https://www.brainyquote.com/authors/celine-dion-quotes
"Is a hippopotamus a hippopotamus, or just a really cool Opotamus?",https://www.brainyquote.com/quotes/mitch_hedberg_297478?src=t_cool,Mitch Hedberg,https://www.brainyquote.com/authors/mitch-hedberg-quotes
Rather be dead than cool.,https://www.brainyquote.com/quotes/kurt_cobain_183006?src=t_cool,Kurt Cobain,https://www.brainyquote.com/authors/kurt-cobain-quotes
I think you create your own hipness.,https://www.brainyquote.com/quotes/peabo_bryson_259874?src=t_cool,Peabo Bryson,https://www.brainyquote.com/authors/peabo-bryson-quotes
Let your soul stand cool and composed before a million universes.,https://www.brainyquote.com/quotes/walt_whitman_383391?src=t_cool,Walt Whitman,https://www.brainyquote.com/authors/walt-whitman-quotes
I don't need to hang out in a posse and try to act cool.,https://www.brainyquote.com/quotes/jeremy_london_248136?src=t_cool,Jeremy London,https://www.brainyquote.com/authors/jeremy-london-quotes
"I can take it. The tougher it gets, the cooler I get.",https://www.brainyquote.com/quotes/richard_m_nixon_101894?src=t_cool,Richard M. Nixon,https://www.brainyquote.com/authors/richard-m-nixon-quotes
"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.",https://www.brainyquote.com/quotes/joyce_meyer_567700?src=t_cool,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
Good words cool more than cold water.,https://www.brainyquote.com/quotes/john_ray_131612?src=t_cool,John Ray,https://www.brainyquote.com/authors/john-ray-quotes
I'm cool with failing so long as I know that there are people around me that love me unconditionally.,https://www.brainyquote.com/quotes/dave_chappelle_432992?src=t_cool,Dave Chappelle,https://www.brainyquote.com/authors/dave-chappelle-quotes
"I suppose being fierce is a very good thing, and a very cool thing. But more than fierce, I think I'm a strong person and a strong individual. And that's what I take with me every day.",https://www.brainyquote.com/quotes/johnny_weir_549398?src=t_cool,Johnny Weir,https://www.brainyquote.com/authors/johnny-weir-quotes
You don't have to carry a designer bag that costs more than a car to look cool.,https://www.brainyquote.com/quotes/kesha_430619?src=t_cool,Kesha,https://www.brainyquote.com/authors/kesha-quotes
Keep a cool head and maintain a low profile. Never take the lead - but aim to do something big.,https://www.brainyquote.com/quotes/deng_xiaoping_389422?src=t_cool,Deng Xiaoping,https://www.brainyquote.com/authors/deng-xiaoping-quotes
"Whatever hysteria exists is inflamed by mystery, suspicion and secrecy. Hard and exact facts will cool it.",https://www.brainyquote.com/quotes/elia_kazan_307020?src=t_cool,Elia Kazan,https://www.brainyquote.com/authors/elia-kazan-quotes
He who keeps his cool best wins.,https://www.brainyquote.com/quotes/norman_cousins_380434?src=t_cool,Norman Cousins,https://www.brainyquote.com/authors/norman-cousins-quotes
Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,https://www.brainyquote.com/quotes/thomas_jefferson_132205?src=t_cool,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
All of my favorite people - people I really trust - none of them were cool in their younger years.,https://www.brainyquote.com/quotes/taylor_swift_450957?src=t_cool,Taylor Swift,https://www.brainyquote.com/authors/taylor-swift-quotes
I've never been cool and I don't really care about being cool. It's just an awful lot of time and hair gel wasted.,https://www.brainyquote.com/quotes/chris_martin_423789?src=t_cool,Chris Martin,https://www.brainyquote.com/authors/chris-martin-quotes
"Competition is great. And as long as it's friendly and not a malicious thing, then I think it's cool.",https://www.brainyquote.com/quotes/janet_jackson_461246?src=t_cool,Janet Jackson,https://www.brainyquote.com/authors/janet-jackson-quotes
"I don't think of myself as hot or cool or anything, just a dork.",https://www.brainyquote.com/quotes/ashley_olsen_427338?src=t_cool,Ashley Olsen,https://www.brainyquote.com/authors/ashley-olsen-quotes
"Sometimes just when I say hello the right way, I'm like, 'Whoa, I'm so cool.'",https://www.brainyquote.com/quotes/robert_pattinson_415048?src=t_cool,Robert Pattinson,https://www.brainyquote.com/authors/robert-pattinson-quotes
One cool judgment is worth a thousand hasty counsels. The thing to do is to supply light and not heat.,https://www.brainyquote.com/quotes/woodrow_wilson_110374?src=t_cool,Woodrow Wilson,https://www.brainyquote.com/authors/woodrow-wilson-quotes
I want to be a vampire. They're the coolest monsters.,https://www.brainyquote.com/quotes/gerard_way_426924?src=t_cool,Gerard Way,https://www.brainyquote.com/authors/gerard-way-quotes
"I think it would be cool if you were writing a ransom note on your computer, if the paper clip popped up and said, 'Looks like you're writing a ransom note. Need help? You should use more forceful language, you'll get more money.'",https://www.brainyquote.com/quotes/demetri_martin_416822?src=t_cool,Demetri Martin,https://www.brainyquote.com/authors/demetri-martin-quotes
"I never cut class. I loved getting A's, I liked being smart. I liked being on time. I thought being smart is cooler than anything in the world.",https://www.brainyquote.com/quotes/michelle_obama_415508?src=t_cool,Michelle Obama,https://www.brainyquote.com/authors/michelle-obama-quotes
"When I was younger, the pressure was just being cool. I never thought of myself as a cool guy. I always thought of myself as more of the goofy guy.",https://www.brainyquote.com/quotes/paul_walker_424433?src=t_cool,Paul Walker,https://www.brainyquote.com/authors/paul-walker-quotes
"I think all jocks have a sensitive side. It's just, will they show it to anybody? Will they let their guard down and stop being tough and the cool jock guy around their friends, or just relax? I don't know if it's best to say opening up, but just relax and really say what you're actually thinking, and not what you think people want to hear.",https://www.brainyquote.com/quotes/channing_tatum_410655?src=t_cool,Channing Tatum,https://www.brainyquote.com/authors/channing-tatum-quotes
"All women do have a different sense of sexuality, or sense of fun, or sense of like what's sexy or cool or tough.",https://www.brainyquote.com/quotes/angelina_jolie_141882?src=t_cool,Angelina Jolie,https://www.brainyquote.com/authors/angelina-jolie-quotes
"People see my photos and think I labor over my image and I'm this cool, brooding artist. But I'm just having fun with it.",https://www.brainyquote.com/quotes/lenny_kravitz_333805?src=t_cool,Lenny Kravitz,https://www.brainyquote.com/authors/lenny-kravitz-quotes
"I think you have to be cool to be a good flirt, and I don't think I'm very cool.",https://www.brainyquote.com/quotes/harry_styles_469659?src=t_cool,Harry Styles,https://www.brainyquote.com/authors/harry-styles-quotes
"I'm a geeky toy collector, and to have toys of your own characters is unbelievably cool.",https://www.brainyquote.com/quotes/craig_mccracken_274030?src=t_cool,Craig McCracken,https://www.brainyquote.com/authors/craig-mccracken-quotes
"Prominence is cool, but when the delusion kicks in it can be a drag. Especially if you choose to surround yourself with friends and not acolytes.",https://www.brainyquote.com/quotes/barbara_kruger_243796?src=t_cool,Barbara Kruger,https://www.brainyquote.com/authors/barbara-kruger-quotes
Morgan Freeman is so class. He's so cool. He's so scary.,https://www.brainyquote.com/quotes/jim_carrey_360650?src=t_cool,Jim Carrey,https://www.brainyquote.com/authors/jim-carrey-quotes
Being uncool is being pretty much the coolest you can be.,https://www.brainyquote.com/quotes/rufus_wainwright_545119?src=t_cool,Rufus Wainwright,https://www.brainyquote.com/authors/rufus-wainwright-quotes
I never saw music in terms of men and women or black and white. There was just cool and uncool.,https://www.brainyquote.com/quotes/bonnie_raitt_461365?src=t_cool,Bonnie Raitt,https://www.brainyquote.com/authors/bonnie-raitt-quotes
"Some years I'm the coolest thing that ever happened, and then the next year everyone's so over me, and I'm just so past my sell date.",https://www.brainyquote.com/quotes/cher_392915?src=t_cool,Cher,https://www.brainyquote.com/authors/cher-quotes
Heroes don't wear diapers. It's just not cool.,https://www.brainyquote.com/quotes/felix_baumgartner_464455?src=t_cool,Felix Baumgartner,https://www.brainyquote.com/authors/felix-baumgartner-quotes
"People look at me and see a calm, cool guy on the sidelines and I want them to know that my Christian faith affects my coaching and everything I do.",https://www.brainyquote.com/quotes/tony_dungy_417887?src=t_cool,Tony Dungy,https://www.brainyquote.com/authors/tony-dungy-quotes
I just tried to keep my cool and continue with my race plan: to win.,https://www.brainyquote.com/quotes/mark_spitz_275061?src=t_cool,Mark Spitz,https://www.brainyquote.com/authors/mark-spitz-quotes
"And in a world without heroes, as the movie trailer voice-over guy might say, the slightly awkward can be slightly cool.",https://www.brainyquote.com/quotes/adam_brody_420524?src=t_cool,Adam Brody,https://www.brainyquote.com/authors/adam-brody-quotes
"These days it's cool to be ethnic and to be different, but when I was a kid, it was not cool - at all. My friends would come over and my mom would make crepes with eggs, stuffed with mozzarella cheese, tomatoes and spinach. And they'd be like, 'What is this?'",https://www.brainyquote.com/quotes/giada_de_laurentiis_442540?src=t_cool,Giada De Laurentiis,https://www.brainyquote.com/authors/giada-de-laurentiis-quotes
"Being cool, having a 'cool' energy is just not attractive to me.",https://www.brainyquote.com/quotes/selena_gomez_452174?src=t_cool,Selena Gomez,https://www.brainyquote.com/authors/selena-gomez-quotes
Sometimes life's so much cooler when you just don't know any better and all the painful lessons have not hammered your head open yet.,https://www.brainyquote.com/quotes/anthony_kiedis_256594?src=t_cool,Anthony Kiedis,https://www.brainyquote.com/authors/anthony-kiedis-quotes
"I'm cute - and God I hate that. Because that's not cool. I'm like your niece, and nobody wants to date their niece. It's the chubby cheeks. The whole reason people voted for me on American Idol is because I'm an everyday, normal girl.",https://www.brainyquote.com/quotes/kelly_clarkson_169447?src=t_cool,Kelly Clarkson,https://www.brainyquote.com/authors/kelly-clarkson-quotes
There aren't many poster children for cool angst. Everybody thinks it's cool if you're the bad girl.,https://www.brainyquote.com/quotes/fiona_apple_327693?src=t_cool,Fiona Apple,https://www.brainyquote.com/authors/fiona-apple-quotes
"To act coolly, intelligently and prudently in perilous circumstances is the test of a man - and also a nation.",https://www.brainyquote.com/quotes/adlai_stevenson_i_114084?src=t_cool,Adlai Stevenson I,https://www.brainyquote.com/authors/adlai-stevenson-i-quotes
"It seems like once people grow up, they have no idea what's cool.",https://www.brainyquote.com/quotes/bill_watterson_132105?src=t_cool,Bill Watterson,https://www.brainyquote.com/authors/bill-watterson-quotes
"The simple truth is that balding African-American men look cool when they shave their heads, whereas balding white men look like giant thumbs.",https://www.brainyquote.com/quotes/dave_barry_102209?src=t_cool,Dave Barry,https://www.brainyquote.com/authors/dave-barry-quotes
It looks good when you see someone kicking at the age of 51 with no double. It's kinda cool for people to know that past 50 we can keep flexible.,https://www.brainyquote.com/quotes/jeanclaude_van_damme_444885?src=t_cool,Jean-Claude Van Damme,https://www.brainyquote.com/authors/jean-claude-van-damme-quotes
"Some people are cool with the fact that their bodies bear witness to this great thing they produced, their children, and I understand that. But on a personal level, it makes me feel better that my breasts are not down to my knees when I'm undressed in front of my husband.",https://www.brainyquote.com/quotes/patricia_heaton_286063?src=t_cool,Patricia Heaton,https://www.brainyquote.com/authors/patricia-heaton-quotes
"I'm a flamboyant type of guy, a cooler version of Liberace.",https://www.brainyquote.com/quotes/usher_184761?src=t_cool,Usher,https://www.brainyquote.com/authors/usher-quotes
Spiderman can climb walls and he's got a cool outfit.,https://www.brainyquote.com/quotes/rhona_mitra_356479?src=t_cool,Rhona Mitra,https://www.brainyquote.com/authors/rhona-mitra-quotes
I've never done anything because I thought it would look cool.,https://www.brainyquote.com/quotes/john_mayer_450148?src=t_cool,John Mayer,https://www.brainyquote.com/authors/john-mayer-quotes
