quote,quote_url,author,author_url
Only those who will risk going too far can possibly find out how far one can go.,https://www.brainyquote.com/quotes/t_s_eliot_161678?src=t_courage,T. S. Eliot,https://www.brainyquote.com/authors/t-s-eliot-quotes
"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",https://www.brainyquote.com/quotes/steve_jobs_416854?src=t_courage,Steve Jobs,https://www.brainyquote.com/authors/steve-jobs-quotes
What would life be if we had no courage to attempt anything?,https://www.brainyquote.com/quotes/vincent_van_gogh_150781?src=t_courage,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
Happy are those who dare courageously to defend what they love.,https://www.brainyquote.com/quotes/ovid_159362?src=t_courage,Ovid,https://www.brainyquote.com/authors/ovid-quotes
Never bend your head. Always hold it high. Look the world straight in the eye.,https://www.brainyquote.com/quotes/helen_keller_162480?src=t_courage,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
We must build dikes of courage to hold back the flood of fear.,https://www.brainyquote.com/quotes/martin_luther_king_jr_297514?src=t_courage,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Man cannot discover new oceans unless he has the courage to lose sight of the shore.,https://www.brainyquote.com/quotes/andre_gide_120088?src=t_courage,Andre Gide,https://www.brainyquote.com/authors/andre-gide-quotes
The secret to happiness is freedom... And the secret to freedom is courage.,https://www.brainyquote.com/quotes/thucydides_384481?src=t_courage,Thucydides,https://www.brainyquote.com/authors/thucydides-quotes
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",https://www.brainyquote.com/quotes/nelson_mandela_178789?src=t_courage,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
He who is not courageous enough to take risks will accomplish nothing in life.,https://www.brainyquote.com/quotes/muhammad_ali_148633?src=t_courage,Muhammad Ali,https://www.brainyquote.com/authors/muhammad-ali-quotes
"Jump, and you will find out how to unfold your wings as you fall.",https://www.brainyquote.com/quotes/ray_bradbury_383404?src=t_courage,Ray Bradbury,https://www.brainyquote.com/authors/ray-bradbury-quotes
"Inaction breeds doubt and fear. Action breeds confidence and courage. If you want to conquer fear, do not sit home and think about it. Go out and get busy.",https://www.brainyquote.com/quotes/dale_carnegie_132157?src=t_courage,Dale Carnegie,https://www.brainyquote.com/authors/dale-carnegie-quotes
Courage is being scared to death... and saddling up anyway.,https://www.brainyquote.com/quotes/john_wayne_161631?src=t_courage,John Wayne,https://www.brainyquote.com/authors/john-wayne-quotes
"Courage is resistance to fear, mastery of fear, not absence of fear.",https://www.brainyquote.com/quotes/mark_twain_138540?src=t_courage,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"Courage is contagious. When a brave man takes a stand, the spines of others are often stiffened.",https://www.brainyquote.com/quotes/billy_graham_113622?src=t_courage,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
Courage is grace under pressure.,https://www.brainyquote.com/quotes/ernest_hemingway_131094?src=t_courage,Ernest Hemingway,https://www.brainyquote.com/authors/ernest-hemingway-quotes
Life shrinks or expands in proportion to one's courage.,https://www.brainyquote.com/quotes/anais_nin_131904?src=t_courage,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
"Courage is the most important of all the virtues, because without courage you can't practice any other virtue consistently. You can practice any virtue erratically, but nothing consistently without courage.",https://www.brainyquote.com/quotes/maya_angelou_120859?src=t_courage,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"Courage is fire, and bullying is smoke.",https://www.brainyquote.com/quotes/benjamin_disraeli_154144?src=t_courage,Benjamin Disraeli,https://www.brainyquote.com/authors/benjamin-disraeli-quotes
Courage is found in unlikely places.,https://www.brainyquote.com/quotes/j_r_r_tolkien_109610?src=t_courage,J. R. R. Tolkien,https://www.brainyquote.com/authors/j-r-r-tolkien-quotes
"Courage is not simply one of the virtues, but the form of every virtue at the testing point.",https://www.brainyquote.com/quotes/c_s_lewis_100842?src=t_courage,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
"It takes a lot of courage to release the familiar and seemingly secure, to embrace the new. But there is no real security in what is no longer meaningful. There is more security in the adventurous and exciting, for in movement there is life, and in change there is power.",https://www.brainyquote.com/quotes/alan_cohen_188584?src=t_courage,Alan Cohen,https://www.brainyquote.com/authors/alan-cohen-quotes
"The opposite for courage is not cowardice, it is conformity. Even a dead fish can go with the flow.",https://www.brainyquote.com/quotes/jim_hightower_368748?src=t_courage,Jim Hightower,https://www.brainyquote.com/authors/jim-hightower-quotes
"Success is never final, failure is never fatal. It's courage that counts.",https://www.brainyquote.com/quotes/john_wooden_384233?src=t_courage,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
"If you have no confidence in self, you are twice defeated in the race of life.",https://www.brainyquote.com/quotes/marcus_garvey_365155?src=t_courage,Marcus Garvey,https://www.brainyquote.com/authors/marcus-garvey-quotes
"Fearlessness is not only possible, it is the ultimate joy. When you touch nonfear, you are free.",https://www.brainyquote.com/quotes/thich_nhat_hanh_531575?src=t_courage,Thich Nhat Hanh,https://www.brainyquote.com/authors/thich-nhat-hanh-quotes
"If you are lucky enough to find a way of life you love, you have to find the courage to live it.",https://www.brainyquote.com/quotes/john_irving_121146?src=t_courage,John Irving,https://www.brainyquote.com/authors/john-irving-quotes
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",https://www.brainyquote.com/quotes/eleanor_roosevelt_121157?src=t_courage,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
Efforts and courage are not enough without purpose and direction.,https://www.brainyquote.com/quotes/john_f_kennedy_164001?src=t_courage,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"My message, especially to young people is to have courage to think differently, courage to invent, to travel the unexplored path, courage to discover the impossible and to conquer the problems and succeed. These are great qualities that they must work towards. This is my message to the young people.",https://www.brainyquote.com/quotes/a_p_j_abdul_kalam_446330?src=t_courage,A. P. J. Abdul Kalam,https://www.brainyquote.com/authors/a-p-j-abdul-kalam-quotes
You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,https://www.brainyquote.com/quotes/aristotle_117889?src=t_courage,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
The eagle has no fear of adversity. We need to be like the eagle and have a fearless spirit of a conqueror!,https://www.brainyquote.com/quotes/joyce_meyer_567652?src=t_courage,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
Courage is knowing what not to fear.,https://www.brainyquote.com/quotes/plato_104744?src=t_courage,Plato,https://www.brainyquote.com/authors/plato-quotes
"We have a powerful potential in out youth, and we must have the courage to change old ideas and practices so that we may direct their power toward good ends.",https://www.brainyquote.com/quotes/mary_mcleod_bethune_134546?src=t_courage,Mary McLeod Bethune,https://www.brainyquote.com/authors/mary-mcleod-bethune-quotes
Courage is the price that life exacts for granting peace.,https://www.brainyquote.com/quotes/amelia_earhart_141466?src=t_courage,Amelia Earhart,https://www.brainyquote.com/authors/amelia-earhart-quotes
Bravery is being the only one who knows you're afraid.,https://www.brainyquote.com/quotes/franklin_p_jones_104725?src=t_courage,Franklin P. Jones,https://www.brainyquote.com/authors/franklin-p-jones-quotes
"There are no easy answers, but there are simple answers. We must have the courage to do what we know is morally right.",https://www.brainyquote.com/quotes/ronald_reagan_183976?src=t_courage,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,https://www.brainyquote.com/quotes/morihei_ueshiba_183603?src=t_courage,Morihei Ueshiba,https://www.brainyquote.com/authors/morihei-ueshiba-quotes
Courage is fear holding on a minute longer.,https://www.brainyquote.com/quotes/george_s_patton_104742?src=t_courage,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
"Courage, above all things, is the first quality of a warrior.",https://www.brainyquote.com/quotes/carl_von_clausewitz_143516?src=t_courage,Carl von Clausewitz,https://www.brainyquote.com/authors/carl-von-clausewitz-quotes
"Have no fear of moving into the unknown. Simply step out fearlessly knowing that I am with you, therefore no harm can befall you; all is very, very well. Do this in complete faith and confidence.",https://www.brainyquote.com/quotes/pope_john_paul_ii_158581?src=t_courage,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
Creativity takes courage.,https://www.brainyquote.com/quotes/henri_matisse_380058?src=t_courage,Henri Matisse,https://www.brainyquote.com/authors/henri-matisse-quotes
