quote,quote_url,author,author_url
"When one has not had a good father, one must create one.",https://www.brainyquote.com/quotes/friedrich_nietzsche_159184?src=t_dad,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"Father told me that if I ever met a lady in a dress like yours, I must look her straight in the eyes.",https://www.brainyquote.com/quotes/prince_charles_111221?src=t_dad,Prince Charles,https://www.brainyquote.com/authors/prince-charles-quotes
"When I was 18, I thought my father was pretty dumb. After a while when I got to be 21, I was amazed to find out how much he'd learned in three years.",https://www.brainyquote.com/quotes/frank_butler_401173?src=t_dad,Frank Butler,https://www.brainyquote.com/authors/frank-butler-quotes
I stopped loving my father a long time ago. What remained was the slavery to a pattern.,https://www.brainyquote.com/quotes/anais_nin_159050?src=t_dad,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
A father is a man who expects his son to be as good a man as he meant to be.,https://www.brainyquote.com/quotes/frank_a_clark_400909?src=t_dad,Frank A. Clark,https://www.brainyquote.com/authors/frank-a-clark-quotes
The child is father of the man.,https://www.brainyquote.com/quotes/william_wordsworth_398535?src=t_dad,William Wordsworth,https://www.brainyquote.com/authors/william-wordsworth-quotes
"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.",https://www.brainyquote.com/quotes/hugh_jackman_473121?src=t_dad,Hugh Jackman,https://www.brainyquote.com/authors/hugh-jackman-quotes
My father was my teacher. But most importantly he was a great dad.,https://www.brainyquote.com/quotes/beau_bridges_216423?src=t_dad,Beau Bridges,https://www.brainyquote.com/authors/beau-bridges-quotes
Whenever I fail as a father or husband... a toy and a diamond always works.,https://www.brainyquote.com/quotes/shah_rukh_khan_183791?src=t_dad,Shah Rukh Khan,https://www.brainyquote.com/authors/shah-rukh-khan-quotes
My Father had a profound influence on me. He was a lunatic.,https://www.brainyquote.com/quotes/spike_milligan_128493?src=t_dad,Spike Milligan,https://www.brainyquote.com/authors/spike-milligan-quotes
It was my father who taught me to value myself. He told me that I was uncommonly beautiful and that I was the most precious thing in his life.,https://www.brainyquote.com/quotes/dawn_french_263666?src=t_dad,Dawn French,https://www.brainyquote.com/authors/dawn-french-quotes
"That is the thankless position of the father in the family - the provider for all, and the enemy of all.",https://www.brainyquote.com/quotes/august_strindberg_155240?src=t_dad,August Strindberg,https://www.brainyquote.com/authors/august-strindberg-quotes
