quote,quote_url,author,author_url
I don't have a girlfriend. But I do know a woman who'd be mad at me for saying that.,https://www.brainyquote.com/quotes/mitch_hedberg_131583?src=t_dating,Mitch Hedberg,https://www.brainyquote.com/authors/mitch-hedberg-quotes
"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.",https://www.brainyquote.com/quotes/nicole_scherzinger_500449?src=t_dating,Nicole Scherzinger,https://www.brainyquote.com/authors/nicole-scherzinger-quotes
"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",https://www.brainyquote.com/quotes/william_shakespeare_155061?src=t_dating,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Love is like a virus. It can happen to anybody at any time.,https://www.brainyquote.com/quotes/maya_angelou_382746?src=t_dating,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
There's only two people in your life you should lie to... the police and your girlfriend.,https://www.brainyquote.com/quotes/jack_nicholson_381459?src=t_dating,Jack Nicholson,https://www.brainyquote.com/authors/jack-nicholson-quotes
"If there hadn't been women we'd still be squatting in a cave eating raw meat, because we made civilization in order to impress our girlfriends.",https://www.brainyquote.com/quotes/orson_welles_109691?src=t_dating,Orson Welles,https://www.brainyquote.com/authors/orson-welles-quotes
"Never let a fool kiss you, or a kiss fool you.",https://www.brainyquote.com/quotes/joey_adams_378490?src=t_dating,Joey Adams,https://www.brainyquote.com/authors/joey-adams-quotes
Choose a wife rather by your ear than your eye.,https://www.brainyquote.com/quotes/thomas_fuller_138955?src=t_dating,Thomas Fuller,https://www.brainyquote.com/authors/thomas-fuller-quotes
"Kissing someone is pretty intimate, actually very intimate, and your heart always kind of skips a beat before you do that.",https://www.brainyquote.com/quotes/keanu_reeves_369055?src=t_dating,Keanu Reeves,https://www.brainyquote.com/authors/keanu-reeves-quotes
"Save a boyfriend for a rainy day - and another, in case it doesn't rain.",https://www.brainyquote.com/quotes/mae_west_125640?src=t_dating,Mae West,https://www.brainyquote.com/authors/mae-west-quotes
Relationships in general make people a bit nervous. It's about trust. Do I trust you enough to go there?,https://www.brainyquote.com/quotes/neil_labute_323170?src=t_dating,Neil LaBute,https://www.brainyquote.com/authors/neil-labute-quotes
"Women are like cars: we all want a Ferrari, sometimes want a pickup truck, and end up with a station wagon.",https://www.brainyquote.com/quotes/tim_allen_169594?src=t_dating,Tim Allen,https://www.brainyquote.com/authors/tim-allen-quotes
A bachelor's life is no life for a single man.,https://www.brainyquote.com/quotes/samuel_goldwyn_378841?src=t_dating,Samuel Goldwyn,https://www.brainyquote.com/authors/samuel-goldwyn-quotes
Smart women love smart men more than smart men love smart women.,https://www.brainyquote.com/quotes/natalie_portman_169733?src=t_dating,Natalie Portman,https://www.brainyquote.com/authors/natalie-portman-quotes
"A kiss that is never tasted, is forever and ever wasted.",https://www.brainyquote.com/quotes/billie_holiday_167424?src=t_dating,Billie Holiday,https://www.brainyquote.com/authors/billie-holiday-quotes
Real magic in relationships means an absence of judgment of others.,https://www.brainyquote.com/quotes/wayne_dyer_383621?src=t_dating,Wayne Dyer,https://www.brainyquote.com/authors/wayne-dyer-quotes
Practically all the relationships I know are based on a foundation of lies and mutually accepted delusion.,https://www.brainyquote.com/quotes/kim_cattrall_389227?src=t_dating,Kim Cattrall,https://www.brainyquote.com/authors/kim-cattrall-quotes
The sea hath fish for every man.,https://www.brainyquote.com/quotes/william_camden_187458?src=t_dating,William Camden,https://www.brainyquote.com/authors/william-camden-quotes
"In literature as in love, we are astonished at what is chosen by others.",https://www.brainyquote.com/quotes/andre_maurois_115818?src=t_dating,Andre Maurois,https://www.brainyquote.com/authors/andre-maurois-quotes
No man should marry until he has studied anatomy and dissected at least one woman.,https://www.brainyquote.com/quotes/honore_de_balzac_136033?src=t_dating,Honore de Balzac,https://www.brainyquote.com/authors/honore-de-balzac-quotes
Kindness is really important to me in finding my own prince - so are patience and a sense of humor. Without those qualities he's no Prince Charming!,https://www.brainyquote.com/quotes/anne_hathaway_544096?src=t_dating,Anne Hathaway,https://www.brainyquote.com/authors/anne-hathaway-quotes
Wine comes in at the mouth And love comes in at the eye; That's all we shall know for truth Before we grow old and die.,https://www.brainyquote.com/quotes/william_butler_yeats_390385?src=t_dating,William Butler Yeats,https://www.brainyquote.com/authors/william-butler-yeats-quotes
"In my dreams, I could be a Princess, and that's what I was. Like most little girls, I believed nothing less than a Prince could make my dreams come true.",https://www.brainyquote.com/quotes/loretta_young_393490?src=t_dating,Loretta Young,https://www.brainyquote.com/authors/loretta-young-quotes
"I prefer ordinary girls - you know, college students, waitresses, that sort of thing. Most of the girls I go out with are just good friends. Just because I go out to the cinema with a girl, it doesn't mean we are dating.",https://www.brainyquote.com/quotes/leonardo_dicaprio_127881?src=t_dating,Leonardo DiCaprio,https://www.brainyquote.com/authors/leonardo-dicaprio-quotes
