quote,quote_url,author,author_url
"If a man has not discovered something that he will die for, he isn't fit to live.",https://www.brainyquote.com/quotes/martin_luther_king_jr_101378?src=t_death,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Some people die at 25 and aren't buried until 75.,https://www.brainyquote.com/quotes/benjamin_franklin_129949?src=t_death,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"It is not death that a man should fear, but he should fear never beginning to live.",https://www.brainyquote.com/quotes/marcus_aurelius_148732?src=t_death,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,https://www.brainyquote.com/quotes/mark_twain_104444?src=t_death,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"Our dead are never dead to us, until we have forgotten them.",https://www.brainyquote.com/quotes/george_eliot_148896?src=t_death,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
Life is hard. Then you die. Then they throw dirt in your face. Then the worms eat you. Be grateful it happens in that order.,https://www.brainyquote.com/quotes/david_gerrold_136980?src=t_death,David Gerrold,https://www.brainyquote.com/authors/david-gerrold-quotes
What we have done for ourselves alone dies with us; what we have done for others and the world remains and is immortal.,https://www.brainyquote.com/quotes/albert_pike_101379?src=t_death,Albert Pike,https://www.brainyquote.com/authors/albert-pike-quotes
The idea is to die young as late as possible.,https://www.brainyquote.com/quotes/ashley_montagu_103947?src=t_death,Ashley Montagu,https://www.brainyquote.com/authors/ashley-montagu-quotes
"And how can man die better than facing fearful odds, for the ashes of his fathers, and the temples of his Gods?",https://www.brainyquote.com/quotes/thomas_babington_macaulay_157811?src=t_death,Thomas Babington Macaulay,https://www.brainyquote.com/authors/thomas-babington-macaulay-quotes
"Death is nothing, but to live defeated and inglorious is to die daily.",https://www.brainyquote.com/quotes/napoleon_bonaparte_108861?src=t_death,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.",https://www.brainyquote.com/quotes/tecumseh_190019?src=t_death,Tecumseh,https://www.brainyquote.com/authors/tecumseh-quotes
I would rather die a meaningful death than to live a meaningless life.,https://www.brainyquote.com/quotes/corazon_aquino_201117?src=t_death,Corazon Aquino,https://www.brainyquote.com/authors/corazon-aquino-quotes
Be ashamed to die until you have won some victory for humanity.,https://www.brainyquote.com/quotes/horace_mann_133541?src=t_death,Horace Mann,https://www.brainyquote.com/authors/horace-mann-quotes
"Suicide is man's way of telling God, 'You can't fire me - I quit.'",https://www.brainyquote.com/quotes/bill_maher_104805?src=t_death,Bill Maher,https://www.brainyquote.com/authors/bill-maher-quotes
The life of the dead is placed in the memory of the living.,https://www.brainyquote.com/quotes/marcus_tullius_cicero_117967?src=t_death,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
"From my rotting body, flowers shall grow and I am in them and that is eternity.",https://www.brainyquote.com/quotes/edvard_munch_104801?src=t_death,Edvard Munch,https://www.brainyquote.com/authors/edvard-munch-quotes
The dead cannot cry out for justice. It is a duty of the living to do so for them.,https://www.brainyquote.com/quotes/lois_mcmaster_bujold_389472?src=t_death,Lois McMaster Bujold,https://www.brainyquote.com/authors/lois-mcmaster-bujold-quotes
"Everybody wants to go to heaven, but nobody wants to die.",https://www.brainyquote.com/quotes/unknown_163459?src=t_death,Unknown,https://www.brainyquote.com/authors/unknown-quotes
"The boundaries which divide Life from Death are at best shadowy and vague. Who shall say where the one ends, and where the other begins?",https://www.brainyquote.com/quotes/edgar_allan_poe_403422?src=t_death,Edgar Allan Poe,https://www.brainyquote.com/authors/edgar-allan-poe-quotes
Cowards die many times before their deaths; the valiant never taste of death but once.,https://www.brainyquote.com/quotes/william_shakespeare_104447?src=t_death,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
"I intend to live forever, or die trying.",https://www.brainyquote.com/quotes/groucho_marx_380026?src=t_death,Groucho Marx,https://www.brainyquote.com/authors/groucho-marx-quotes
You'll have time to rest when you're dead.,https://www.brainyquote.com/quotes/robert_de_niro_108974?src=t_death,Robert De Niro,https://www.brainyquote.com/authors/robert-de-niro-quotes
I am prepared to meet my Maker. Whether my Maker is prepared for the great ordeal of meeting me is another matter.,https://www.brainyquote.com/quotes/winston_churchill_130883?src=t_death,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"I am not afraid of death, I just don't want to be there when it happens.",https://www.brainyquote.com/quotes/woody_allen_138146?src=t_death,Woody Allen,https://www.brainyquote.com/authors/woody-allen-quotes
Some people are so afraid to die that they never begin to live.,https://www.brainyquote.com/quotes/henry_van_dyke_104782?src=t_death,Henry Van Dyke,https://www.brainyquote.com/authors/henry-van-dyke-quotes
"Don't send me flowers when I'm dead. If you like me, send them while I'm alive.",https://www.brainyquote.com/quotes/brian_clough_181427?src=t_death,Brian Clough,https://www.brainyquote.com/authors/brian-clough-quotes
I'll sleep when I'm dead.,https://www.brainyquote.com/quotes/warren_zevon_103623?src=t_death,Warren Zevon,https://www.brainyquote.com/authors/warren-zevon-quotes
"We die only once, and for such a long time.",https://www.brainyquote.com/quotes/moliere_130544?src=t_death,Moliere,https://www.brainyquote.com/authors/moliere-quotes
Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon.,https://www.brainyquote.com/quotes/susan_ertz_104798?src=t_death,Susan Ertz,https://www.brainyquote.com/authors/susan-ertz-quotes
"I am become death, the destroyer of worlds.",https://www.brainyquote.com/quotes/j_robert_oppenheimer_101189?src=t_death,J. Robert Oppenheimer,https://www.brainyquote.com/authors/j-robert-oppenheimer-quotes
"I have never killed a man, but I have read many obituaries with great pleasure.",https://www.brainyquote.com/quotes/clarence_darrow_100381?src=t_death,Clarence Darrow,https://www.brainyquote.com/authors/clarence-darrow-quotes
Someone has to die in order that the rest of us should value life more.,https://www.brainyquote.com/quotes/virginia_woolf_384037?src=t_death,Virginia Woolf,https://www.brainyquote.com/authors/virginia-woolf-quotes
Healthy children will not fear life if their elders have integrity enough not to fear death.,https://www.brainyquote.com/quotes/erik_erikson_104797?src=t_death,Erik Erikson,https://www.brainyquote.com/authors/erik-erikson-quotes
"If we must die, we die defending our rights.",https://www.brainyquote.com/quotes/sitting_bull_260481?src=t_death,Sitting Bull,https://www.brainyquote.com/authors/sitting-bull-quotes
"Dying is easy, it's living that scares me to death.",https://www.brainyquote.com/quotes/annie_lennox_378544?src=t_death,Annie Lennox,https://www.brainyquote.com/authors/annie-lennox-quotes
"Death is no more than passing from one room into another. But there's a difference for me, you know. Because in that other room I shall be able to see.",https://www.brainyquote.com/quotes/helen_keller_117408?src=t_death,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
"Because of indifference, one dies before one actually dies.",https://www.brainyquote.com/quotes/elie_wiesel_162297?src=t_death,Elie Wiesel,https://www.brainyquote.com/authors/elie-wiesel-quotes
Always read something that will make you look good if you die in the middle of it.,https://www.brainyquote.com/quotes/p_j_orourke_104319?src=t_death,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
"Men fear death as children fear to go in the dark; and as that natural fear in children is increased by tales, so is the other.",https://www.brainyquote.com/quotes/francis_bacon_161634?src=t_death,Francis Bacon,https://www.brainyquote.com/authors/francis-bacon-quotes
In the long run we are all dead.,https://www.brainyquote.com/quotes/john_maynard_keynes_380219?src=t_death,John Maynard Keynes,https://www.brainyquote.com/authors/john-maynard-keynes-quotes
