quote,quote_url,author,author_url
The details are not the details. They make the design.,https://www.brainyquote.com/quotes/charles_eames_169188?src=t_design,Charles Eames,https://www.brainyquote.com/authors/charles-eames-quotes
Design is not just what it looks like and feels like. Design is how it works.,https://www.brainyquote.com/quotes/steve_jobs_169129?src=t_design,Steve Jobs,https://www.brainyquote.com/authors/steve-jobs-quotes
"A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.",https://www.brainyquote.com/quotes/antoine_de_saintexupery_121910?src=t_design,Antoine de Saint-Exupery,https://www.brainyquote.com/authors/antoine-de-saint-exupery-quotes
"You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.",https://www.brainyquote.com/quotes/walt_disney_131631?src=t_design,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
Any product that needs a manual to work is broken.,https://www.brainyquote.com/quotes/elon_musk_567244?src=t_design,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"Fashion fades, only style remains the same.",https://www.brainyquote.com/quotes/coco_chanel_377808?src=t_design,Coco Chanel,https://www.brainyquote.com/authors/coco-chanel-quotes
Luck is the residue of design.,https://www.brainyquote.com/quotes/branch_rickey_377079?src=t_design,Branch Rickey,https://www.brainyquote.com/authors/branch-rickey-quotes
"I don't design clothes, I design dreams.",https://www.brainyquote.com/quotes/ralph_lauren_162513?src=t_design,Ralph Lauren,https://www.brainyquote.com/authors/ralph-lauren-quotes
Design is not for philosophy it's for life.,https://www.brainyquote.com/quotes/issey_miyake_395029?src=t_design,Issey Miyake,https://www.brainyquote.com/authors/issey-miyake-quotes
Space is the breath of art.,https://www.brainyquote.com/quotes/frank_lloyd_wright_127728?src=t_design,Frank Lloyd Wright,https://www.brainyquote.com/authors/frank-lloyd-wright-quotes
"A shoe is not only a design, but it's a part of your body language, the way you walk. The way you're going to move is quite dictated by your shoes.",https://www.brainyquote.com/quotes/christian_louboutin_558672?src=t_design,Christian Louboutin,https://www.brainyquote.com/authors/christian-louboutin-quotes
Space and light and order. Those are the things that men need just as much as they need bread or a place to sleep.,https://www.brainyquote.com/quotes/le_corbusier_115263?src=t_design,Le Corbusier,https://www.brainyquote.com/authors/le-corbusier-quotes
