quote,quote_url,author,author_url
"The only way to keep your health is to eat what you don't want, drink what you don't like, and do what you'd rather not.",https://www.brainyquote.com/quotes/mark_twain_391585?src=t_diet,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Your diet is a bank account. Good food choices are good investments.,https://www.brainyquote.com/quotes/bethenny_frankel_482602?src=t_diet,Bethenny Frankel,https://www.brainyquote.com/authors/bethenny-frankel-quotes
I don't stop eating when I'm full. The meal isn't over when I'm full. It's over when I hate myself.,https://www.brainyquote.com/quotes/louis_c_k_452800?src=t_diet,Louis C. K.,https://www.brainyquote.com/authors/louis-c-k-quotes
"I followed the same diet for 20 years, eliminating starches, living on salads, lean meat, and small portions.",https://www.brainyquote.com/quotes/gene_tierney_336876?src=t_diet,Gene Tierney,https://www.brainyquote.com/authors/gene-tierney-quotes
I never worry about diets. The only carrots that interest me are the number you get in a diamond.,https://www.brainyquote.com/quotes/mae_west_161637?src=t_diet,Mae West,https://www.brainyquote.com/authors/mae-west-quotes
Adopting a new healthier lifestyle can involve changing diet to include more fresh fruit and vegetables as well as increasing levels of exercise.,https://www.brainyquote.com/quotes/linford_christie_310807?src=t_diet,Linford Christie,https://www.brainyquote.com/authors/linford-christie-quotes
Every single diet I ever fell off of was because of potatoes and gravy of some sort.,https://www.brainyquote.com/quotes/dolly_parton_635164?src=t_diet,Dolly Parton,https://www.brainyquote.com/authors/dolly-parton-quotes
"This is what people don't understand: obesity is a symptom of poverty. It's not a lifestyle choice where people are just eating and not exercising. It's because kids - and this is the problem with school lunch right now - are getting sugar, fat, empty calories - lots of calories - but no nutrition.",https://www.brainyquote.com/quotes/tom_colicchio_500687?src=t_diet,Tom Colicchio,https://www.brainyquote.com/authors/tom-colicchio-quotes
We never repent of having eaten too little.,https://www.brainyquote.com/quotes/thomas_jefferson_137069?src=t_diet,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
No disease that can be treated by diet should be treated with any other means.,https://www.brainyquote.com/quotes/maimonides_326756?src=t_diet,Maimonides,https://www.brainyquote.com/authors/maimonides-quotes
Pasta doesn't make you fat. How much pasta you eat makes you fat.,https://www.brainyquote.com/quotes/giada_de_laurentiis_429804?src=t_diet,Giada De Laurentiis,https://www.brainyquote.com/authors/giada-de-laurentiis-quotes
My doctor told me to stop having intimate dinners for four. Unless there are three other people.,https://www.brainyquote.com/quotes/orson_welles_104829?src=t_diet,Orson Welles,https://www.brainyquote.com/authors/orson-welles-quotes
"The easiest diet is, you know, eat vegetables, eat fresh food. Just a really sensible healthy diet like you read about all the time.",https://www.brainyquote.com/quotes/drew_carey_578617?src=t_diet,Drew Carey,https://www.brainyquote.com/authors/drew-carey-quotes
"Once you have to start counting calories, it takes away from the joy of eating.",https://www.brainyquote.com/quotes/mireille_guiliano_530740?src=t_diet,Mireille Guiliano,https://www.brainyquote.com/authors/mireille-guiliano-quotes
I've been on a diet for two weeks and all I've lost is two weeks.,https://www.brainyquote.com/quotes/totie_fields_312007?src=t_diet,Totie Fields,https://www.brainyquote.com/authors/totie-fields-quotes
"There are six components of wellness: proper weight and diet, proper exercise, breaking the smoking habit, control of alcohol, stress management and periodic exams.",https://www.brainyquote.com/quotes/kenneth_h_cooper_357499?src=t_diet,Kenneth H. Cooper,https://www.brainyquote.com/authors/kenneth-h-cooper-quotes
Don't compare yourself with someone else's version of happy or thin. Accepting yourself burns the most calories.,https://www.brainyquote.com/quotes/caroline_rhea_421448?src=t_diet,Caroline Rhea,https://www.brainyquote.com/authors/caroline-rhea-quotes
"Diets, like clothes, should be tailored to you.",https://www.brainyquote.com/quotes/joan_rivers_378530?src=t_diet,Joan Rivers,https://www.brainyquote.com/authors/joan-rivers-quotes
A friend doesn't go on a diet because you are fat.,https://www.brainyquote.com/quotes/erma_bombeck_164923?src=t_diet,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
The only way you get that fat off is to eat less and exercise more.,https://www.brainyquote.com/quotes/jack_lalanne_258855?src=t_diet,Jack LaLanne,https://www.brainyquote.com/authors/jack-lalanne-quotes
I don't go long without eating. I never starve myself: I grab a healthy snack.,https://www.brainyquote.com/quotes/vanessa_hudgens_409628?src=t_diet,Vanessa Hudgens,https://www.brainyquote.com/authors/vanessa-hudgens-quotes
Nothing burns more calories than dancing in 5-inch heels... try it!,https://www.brainyquote.com/quotes/ariana_grande_512900?src=t_diet,Ariana Grande,https://www.brainyquote.com/authors/ariana-grande-quotes
"People have got to learn: if they don't have cookies in the cookie jar, they can't eat cookies.",https://www.brainyquote.com/quotes/suze_orman_465748?src=t_diet,Suze Orman,https://www.brainyquote.com/authors/suze-orman-quotes
I never diet. I smoke. I drink now and then. I never work out.,https://www.brainyquote.com/quotes/naomi_campbell_361246?src=t_diet,Naomi Campbell,https://www.brainyquote.com/authors/naomi-campbell-quotes
"I never count calories, but I eat so well.",https://www.brainyquote.com/quotes/alicia_silverstone_477922?src=t_diet,Alicia Silverstone,https://www.brainyquote.com/authors/alicia-silverstone-quotes
"In general, mankind, since the improvement of cookery, eats twice as much as nature requires.",https://www.brainyquote.com/quotes/benjamin_franklin_151617?src=t_diet,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"What's the two things they tell you are healthiest to eat? Chicken and fish. You know what you should do? Combine them, eat a penguin.",https://www.brainyquote.com/quotes/dave_attell_393727?src=t_diet,Dave Attell,https://www.brainyquote.com/authors/dave-attell-quotes
High-quality food is better for your health.,https://www.brainyquote.com/quotes/michael_pollan_295848?src=t_diet,Michael Pollan,https://www.brainyquote.com/authors/michael-pollan-quotes
And let's be clear: It's not enough just to limit ads for foods that aren't healthy. It's also going to be critical to increase marketing for foods that are healthy.,https://www.brainyquote.com/quotes/michelle_obama_412617?src=t_diet,Michelle Obama,https://www.brainyquote.com/authors/michelle-obama-quotes
"A systemic cleansing and detox is definitely the way to go after each holiday. It is the key to fighting high blood pressure, heart disease, cancer, and other health-related illnesses.",https://www.brainyquote.com/quotes/lee_haney_295613?src=t_diet,Lee Haney,https://www.brainyquote.com/authors/lee-haney-quotes
The second day of a diet is always easier than the first. By the second day you're off it.,https://www.brainyquote.com/quotes/jackie_gleason_131547?src=t_diet,Jackie Gleason,https://www.brainyquote.com/authors/jackie-gleason-quotes
"The heart, like the stomach, wants a varied diet.",https://www.brainyquote.com/quotes/gustave_flaubert_399870?src=t_diet,Gustave Flaubert,https://www.brainyquote.com/authors/gustave-flaubert-quotes
I believe that parents need to make nutrition education a priority in their home environment. It's crucial for good health and longevity to instill in your children sound eating habits from an early age.,https://www.brainyquote.com/quotes/cat_cora_442568?src=t_diet,Cat Cora,https://www.brainyquote.com/authors/cat-cora-quotes
"Want to learn to eat a lot? Here it is: Eat a little. That way, you will be around long enough to eat a lot.",https://www.brainyquote.com/quotes/tony_robbins_147789?src=t_diet,Tony Robbins,https://www.brainyquote.com/authors/tony-robbins-quotes
"When we win, I'm so happy I eat a lot. When we lose, I'm so depressed, I eat a lot. When we're rained out, I'm so disappointed I eat a lot.",https://www.brainyquote.com/quotes/tommy_lasorda_139459?src=t_diet,Tommy Lasorda,https://www.brainyquote.com/authors/tommy-lasorda-quotes
"I still indulge in a glass of wine or chocolate - treats are mandatory. Without deviating from the day-to-day healthy diet once in a while, it wouldn't be sustainable for me, and that's what I wanted: an approach to eating to last my entire life.",https://www.brainyquote.com/quotes/alanis_morissette_420533?src=t_diet,Alanis Morissette,https://www.brainyquote.com/authors/alanis-morissette-quotes
"My nutritionist has done a great job in changing my diet after we established I am allergic to things like gluten - I can't eat pizza, pasta and bread. I have lost some weight, but my movement is sharper and I feel great.",https://www.brainyquote.com/quotes/novak_djokovic_428252?src=t_diet,Novak Djokovic,https://www.brainyquote.com/authors/novak-djokovic-quotes
Some people are willing to pay the price and it's the same with staying healthy or eating healthy. There's some discipline involved. There's some sacrifices.,https://www.brainyquote.com/quotes/mike_ditka_357617?src=t_diet,Mike Ditka,https://www.brainyquote.com/authors/mike-ditka-quotes
People who shop in health food stores never look healthy.,https://www.brainyquote.com/quotes/amy_sedaris_410016?src=t_diet,Amy Sedaris,https://www.brainyquote.com/authors/amy-sedaris-quotes
"If I like myself at this weight, then this is what I'm going to be. I don't have an eating disorder.",https://www.brainyquote.com/quotes/courteney_cox_140666?src=t_diet,Courteney Cox,https://www.brainyquote.com/authors/courteney-cox-quotes
"As for those grapefruit and buttermilk diets, I'll take roast chicken and dumplings.",https://www.brainyquote.com/quotes/hattie_mcdaniel_315454?src=t_diet,Hattie McDaniel,https://www.brainyquote.com/authors/hattie-mcdaniel-quotes
"I like having my hair and face done, but I'm not going to lose weight because someone tells me to. I make music to be a musician not to be on the cover of Playboy.",https://www.brainyquote.com/quotes/adele_415380?src=t_diet,Adele,https://www.brainyquote.com/authors/adele-quotes
"I travel 330 days a year and eat every two and a half hours - I'm a big guy. I always carry a fork, little bottles of spices, and Sriracha. I eat what I feel like eating.",https://www.brainyquote.com/quotes/robert_irvine_443489?src=t_diet,Robert Irvine,https://www.brainyquote.com/authors/robert-irvine-quotes
