quote,quote_url,author,author_url
"We all have dreams. But in order to make dreams come into reality, it takes an awful lot of determination, dedication, self-discipline, and effort.",https://www.brainyquote.com/quotes/jesse_owens_166163?src=t_dreams,Jesse Owens,https://www.brainyquote.com/authors/jesse-owens-quotes
The future belongs to those who believe in the beauty of their dreams.,https://www.brainyquote.com/quotes/eleanor_roosevelt_100940?src=t_dreams,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
Dream as if you'll live forever. Live as if you'll die today.,https://www.brainyquote.com/quotes/james_dean_103528?src=t_dreams,James Dean,https://www.brainyquote.com/authors/james-dean-quotes
"All our dreams can come true, if we have the courage to pursue them.",https://www.brainyquote.com/quotes/walt_disney_163027?src=t_dreams,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
"A dream doesn't become reality through magic; it takes sweat, determination and hard work.",https://www.brainyquote.com/quotes/colin_powell_385927?src=t_dreams,Colin Powell,https://www.brainyquote.com/authors/colin-powell-quotes
"All men dream, but not equally. Those who dream by night in the dusty recesses of their minds, wake in the day to find that it was vanity: but the dreamers of the day are dangerous men, for they may act on their dreams with open eyes, to make them possible.",https://www.brainyquote.com/quotes/t_e_lawrence_130039?src=t_dreams,T. E. Lawrence,https://www.brainyquote.com/authors/t-e-lawrence-quotes
You have to dream before your dreams can come true.,https://www.brainyquote.com/quotes/a_p_j_abdul_kalam_379489?src=t_dreams,A. P. J. Abdul Kalam,https://www.brainyquote.com/authors/a-p-j-abdul-kalam-quotes
"Who looks outside, dreams; who looks inside, awakes.",https://www.brainyquote.com/quotes/carl_jung_132738?src=t_dreams,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
"Hold fast to dreams, for if dreams die, life is a broken-winged bird that cannot fly.",https://www.brainyquote.com/quotes/langston_hughes_390939?src=t_dreams,Langston Hughes,https://www.brainyquote.com/authors/langston-hughes-quotes
"To accomplish great things, we must not only act, but also dream; not only plan, but also believe.",https://www.brainyquote.com/quotes/anatole_france_161340?src=t_dreams,Anatole France,https://www.brainyquote.com/authors/anatole-france-quotes
The best way to make your dreams come true is to wake up.,https://www.brainyquote.com/quotes/paul_valery_121250?src=t_dreams,Paul Valery,https://www.brainyquote.com/authors/paul-valery-quotes
