quote,quote_url,author,author_url
The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.,https://www.brainyquote.com/quotes/martin_luther_king_jr_402936?src=t_education,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
An investment in knowledge pays the best interest.,https://www.brainyquote.com/quotes/benjamin_franklin_141119?src=t_education,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
It is the mark of an educated mind to be able to entertain a thought without accepting it.,https://www.brainyquote.com/quotes/aristotle_100584?src=t_education,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
The philosophy of the school room in one generation will be the philosophy of government in the next.,https://www.brainyquote.com/quotes/abraham_lincoln_133687?src=t_education,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
Education is the most powerful weapon which you can use to change the world.,https://www.brainyquote.com/quotes/nelson_mandela_157855?src=t_education,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
Education is not preparation for life; education is life itself.,https://www.brainyquote.com/quotes/john_dewey_154060?src=t_education,John Dewey,https://www.brainyquote.com/authors/john-dewey-quotes
I have no special talent. I am only passionately curious.,https://www.brainyquote.com/quotes/albert_einstein_174001?src=t_education,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"In the first place, God made idiots. That was for practice. Then he made school boards.",https://www.brainyquote.com/quotes/mark_twain_131252?src=t_education,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Education is the movement from darkness to light.,https://www.brainyquote.com/quotes/allan_bloom_100774?src=t_education,Allan Bloom,https://www.brainyquote.com/authors/allan-bloom-quotes
The foundation of every state is the education of its youth.,https://www.brainyquote.com/quotes/diogenes_100801?src=t_education,Diogenes,https://www.brainyquote.com/authors/diogenes-quotes
Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,https://www.brainyquote.com/quotes/maimonides_326751?src=t_education,Maimonides,https://www.brainyquote.com/authors/maimonides-quotes
The great aim of education is not knowledge but action.,https://www.brainyquote.com/quotes/herbert_spencer_109568?src=t_education,Herbert Spencer,https://www.brainyquote.com/authors/herbert-spencer-quotes
"Education is not the filling of a pail, but the lighting of a fire.",https://www.brainyquote.com/quotes/william_butler_yeats_101244?src=t_education,William Butler Yeats,https://www.brainyquote.com/authors/william-butler-yeats-quotes
To educate a man in mind and not in morals is to educate a menace to society.,https://www.brainyquote.com/quotes/theodore_roosevelt_147876?src=t_education,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
Man is what he reads.,https://www.brainyquote.com/quotes/joseph_brodsky_110836?src=t_education,Joseph Brodsky,https://www.brainyquote.com/authors/joseph-brodsky-quotes
"Develop a passion for learning. If you do, you will never cease to grow.",https://www.brainyquote.com/quotes/anthony_j_dangelo_153989?src=t_education,Anthony J. D'Angelo,https://www.brainyquote.com/authors/anthony-j-dangelo-quotes
Education's purpose is to replace an empty mind with an open one.,https://www.brainyquote.com/quotes/malcolm_forbes_102078?src=t_education,Malcolm Forbes,https://www.brainyquote.com/authors/malcolm-forbes-quotes
Education is simply the soul of a society as it passes from one generation to another.,https://www.brainyquote.com/quotes/gilbert_k_chesterton_104904?src=t_education,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
"He who opens a school door, closes a prison.",https://www.brainyquote.com/quotes/victor_hugo_104893?src=t_education,Victor Hugo,https://www.brainyquote.com/authors/victor-hugo-quotes
Education is the key to unlock the golden door of freedom.,https://www.brainyquote.com/quotes/george_washington_carver_157103?src=t_education,George Washington Carver,https://www.brainyquote.com/authors/george-washington-carver-quotes
"You are always a student, never a master. You have to keep moving forward.",https://www.brainyquote.com/quotes/conrad_hall_285331?src=t_education,Conrad Hall,https://www.brainyquote.com/authors/conrad-hall-quotes
"Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught.",https://www.brainyquote.com/quotes/oscar_wilde_161644?src=t_education,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
Education is the ability to listen to almost anything without losing your temper or your self-confidence.,https://www.brainyquote.com/quotes/robert_frost_101423?src=t_education,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
The object of education is to prepare the young to educate themselves throughout their lives.,https://www.brainyquote.com/quotes/robert_m_hutchins_104892?src=t_education,Robert M. Hutchins,https://www.brainyquote.com/authors/robert-m-hutchins-quotes
Education is the best friend. An educated person is respected everywhere. Education beats the beauty and the youth.,https://www.brainyquote.com/quotes/chanakya_201078?src=t_education,Chanakya,https://www.brainyquote.com/authors/chanakya-quotes
"Learning is not attained by chance, it must be sought for with ardor and diligence.",https://www.brainyquote.com/quotes/abigail_adams_124585?src=t_education,Abigail Adams,https://www.brainyquote.com/authors/abigail-adams-quotes
"Data is not information, information is not knowledge, knowledge is not understanding, understanding is not wisdom.",https://www.brainyquote.com/quotes/clifford_stoll_212166?src=t_education,Clifford Stoll,https://www.brainyquote.com/authors/clifford-stoll-quotes
The whole purpose of education is to turn mirrors into windows.,https://www.brainyquote.com/quotes/sydney_j_harris_104885?src=t_education,Sydney J. Harris,https://www.brainyquote.com/authors/sydney-j-harris-quotes
The illiterate of the future will not be the person who cannot read. It will be the person who does not know how to learn.,https://www.brainyquote.com/quotes/alvin_toffler_409080?src=t_education,Alvin Toffler,https://www.brainyquote.com/authors/alvin-toffler-quotes
Change is the end result of all true learning.,https://www.brainyquote.com/quotes/leo_buscaglia_121067?src=t_education,Leo Buscaglia,https://www.brainyquote.com/authors/leo-buscaglia-quotes
The only person who is educated is the one who has learned how to learn and change.,https://www.brainyquote.com/quotes/carl_rogers_130364?src=t_education,Carl Rogers,https://www.brainyquote.com/authors/carl-rogers-quotes
"Learning is a result of listening, which in turn leads to even better listening and attentiveness to the other person. In other words, to learn from the child, we must have empathy, and empathy grows as we learn.",https://www.brainyquote.com/quotes/alice_miller_408760?src=t_education,Alice Miller,https://www.brainyquote.com/authors/alice-miller-quotes
"A library is the delivery room for the birth of ideas, a place where history comes to life.",https://www.brainyquote.com/quotes/norman_cousins_165892?src=t_education,Norman Cousins,https://www.brainyquote.com/authors/norman-cousins-quotes
Poor is the pupil who does not surpass his master.,https://www.brainyquote.com/quotes/leonardo_da_vinci_542476?src=t_education,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
"Don't limit a child to your own learning, for he was born in another time.",https://www.brainyquote.com/quotes/rabindranath_tagore_384372?src=t_education,Rabindranath Tagore,https://www.brainyquote.com/authors/rabindranath-tagore-quotes
"My mother said I must always be intolerant of ignorance but understanding of illiteracy. That some people, unable to go to school, were more educated and more intelligent than college professors.",https://www.brainyquote.com/quotes/maya_angelou_148652?src=t_education,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"Everybody is ignorant, only on different subjects.",https://www.brainyquote.com/quotes/will_rogers_161235?src=t_education,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
"If I were again beginning my studies, I would follow the advice of Plato and start with mathematics.",https://www.brainyquote.com/quotes/galileo_galilei_381323?src=t_education,Galileo Galilei,https://www.brainyquote.com/authors/galileo-galilei-quotes
Education is what survives when what has been learned has been forgotten.,https://www.brainyquote.com/quotes/b_f_skinner_100064?src=t_education,B. F. Skinner,https://www.brainyquote.com/authors/b-f-skinner-quotes
When I get a little money I buy books; and if any is left I buy food and clothes.,https://www.brainyquote.com/quotes/desiderius_erasmus_124392?src=t_education,Desiderius Erasmus,https://www.brainyquote.com/authors/desiderius-erasmus-quotes
Education is a progressive discovery of our own ignorance.,https://www.brainyquote.com/quotes/will_durant_161539?src=t_education,Will Durant,https://www.brainyquote.com/authors/will-durant-quotes
