quote,quote_url,author,author_url
"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.",https://www.brainyquote.com/quotes/martin_luther_king_jr_115056?src=t_equality,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
The worst form of inequality is to try to make unequal things equal.,https://www.brainyquote.com/quotes/aristotle_140848?src=t_equality,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"If you want to see the true measure of a man, watch how he treats his inferiors, not his equals.",https://www.brainyquote.com/quotes/j_k_rowling_178389?src=t_equality,J. K. Rowling,https://www.brainyquote.com/authors/j-k-rowling-quotes
"Until we get equality in education, we won't have an equal society.",https://www.brainyquote.com/quotes/sonia_sotomayor_454926?src=t_equality,Sonia Sotomayor,https://www.brainyquote.com/authors/sonia-sotomayor-quotes
"There should be no discrimination against languages people speak, skin color, or religion.",https://www.brainyquote.com/quotes/malala_yousafzai_662527?src=t_equality,Malala Yousafzai,https://www.brainyquote.com/authors/malala-yousafzai-quotes
"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.",https://www.brainyquote.com/quotes/thomas_jefferson_136362?src=t_equality,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
"The earth is the mother of all people, and all people should have equal rights upon it.",https://www.brainyquote.com/quotes/chief_joseph_280225?src=t_equality,Chief Joseph,https://www.brainyquote.com/authors/chief-joseph-quotes
"Gender equality is more than a goal in itself. It is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance.",https://www.brainyquote.com/quotes/kofi_annan_401690?src=t_equality,Kofi Annan,https://www.brainyquote.com/authors/kofi-annan-quotes
"Equality is the soul of liberty; there is, in fact, no liberty without it.",https://www.brainyquote.com/quotes/frances_wright_381289?src=t_equality,Frances Wright,https://www.brainyquote.com/authors/frances-wright-quotes
Before God we are all equally wise - and equally foolish.,https://www.brainyquote.com/quotes/albert_einstein_100645?src=t_equality,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"Here are the values that I stand for: honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.",https://www.brainyquote.com/quotes/ellen_degeneres_451768?src=t_equality,Ellen DeGeneres,https://www.brainyquote.com/authors/ellen-degeneres-quotes
The sole equality on earth is death.,https://www.brainyquote.com/quotes/philip_james_bailey_380516?src=t_equality,Philip James Bailey,https://www.brainyquote.com/authors/philip-james-bailey-quotes
We will never have true civilization until we have learned to recognize the rights of others.,https://www.brainyquote.com/quotes/will_rogers_386200?src=t_equality,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
"Democracy and socialism have nothing in common but one word, equality. But notice the difference: while democracy seeks equality in liberty, socialism seeks equality in restraint and servitude.",https://www.brainyquote.com/quotes/alexis_de_tocqueville_135752?src=t_equality,Alexis de Tocqueville,https://www.brainyquote.com/authors/alexis-de-tocqueville-quotes
I am free of all prejudices. I hate everyone equally.,https://www.brainyquote.com/quotes/w_c_fields_100020?src=t_equality,W. C. Fields,https://www.brainyquote.com/authors/w-c-fields-quotes
No struggle can ever succeed without women participating side by side with men.,https://www.brainyquote.com/quotes/muhammad_ali_jinnah_372003?src=t_equality,Muhammad Ali Jinnah,https://www.brainyquote.com/authors/muhammad-ali-jinnah-quotes
Democracy does not guarantee equality of conditions - it only guarantees equality of opportunity.,https://www.brainyquote.com/quotes/irving_kristol_103745?src=t_equality,Irving Kristol,https://www.brainyquote.com/authors/irving-kristol-quotes
"Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike.",https://www.brainyquote.com/quotes/plato_135639?src=t_equality,Plato,https://www.brainyquote.com/authors/plato-quotes
Women will only have true equality when men share with them the responsibility of bringing up the next generation.,https://www.brainyquote.com/quotes/ruth_bader_ginsburg_218235?src=t_equality,Ruth Bader Ginsburg,https://www.brainyquote.com/authors/ruth-bader-ginsburg-quotes
The history of the past is but one long struggle upward to equality.,https://www.brainyquote.com/quotes/elizabeth_cady_stanton_400013?src=t_equality,Elizabeth Cady Stanton,https://www.brainyquote.com/authors/elizabeth-cady-stanton-quotes
"Martin Luther King, Jr. didn't carry just a piece of cloth to symbolize his belief in racial equality; he carried the American flag.",https://www.brainyquote.com/quotes/adrian_cronauer_401975?src=t_equality,Adrian Cronauer,https://www.brainyquote.com/authors/adrian-cronauer-quotes
"Equality, rightly understood as our founding fathers understood it, leads to liberty and to the emancipation of creative differences; wrongly understood, as it has been so tragically in our time, it leads first to conformity and then to despotism.",https://www.brainyquote.com/quotes/barry_goldwater_269741?src=t_equality,Barry Goldwater,https://www.brainyquote.com/authors/barry-goldwater-quotes
"If we cannot now end our differences, at least we can help make the world safe for diversity.",https://www.brainyquote.com/quotes/john_f_kennedy_101850?src=t_equality,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"All animals are equal, but some animals are more equal than others.",https://www.brainyquote.com/quotes/george_orwell_100005?src=t_equality,George Orwell,https://www.brainyquote.com/authors/george-orwell-quotes
"All the people like us are we, and everyone else is They.",https://www.brainyquote.com/quotes/rudyard_kipling_125488?src=t_equality,Rudyard Kipling,https://www.brainyquote.com/authors/rudyard-kipling-quotes
"Racism is still with us. But it is up to us to prepare our children for what they have to meet, and, hopefully, we shall overcome.",https://www.brainyquote.com/quotes/rosa_parks_390200?src=t_equality,Rosa Parks,https://www.brainyquote.com/authors/rosa-parks-quotes
"Equality may perhaps be a right, but no power on earth can ever turn it into a fact.",https://www.brainyquote.com/quotes/honore_de_balzac_149911?src=t_equality,Honore de Balzac,https://www.brainyquote.com/authors/honore-de-balzac-quotes
A claim for equality of material position can be met only by a government with totalitarian powers.,https://www.brainyquote.com/quotes/friedrich_august_von_haye_201842?src=t_equality,Friedrich August von Hayek,https://www.brainyquote.com/authors/friedrich-august-von-haye-quotes
"Equality is not in regarding different things similarly, equality is in regarding different things differently.",https://www.brainyquote.com/quotes/tom_robbins_387517?src=t_equality,Tom Robbins,https://www.brainyquote.com/authors/tom-robbins-quotes
"The emotional, sexual, and psychological stereotyping of females begins when the doctor says: It's a girl.",https://www.brainyquote.com/quotes/shirley_chisholm_101403?src=t_equality,Shirley Chisholm,https://www.brainyquote.com/authors/shirley-chisholm-quotes
Virtue can only flourish among equals.,https://www.brainyquote.com/quotes/mary_wollstonecraft_204498?src=t_equality,Mary Wollstonecraft,https://www.brainyquote.com/authors/mary-wollstonecraft-quotes
