quote,quote_url,author,author_url
Faith is taking the first step even when you don't see the whole staircase.,https://www.brainyquote.com/quotes/martin_luther_king_jr_105087?src=t_faith,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Faith is to believe what you do not see; the reward of this faith is to see what you believe.,https://www.brainyquote.com/quotes/saint_augustine_121380?src=t_faith,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.",https://www.brainyquote.com/quotes/thomas_aquinas_186900?src=t_faith,Thomas Aquinas,https://www.brainyquote.com/authors/thomas-aquinas-quotes
Be faithful in small things because it is in them that your strength lies.,https://www.brainyquote.com/quotes/mother_teresa_121373?src=t_faith,Mother Teresa,https://www.brainyquote.com/authors/mother-teresa-quotes
"When you focus on being a blessing, God makes sure that you are always blessed in abundance.",https://www.brainyquote.com/quotes/joel_osteen_282075?src=t_faith,Joel Osteen,https://www.brainyquote.com/authors/joel-osteen-quotes
Faith is the bird that feels the light when the dawn is still dark.,https://www.brainyquote.com/quotes/rabindranath_tagore_121379?src=t_faith,Rabindranath Tagore,https://www.brainyquote.com/authors/rabindranath-tagore-quotes
"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.",https://www.brainyquote.com/quotes/iyanla_vanzant_519994?src=t_faith,Iyanla Vanzant,https://www.brainyquote.com/authors/iyanla-vanzant-quotes
"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.",https://www.brainyquote.com/quotes/alan_watts_253006?src=t_faith,Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
Seeds of faith are always within us; sometimes it takes a crisis to nourish and encourage their growth.,https://www.brainyquote.com/quotes/susan_l_taylor_189735?src=t_faith,Susan L. Taylor,https://www.brainyquote.com/authors/susan-l-taylor-quotes
Faith and prayer are the vitamins of the soul; man cannot live in health without them.,https://www.brainyquote.com/quotes/mahalia_jackson_302645?src=t_faith,Mahalia Jackson,https://www.brainyquote.com/authors/mahalia-jackson-quotes
"God will never give you anything you can't handle, so don't stress.",https://www.brainyquote.com/quotes/kelly_clarkson_169443?src=t_faith,Kelly Clarkson,https://www.brainyquote.com/authors/kelly-clarkson-quotes
"Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.",https://www.brainyquote.com/quotes/blaise_pascal_159845?src=t_faith,Blaise Pascal,https://www.brainyquote.com/authors/blaise-pascal-quotes
"Faith is not belief without proof, but trust without reservation.",https://www.brainyquote.com/quotes/d_elton_trueblood_130096?src=t_faith,D. Elton Trueblood,https://www.brainyquote.com/authors/d-elton-trueblood-quotes
We are never defeated unless we give up on God.,https://www.brainyquote.com/quotes/ronald_reagan_378406?src=t_faith,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
It takes vision and courage to create - it takes faith and courage to prove.,https://www.brainyquote.com/quotes/owen_d_young_189977?src=t_faith,Owen D. Young,https://www.brainyquote.com/authors/owen-d-young-quotes
Faith is an oasis in the heart which will never be reached by the caravan of thinking.,https://www.brainyquote.com/quotes/khalil_gibran_132827?src=t_faith,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
Prayer should be the key of the day and the lock of the night.,https://www.brainyquote.com/quotes/george_herbert_152911?src=t_faith,George Herbert,https://www.brainyquote.com/authors/george-herbert-quotes
A casual stroll through the lunatic asylum shows that faith does not prove anything.,https://www.brainyquote.com/quotes/friedrich_nietzsche_107506?src=t_faith,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"Faith is a living, daring confidence in God's grace, so sure and certain that a man could stake his life on it a thousand times.",https://www.brainyquote.com/quotes/martin_luther_151409?src=t_faith,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
Faith consists in believing when it is beyond the power of reason to believe.,https://www.brainyquote.com/quotes/voltaire_163832?src=t_faith,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
Faith gives you an inner strength and a sense of balance and perspective in life.,https://www.brainyquote.com/quotes/gregory_peck_179280?src=t_faith,Gregory Peck,https://www.brainyquote.com/authors/gregory-peck-quotes
Faithless is he that says farewell when the road darkens.,https://www.brainyquote.com/quotes/j_r_r_tolkien_395961?src=t_faith,J. R. R. Tolkien,https://www.brainyquote.com/authors/j-r-r-tolkien-quotes
"If you have God on your side, everything becomes clear.",https://www.brainyquote.com/quotes/ayrton_senna_347375?src=t_faith,Ayrton Senna,https://www.brainyquote.com/authors/ayrton-senna-quotes
"I am still far from being what I want to be, but with God's help I shall succeed.",https://www.brainyquote.com/quotes/vincent_van_gogh_385069?src=t_faith,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
We are twice armed if we fight with faith.,https://www.brainyquote.com/quotes/plato_159576?src=t_faith,Plato,https://www.brainyquote.com/authors/plato-quotes
"God, our Creator, has stored within our minds and personalities, great potential strength and ability. Prayer helps us tap and develop these powers.",https://www.brainyquote.com/quotes/a_p_j_abdul_kalam_403532?src=t_faith,A. P. J. Abdul Kalam,https://www.brainyquote.com/authors/a-p-j-abdul-kalam-quotes
"The keys to patience are acceptance and faith. Accept things as they are, and look realistically at the world around you. Have faith in yourself and in the direction you have chosen.",https://www.brainyquote.com/quotes/ralph_marston_163877?src=t_faith,Ralph Marston,https://www.brainyquote.com/authors/ralph-marston-quotes
"Faith is not simply a patience that passively suffers until the storm is past. Rather, it is a spirit that bears things - with resignations, yes, but above all, with blazing, serene hope.",https://www.brainyquote.com/quotes/corazon_aquino_201108?src=t_faith,Corazon Aquino,https://www.brainyquote.com/authors/corazon-aquino-quotes
Doubt is not the opposite of faith; it is one element of faith.,https://www.brainyquote.com/quotes/paul_tillich_383200?src=t_faith,Paul Tillich,https://www.brainyquote.com/authors/paul-tillich-quotes
Resist your fear; fear will never lead to you a positive end. Go for your faith and what you believe.,https://www.brainyquote.com/quotes/t_d_jakes_488824?src=t_faith,T. D. Jakes,https://www.brainyquote.com/authors/t-d-jakes-quotes
I have not lost faith in God. I have moments of anger and protest. Sometimes I've been closer to him for that reason.,https://www.brainyquote.com/quotes/elie_wiesel_112791?src=t_faith,Elie Wiesel,https://www.brainyquote.com/authors/elie-wiesel-quotes
"You were made by God and for God, and until you understand that, life will never make sense.",https://www.brainyquote.com/quotes/rick_warren_394913?src=t_faith,Rick Warren,https://www.brainyquote.com/authors/rick-warren-quotes
"That deep emotional conviction of the presence of a superior reasoning power, which is revealed in the incomprehensible universe, forms my idea of God.",https://www.brainyquote.com/quotes/albert_einstein_112016?src=t_faith,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"Keep the faith, don't lose your perseverance and always trust your gut extinct.",https://www.brainyquote.com/quotes/paula_abdul_375765?src=t_faith,Paula Abdul,https://www.brainyquote.com/authors/paula-abdul-quotes
The principle part of faith is patience.,https://www.brainyquote.com/quotes/george_macdonald_379995?src=t_faith,George MacDonald,https://www.brainyquote.com/authors/george-macdonald-quotes
Faith is a passionate intuition.,https://www.brainyquote.com/quotes/william_wordsworth_105077?src=t_faith,William Wordsworth,https://www.brainyquote.com/authors/william-wordsworth-quotes
Every tomorrow has two handles. We can take hold of it with the handle of anxiety or the handle of faith.,https://www.brainyquote.com/quotes/henry_ward_beecher_163037?src=t_faith,Henry Ward Beecher,https://www.brainyquote.com/authors/henry-ward-beecher-quotes
"If fear is cultivated it will become stronger, if faith is cultivated it will achieve mastery.",https://www.brainyquote.com/quotes/john_paul_jones_117707?src=t_faith,John Paul Jones,https://www.brainyquote.com/authors/john-paul-jones-quotes
"I do respect people's faith, but I don't respect their manipulation of that faith in order to create fear and control.",https://www.brainyquote.com/quotes/javier_bardem_295330?src=t_faith,Javier Bardem,https://www.brainyquote.com/authors/javier-bardem-quotes
Belief in a cruel God makes a cruel man.,https://www.brainyquote.com/quotes/thomas_paine_159457?src=t_faith,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
Faith is deliberate confidence in the character of God whose ways you may not understand at the time.,https://www.brainyquote.com/quotes/oswald_chambers_386812?src=t_faith,Oswald Chambers,https://www.brainyquote.com/authors/oswald-chambers-quotes
"As your faith is strengthened you will find that there is no longer the need to have a sense of control, that things will flow as they will, and that you will flow with them, to your great delight and benefit.",https://www.brainyquote.com/quotes/emmanuel_teney_105084?src=t_faith,Emmanuel Teney,https://www.brainyquote.com/authors/emmanuel-teney-quotes
"I gave in, and admitted that God was God.",https://www.brainyquote.com/quotes/c_s_lewis_146405?src=t_faith,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
Have faith in God; God has faith in you.,https://www.brainyquote.com/quotes/edwin_louis_cole_360093?src=t_faith,Edwin Louis Cole,https://www.brainyquote.com/authors/edwin-louis-cole-quotes
A man of courage is also full of faith.,https://www.brainyquote.com/quotes/marcus_tullius_cicero_156290?src=t_faith,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
I have come to the conclusion that the most important element in human life is faith.,https://www.brainyquote.com/quotes/rose_kennedy_597712?src=t_faith,Rose Kennedy,https://www.brainyquote.com/authors/rose-kennedy-quotes
"There are many things that are essential to arriving at true peace of mind, and one of the most important is faith, which cannot be acquired without prayer.",https://www.brainyquote.com/quotes/john_wooden_393496?src=t_faith,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
God continues to work miracles in my life.,https://www.brainyquote.com/quotes/willie_aames_289571?src=t_faith,Willie Aames,https://www.brainyquote.com/authors/willie-aames-quotes
Faith in oneself is the best and safest course.,https://www.brainyquote.com/quotes/michelangelo_183563?src=t_faith,Michelangelo,https://www.brainyquote.com/authors/michelangelo-quotes
"Fight the good fight of faith, and God will give you spiritual mercies.",https://www.brainyquote.com/quotes/george_whitefield_206589?src=t_faith,George Whitefield,https://www.brainyquote.com/authors/george-whitefield-quotes
Put your nose into the Bible everyday. It is your spiritual food. And then share it. Make a vow not to be a lukewarm Christian.,https://www.brainyquote.com/quotes/kirk_cameron_220492?src=t_faith,Kirk Cameron,https://www.brainyquote.com/authors/kirk-cameron-quotes
A wise ruler ought never to keep faith when by doing so it would be against his interests.,https://www.brainyquote.com/quotes/niccolo_machiavelli_385956?src=t_faith,Niccolo Machiavelli,https://www.brainyquote.com/authors/niccolo-machiavelli-quotes
The love of heaven makes one heavenly.,https://www.brainyquote.com/quotes/william_shakespeare_118204?src=t_faith,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
"I die the king's faithful servant, but God's first.",https://www.brainyquote.com/quotes/thomas_more_336060?src=t_faith,Thomas More,https://www.brainyquote.com/authors/thomas-more-quotes
Physical strength can never permanently withstand the impact of spiritual force.,https://www.brainyquote.com/quotes/franklin_d_roosevelt_297506?src=t_faith,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
"We can no more do without spirituality than we can do without food, shelter, or clothing.",https://www.brainyquote.com/quotes/ernest_holmes_273783?src=t_faith,Ernest Holmes,https://www.brainyquote.com/authors/ernest-holmes-quotes
We have one life; it soon will be past; what we do for God is all that will last.,https://www.brainyquote.com/quotes/charles_studd_167357?src=t_faith,Charles Studd,https://www.brainyquote.com/authors/charles-studd-quotes
God enters by a private door into every individual.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_103415?src=t_faith,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
"Faith is the substance of hope - of things hoped for and the evidence of things not seen. So if you can hope for it and imagine it, and keep imagining and hoping and seeing yourself driving a new car, or seeing yourself getting that job, or seeing yourself excel, seeing yourself help that person - that is faith.",https://www.brainyquote.com/quotes/duane_chapman_481470?src=t_faith,Duane Chapman,https://www.brainyquote.com/authors/duane-chapman-quotes
Faith means belief in something concerning which doubt is theoretically possible.,https://www.brainyquote.com/quotes/william_james_157177?src=t_faith,William James,https://www.brainyquote.com/authors/william-james-quotes
