quote,quote_url,author,author_url
I have as much privacy as a goldfish in a bowl.,https://www.brainyquote.com/quotes/princess_margaret_127203?src=t_famous,Princess Margaret,https://www.brainyquote.com/authors/princess-margaret-quotes
"Glory is fleeting, but obscurity is forever.",https://www.brainyquote.com/quotes/napoleon_bonaparte_103556?src=t_famous,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"I always want to say to people who want to be rich and famous: 'try being rich first'. See if that doesn't cover most of it. There's not much downside to being rich, other than paying taxes and having your relatives ask you for money. But when you become famous, you end up with a 24-hour job.",https://www.brainyquote.com/quotes/bill_murray_411631?src=t_famous,Bill Murray,https://www.brainyquote.com/authors/bill-murray-quotes
I'm an instant star. Just add water and stir.,https://www.brainyquote.com/quotes/david_bowie_136568?src=t_famous,David Bowie,https://www.brainyquote.com/authors/david-bowie-quotes
"A celebrity is a person who works hard all of their life to become well known, and then wears dark glasses to avoid being recognized.",https://www.brainyquote.com/quotes/fred_allen_201548?src=t_famous,Fred Allen,https://www.brainyquote.com/authors/fred-allen-quotes
"The cool thing about being famous is traveling. I have always wanted to travel across seas, like to Canada and stuff.",https://www.brainyquote.com/quotes/britney_spears_128445?src=t_famous,Britney Spears,https://www.brainyquote.com/authors/britney-spears-quotes
"We all want to be famous people, and the moment we want to be something we are no longer free.",https://www.brainyquote.com/quotes/jiddu_krishnamurti_386309?src=t_famous,Jiddu Krishnamurti,https://www.brainyquote.com/authors/jiddu-krishnamurti-quotes
"In the future, everyone will be famous for 15 minutes.",https://www.brainyquote.com/quotes/andy_warhol_109905?src=t_famous,Andy Warhol,https://www.brainyquote.com/authors/andy-warhol-quotes
I pretended to be somebody I wanted to be until finally I became that person. Or he became me.,https://www.brainyquote.com/quotes/cary_grant_113633?src=t_famous,Cary Grant,https://www.brainyquote.com/authors/cary-grant-quotes
I never wanted to be famous. I only wanted to be great.,https://www.brainyquote.com/quotes/ray_charles_167063?src=t_famous,Ray Charles,https://www.brainyquote.com/authors/ray-charles-quotes
Fame is a fickle food upon a shifting plate.,https://www.brainyquote.com/quotes/emily_dickinson_154094?src=t_famous,Emily Dickinson,https://www.brainyquote.com/authors/emily-dickinson-quotes
The strangest part about being famous is you don't get to give first impressions anymore. Everyone already has an impression of you before you meet them.,https://www.brainyquote.com/quotes/kristen_stewart_469295?src=t_famous,Kristen Stewart,https://www.brainyquote.com/authors/kristen-stewart-quotes
"To be a star is to own the world and all the people in it. After a taste of stardom, everything else is poverty.",https://www.brainyquote.com/quotes/hedy_lamarr_271507?src=t_famous,Hedy Lamarr,https://www.brainyquote.com/authors/hedy-lamarr-quotes
I'm more interested in being good than being famous.,https://www.brainyquote.com/quotes/annie_leibovitz_462194?src=t_famous,Annie Leibovitz,https://www.brainyquote.com/authors/annie-leibovitz-quotes
"Avoid popularity; it has many snares, and no real benefit.",https://www.brainyquote.com/quotes/william_penn_159503?src=t_famous,William Penn,https://www.brainyquote.com/authors/william-penn-quotes
The worst thing about being famous is the invasion of your privacy.,https://www.brainyquote.com/quotes/justin_timberlake_328357?src=t_famous,Justin Timberlake,https://www.brainyquote.com/authors/justin-timberlake-quotes
Fame is the thirst of youth.,https://www.brainyquote.com/quotes/lord_byron_150312?src=t_famous,Lord Byron,https://www.brainyquote.com/authors/lord-byron-quotes
What a heavy burden is a name that has become too famous.,https://www.brainyquote.com/quotes/voltaire_145564?src=t_famous,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
Martyrdom is the only way a man can become famous without ability.,https://www.brainyquote.com/quotes/arthur_schopenhauer_119082?src=t_famous,Arthur Schopenhauer,https://www.brainyquote.com/authors/arthur-schopenhauer-quotes
I'm not comfortable being around too many people. I don't like being out in public too much. I don't like going to bars. I don't like doing celebrity stuff. So most of the characters I play are people who don't always feel comfortable beyond their small circle of friends.,https://www.brainyquote.com/quotes/adam_sandler_173605?src=t_famous,Adam Sandler,https://www.brainyquote.com/authors/adam-sandler-quotes
The hardest thing about being famous is that people are always nice to you. You're in a conversation and everybody's agreeing with what you're saying - even if you say something totally crazy. You need people who can tell you what you don't want to hear.,https://www.brainyquote.com/quotes/al_pacino_451580?src=t_famous,Al Pacino,https://www.brainyquote.com/authors/al-pacino-quotes
"I just want to make music, I don't want people to talk about me. All I've ever wanted to do was sing. I don't want to be a celebrity. I don't want to be in people's faces, you know, constantly on covers of magazine that I haven't even known I'm on.",https://www.brainyquote.com/quotes/adele_451813?src=t_famous,Adele,https://www.brainyquote.com/authors/adele-quotes
"I can do whatever I want - I'm rich, I'm famous, and I'm bigger than you.",https://www.brainyquote.com/quotes/don_johnson_187298?src=t_famous,Don Johnson,https://www.brainyquote.com/authors/don-johnson-quotes
My story of success and failure is not just about music and being famous. It's about living and loving and trying to find purpose in this crazy world.,https://www.brainyquote.com/quotes/wynonna_judd_219042?src=t_famous,Wynonna Judd,https://www.brainyquote.com/authors/wynonna-judd-quotes
