quote,quote_url,author,author_url
"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.",https://www.brainyquote.com/quotes/jim_demint_175546?src=t_father's_day,Jim DeMint,https://www.brainyquote.com/authors/jim-demint-quotes
"My father gave me the greatest gift anyone could give another person, he believed in me.",https://www.brainyquote.com/quotes/jim_valvano_358465?src=t_father's_day,Jim Valvano,https://www.brainyquote.com/authors/jim-valvano-quotes
It is a wise father that knows his own child.,https://www.brainyquote.com/quotes/william_shakespeare_118142?src=t_father's_day,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
To a father growing old nothing is dearer than a daughter.,https://www.brainyquote.com/quotes/euripides_388222?src=t_father's_day,Euripides,https://www.brainyquote.com/authors/euripides-quotes
I decided in my life that I would do nothing that did not reflect positively on my father's life.,https://www.brainyquote.com/quotes/sidney_poitier_272863?src=t_father's_day,Sidney Poitier,https://www.brainyquote.com/authors/sidney-poitier-quotes
"Anyone can be a father, but it takes someone special to be a dad, and that's why I call you dad, because you are so special to me. You taught me the game and you taught me how to play it right.",https://www.brainyquote.com/quotes/wade_boggs_311617?src=t_father's_day,Wade Boggs,https://www.brainyquote.com/authors/wade-boggs-quotes
"A real man loves his wife, and places his family as the most important thing in life. Nothing has brought me more peace and content in life than simply being a good husband and father.",https://www.brainyquote.com/quotes/frank_abagnale_530054?src=t_father's_day,Frank Abagnale,https://www.brainyquote.com/authors/frank-abagnale-quotes
One father is more than a hundred schoolmasters.,https://www.brainyquote.com/quotes/george_herbert_105102?src=t_father's_day,George Herbert,https://www.brainyquote.com/authors/george-herbert-quotes
It doesn't matter who my father was; it matters who I remember he was.,https://www.brainyquote.com/quotes/anne_sexton_131827?src=t_father's_day,Anne Sexton,https://www.brainyquote.com/authors/anne-sexton-quotes
"When a father gives to his son, both laugh; when a son gives to his father, both cry.",https://www.brainyquote.com/quotes/unknown_118143?src=t_father's_day,Unknown,https://www.brainyquote.com/authors/unknown-quotes
"My father used to say that it's never too late to do anything you wanted to do. And he said, 'You never know what you can accomplish until you try.'",https://www.brainyquote.com/quotes/michael_jordan_447180?src=t_father's_day,Michael Jordan,https://www.brainyquote.com/authors/michael-jordan-quotes
I would say my greatest achievement in life right now - my greatest achievement period is - and I'm still trying to achieve it - is to be a wonderful father to my kids.,https://www.brainyquote.com/quotes/bo_jackson_253387?src=t_father's_day,Bo Jackson,https://www.brainyquote.com/authors/bo-jackson-quotes
"I am not ashamed to say that no man I ever met was my father's equal, and I never loved any other man as much.",https://www.brainyquote.com/quotes/hedy_lamarr_271447?src=t_father's_day,Hedy Lamarr,https://www.brainyquote.com/authors/hedy-lamarr-quotes
"Until you have a son of your own... you will never know the joy, the love beyond feeling that resonates in the heart of a father as he looks upon his son.",https://www.brainyquote.com/quotes/kent_nerburn_178355?src=t_father's_day,Kent Nerburn,https://www.brainyquote.com/authors/kent-nerburn-quotes
"Being a father has been, without a doubt, my greatest source of achievement, pride and inspiration. Fatherhood has taught me about unconditional love, reinforced the importance of giving back and taught me how to be a better person.",https://www.brainyquote.com/quotes/naveen_jain_517107?src=t_father's_day,Naveen Jain,https://www.brainyquote.com/authors/naveen-jain-quotes
"Man becomes man only by his intelligence, but he is man only by his heart.",https://www.brainyquote.com/quotes/henri_frederic_amiel_106189?src=t_father's_day,Henri Frederic Amiel,https://www.brainyquote.com/authors/henri-frederic-amiel-quotes
"Old as she was, she still missed her daddy sometimes.",https://www.brainyquote.com/quotes/gloria_naylor_105108?src=t_father's_day,Gloria Naylor,https://www.brainyquote.com/authors/gloria-naylor-quotes
The most important thing in the world is family and love.,https://www.brainyquote.com/quotes/john_wooden_447007?src=t_father's_day,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
"Son, brother, father, lover, friend. There is room in the heart for all the affections, as there is room in heaven for all the stars.",https://www.brainyquote.com/quotes/victor_hugo_399845?src=t_father's_day,Victor Hugo,https://www.brainyquote.com/authors/victor-hugo-quotes
"Dad, wherever you are, you are gone but you will never be forgotten.",https://www.brainyquote.com/quotes/conrad_hall_182702?src=t_father's_day,Conrad Hall,https://www.brainyquote.com/authors/conrad-hall-quotes
"My dad's not here, but he's watching in heaven.",https://www.brainyquote.com/quotes/bubba_watson_430269?src=t_father's_day,Bubba Watson,https://www.brainyquote.com/authors/bubba-watson-quotes
"My father always used to say that when you die, if you've got five real friends, then you've had a great life.",https://www.brainyquote.com/quotes/lee_iacocca_103472?src=t_father's_day,Lee Iacocca,https://www.brainyquote.com/authors/lee-iacocca-quotes
