quote,quote_url,author,author_url
"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.",https://www.brainyquote.com/quotes/thich_nhat_hanh_531574?src=t_fear,Thich Nhat Hanh,https://www.brainyquote.com/authors/thich-nhat-hanh-quotes
"It is better to be feared than loved, if you cannot be both.",https://www.brainyquote.com/quotes/niccolo_machiavelli_103757?src=t_fear,Niccolo Machiavelli,https://www.brainyquote.com/authors/niccolo-machiavelli-quotes
If you know the enemy and know yourself you need not fear the results of a hundred battles.,https://www.brainyquote.com/quotes/sun_tzu_155752?src=t_fear,Sun Tzu,https://www.brainyquote.com/authors/sun-tzu-quotes
A nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people.,https://www.brainyquote.com/quotes/john_f_kennedy_169388?src=t_fear,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
The only thing we have to fear is fear itself.,https://www.brainyquote.com/quotes/franklin_d_roosevelt_109480?src=t_fear,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,https://www.brainyquote.com/quotes/plato_121792?src=t_fear,Plato,https://www.brainyquote.com/authors/plato-quotes
I tremble for my country when I reflect that God is just; that his justice cannot sleep forever.,https://www.brainyquote.com/quotes/thomas_jefferson_157225?src=t_fear,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
Have no fear of perfection - you'll never reach it.,https://www.brainyquote.com/quotes/salvador_dali_161820?src=t_fear,Salvador Dali,https://www.brainyquote.com/authors/salvador-dali-quotes
"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",https://www.brainyquote.com/quotes/h_p_lovecraft_676245?src=t_fear,H. P. Lovecraft,https://www.brainyquote.com/authors/h-p-lovecraft-quotes
Avoiding danger is no safer in the long run than outright exposure. The fearful are caught as often as the bold.,https://www.brainyquote.com/quotes/helen_keller_131866?src=t_fear,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
I think fearless is having fears but jumping anyway.,https://www.brainyquote.com/quotes/taylor_swift_579607?src=t_fear,Taylor Swift,https://www.brainyquote.com/authors/taylor-swift-quotes
Even death is not to be feared by one who has lived wisely.,https://www.brainyquote.com/quotes/buddha_382694?src=t_fear,Buddha,https://www.brainyquote.com/authors/buddha-quotes
Always do what you are afraid to do.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_125380?src=t_fear,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
There is no such thing as paranoia. Your worst fears can come true at any moment.,https://www.brainyquote.com/quotes/hunter_s_thompson_588280?src=t_fear,Hunter S. Thompson,https://www.brainyquote.com/authors/hunter-s-thompson-quotes
