quote,quote_url,author,author_url
"It is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.",https://www.brainyquote.com/quotes/henry_ford_136294?src=t_finance,Henry Ford,https://www.brainyquote.com/authors/henry-ford-quotes
The way to make money is to buy when blood is running in the streets.,https://www.brainyquote.com/quotes/john_d_rockefeller_102029?src=t_finance,John D. Rockefeller,https://www.brainyquote.com/authors/john-d-rockefeller-quotes
"Under capitalism, man exploits man. Under communism, it's just the opposite.",https://www.brainyquote.com/quotes/john_kenneth_galbraith_122383?src=t_finance,John Kenneth Galbraith,https://www.brainyquote.com/authors/john-kenneth-galbraith-quotes
"In this world nothing can be said to be certain, except death and taxes.",https://www.brainyquote.com/quotes/benjamin_franklin_129817?src=t_finance,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
Inflation is taxation without legislation.,https://www.brainyquote.com/quotes/milton_friedman_379001?src=t_finance,Milton Friedman,https://www.brainyquote.com/authors/milton-friedman-quotes
The way to become rich is to put all your eggs in one basket and then watch that basket.,https://www.brainyquote.com/quotes/andrew_carnegie_156212?src=t_finance,Andrew Carnegie,https://www.brainyquote.com/authors/andrew-carnegie-quotes
"Wealth consists not in having great possessions, but in having few wants.",https://www.brainyquote.com/quotes/epictetus_384225?src=t_finance,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
"Don't gamble; take all your savings and buy some good stock and hold it till it goes up, then sell it. If it don't go up, don't buy it.",https://www.brainyquote.com/quotes/will_rogers_161236?src=t_finance,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
I made my money by selling too soon.,https://www.brainyquote.com/quotes/bernard_baruch_161320?src=t_finance,Bernard Baruch,https://www.brainyquote.com/authors/bernard-baruch-quotes
"I believe that through knowledge and discipline, financial peace is possible for all of us.",https://www.brainyquote.com/quotes/dave_ramsey_520283?src=t_finance,Dave Ramsey,https://www.brainyquote.com/authors/dave-ramsey-quotes
All money is a matter of belief.,https://www.brainyquote.com/quotes/adam_smith_379498?src=t_finance,Adam Smith,https://www.brainyquote.com/authors/adam-smith-quotes
The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.,https://www.brainyquote.com/quotes/friedrich_august_von_haye_564181?src=t_finance,Friedrich August von Hayek,https://www.brainyquote.com/authors/friedrich-august-von-haye-quotes
People who think about art as an investment are pathetic.,https://www.brainyquote.com/quotes/walter_annenberg_322415?src=t_finance,Walter Annenberg,https://www.brainyquote.com/authors/walter-annenberg-quotes
"Our incomes are like our shoes; if too small, they gall and pinch us; but if too large, they cause us to stumble and to trip.",https://www.brainyquote.com/quotes/john_locke_118857?src=t_finance,John Locke,https://www.brainyquote.com/authors/john-locke-quotes
Derivatives are financial weapons of mass destruction.,https://www.brainyquote.com/quotes/warren_buffett_409212?src=t_finance,Warren Buffett,https://www.brainyquote.com/authors/warren-buffett-quotes
"In the absence of the gold standard, there is no way to protect savings from confiscation through inflation. There is no safe store of value.",https://www.brainyquote.com/quotes/alan_greenspan_136390?src=t_finance,Alan Greenspan,https://www.brainyquote.com/authors/alan-greenspan-quotes
"If all the economists were laid end to end, they'd never reach a conclusion.",https://www.brainyquote.com/quotes/george_bernard_shaw_105433?src=t_finance,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.",https://www.brainyquote.com/quotes/william_feather_391335?src=t_finance,William Feather,https://www.brainyquote.com/authors/william-feather-quotes
Capital is that part of wealth which is devoted to obtaining further wealth.,https://www.brainyquote.com/quotes/alfred_marshall_183121?src=t_finance,Alfred Marshall,https://www.brainyquote.com/authors/alfred-marshall-quotes
The only way you will ever permanently take control of your financial life is to dig deep and fix the root problem.,https://www.brainyquote.com/quotes/suze_orman_465729?src=t_finance,Suze Orman,https://www.brainyquote.com/authors/suze-orman-quotes
Money is the best rule of commerce.,https://www.brainyquote.com/quotes/william_petty_200169?src=t_finance,William Petty,https://www.brainyquote.com/authors/william-petty-quotes
"You and I come by road or rail, but economists travel on infrastructure.",https://www.brainyquote.com/quotes/margaret_thatcher_384173?src=t_finance,Margaret Thatcher,https://www.brainyquote.com/authors/margaret-thatcher-quotes
Money is like manure. You have to spread it around or it smells.,https://www.brainyquote.com/quotes/j_paul_getty_101598?src=t_finance,J. Paul Getty,https://www.brainyquote.com/authors/j-paul-getty-quotes
There can be no rise in the value of labour without a fall of profits.,https://www.brainyquote.com/quotes/david_ricardo_317605?src=t_finance,David Ricardo,https://www.brainyquote.com/authors/david-ricardo-quotes
"My mother inspired me to treat others as I would want to be treated regardless of age, race or financial status.",https://www.brainyquote.com/quotes/tommy_hilfiger_418205?src=t_finance,Tommy Hilfiger,https://www.brainyquote.com/authors/tommy-hilfiger-quotes
"About the time we can make the ends meet, somebody moves the ends.",https://www.brainyquote.com/quotes/herbert_hoover_114474?src=t_finance,Herbert Hoover,https://www.brainyquote.com/authors/herbert-hoover-quotes
It is a kind of spiritual snobbery that makes people think they can be happy without money.,https://www.brainyquote.com/quotes/albert_camus_165900?src=t_finance,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
Watch your finances like a hawk.,https://www.brainyquote.com/quotes/h_jackson_brown_jr_629116?src=t_finance,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
Infinite growth of material consumption in a finite world is an impossibility.,https://www.brainyquote.com/quotes/e_f_schumacher_389554?src=t_finance,E. F. Schumacher,https://www.brainyquote.com/authors/e-f-schumacher-quotes
The financial markets generally are unpredictable. So that one has to have different scenarios... The idea that you can actually predict what's going to happen contradicts my way of looking at the market.,https://www.brainyquote.com/quotes/george_soros_173296?src=t_finance,George Soros,https://www.brainyquote.com/authors/george-soros-quotes
"As sure as the spring will follow the winter, prosperity and economic growth will follow recession.",https://www.brainyquote.com/quotes/bo_bennett_167503?src=t_finance,Bo Bennett,https://www.brainyquote.com/authors/bo-bennett-quotes
The avoidance of taxes is the only intellectual pursuit that still carries any reward.,https://www.brainyquote.com/quotes/john_maynard_keynes_163579?src=t_finance,John Maynard Keynes,https://www.brainyquote.com/authors/john-maynard-keynes-quotes
Poverty is unnecessary.,https://www.brainyquote.com/quotes/muhammad_yunus_228666?src=t_finance,Muhammad Yunus,https://www.brainyquote.com/authors/muhammad-yunus-quotes
"The only way to permanently change the temperature in the room is to reset the thermostat. In the same way, the only way to change your level of financial success 'permanently' is to reset your financial thermostat. But it is your choice whether you choose to change.",https://www.brainyquote.com/quotes/t_harv_eker_528045?src=t_finance,T. Harv Eker,https://www.brainyquote.com/authors/t-harv-eker-quotes
"Financial support is one thing, but I always think what becomes really sacrificial is your time.",https://www.brainyquote.com/quotes/cliff_richard_247839?src=t_finance,Cliff Richard,https://www.brainyquote.com/authors/cliff-richard-quotes
We cannot both preach and administer financial matters.,https://www.brainyquote.com/quotes/saint_stephen_195670?src=t_finance,Saint Stephen,https://www.brainyquote.com/authors/saint-stephen-quotes
Stay on top of your finances. Don't leave that up to others.,https://www.brainyquote.com/quotes/leif_garrett_252383?src=t_finance,Leif Garrett,https://www.brainyquote.com/authors/leif-garrett-quotes
"We teach about how to drive in school, but not how to manage finances.",https://www.brainyquote.com/quotes/andy_williams_395000?src=t_finance,Andy Williams,https://www.brainyquote.com/authors/andy-williams-quotes
The lesson of history is that you do not get a sustained economic recovery as long as the financial system is in crisis.,https://www.brainyquote.com/quotes/ben_bernanke_455223?src=t_finance,Ben Bernanke,https://www.brainyquote.com/authors/ben-bernanke-quotes
"The longer I go on, the more I am aware of the power of finance.",https://www.brainyquote.com/quotes/justin_welby_520727?src=t_finance,Justin Welby,https://www.brainyquote.com/authors/justin-welby-quotes
"Being rich is a good thing. Not just in the obvious sense of benefitting you and your family, but in the broader sense. Profits are not a zero sum game. The more you make, the more of a financial impact you can have.",https://www.brainyquote.com/quotes/mark_cuban_417218?src=t_finance,Mark Cuban,https://www.brainyquote.com/authors/mark-cuban-quotes
"I wasn't a financial pro, and I paid the price.",https://www.brainyquote.com/quotes/ruth_handler_232786?src=t_finance,Ruth Handler,https://www.brainyquote.com/authors/ruth-handler-quotes
"I'm involved in the stock market, which is fun and, sometimes, very painful.",https://www.brainyquote.com/quotes/regis_philbin_190515?src=t_finance,Regis Philbin,https://www.brainyquote.com/authors/regis-philbin-quotes
The economy is a very sensitive organism.,https://www.brainyquote.com/quotes/hjalmar_schacht_309075?src=t_finance,Hjalmar Schacht,https://www.brainyquote.com/authors/hjalmar-schacht-quotes
There's more honor in investment management than in investment banking.,https://www.brainyquote.com/quotes/charlie_munger_545821?src=t_finance,Charlie Munger,https://www.brainyquote.com/authors/charlie-munger-quotes
We need real campaign finance reform to loosen the grip of special interests on politics.,https://www.brainyquote.com/quotes/tom_daschle_375866?src=t_finance,Tom Daschle,https://www.brainyquote.com/authors/tom-daschle-quotes
Divorce is one of the most financially traumatic things you can go through. Money spent on getting mad or getting even is money wasted.,https://www.brainyquote.com/quotes/richard_wagner_392732?src=t_finance,Richard Wagner,https://www.brainyquote.com/authors/richard-wagner-quotes
The poor don't know that their function in life is to exercise our generosity.,https://www.brainyquote.com/quotes/jeanpaul_sartre_155418?src=t_finance,Jean-Paul Sartre,https://www.brainyquote.com/authors/jean-paul-sartre-quotes
The job of the Central Bank is to worry.,https://www.brainyquote.com/quotes/alice_rivlin_307746?src=t_finance,Alice Rivlin,https://www.brainyquote.com/authors/alice-rivlin-quotes
