quote,quote_url,author,author_url
Take care of your body. It's the only place you have to live.,https://www.brainyquote.com/quotes/jim_rohn_147499?src=t_fitness,Jim Rohn,https://www.brainyquote.com/authors/jim-rohn-quotes
"A muscle is like a car. If you want it to run well early in the morning, you have to warm it up.",https://www.brainyquote.com/quotes/florence_griffith_joyner_389640?src=t_fitness,Florence Griffith Joyner,https://www.brainyquote.com/authors/florence-griffith-joyner-quotes
"Physical fitness is not only one of the most important keys to a healthy body, it is the basis of dynamic and creative intellectual activity.",https://www.brainyquote.com/quotes/john_f_kennedy_131489?src=t_fitness,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"To enjoy the glow of good health, you must exercise.",https://www.brainyquote.com/quotes/gene_tunney_309238?src=t_fitness,Gene Tunney,https://www.brainyquote.com/authors/gene-tunney-quotes
Reading is to the mind what exercise is to the body.,https://www.brainyquote.com/quotes/joseph_addison_104348?src=t_fitness,Joseph Addison,https://www.brainyquote.com/authors/joseph-addison-quotes
The human body is the best picture of the human soul.,https://www.brainyquote.com/quotes/ludwig_wittgenstein_139240?src=t_fitness,Ludwig Wittgenstein,https://www.brainyquote.com/authors/ludwig-wittgenstein-quotes
True enjoyment comes from activity of the mind and exercise of the body; the two are ever united.,https://www.brainyquote.com/quotes/wilhelm_von_humboldt_141400?src=t_fitness,Wilhelm von Humboldt,https://www.brainyquote.com/authors/wilhelm-von-humboldt-quotes
"A lot of people are afraid of heights. Not me, I'm afraid of widths.",https://www.brainyquote.com/quotes/steven_wright_102705?src=t_fitness,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
"Exercise to stimulate, not to annihilate. The world wasn't formed in a day, and neither were we. Set small goals and build upon them.",https://www.brainyquote.com/quotes/lee_haney_295632?src=t_fitness,Lee Haney,https://www.brainyquote.com/authors/lee-haney-quotes
Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,https://www.brainyquote.com/quotes/denis_waitley_146927?src=t_fitness,Denis Waitley,https://www.brainyquote.com/authors/denis-waitley-quotes
Walking is the best possible exercise. Habituate yourself to walk very far.,https://www.brainyquote.com/quotes/thomas_jefferson_157213?src=t_fitness,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
The reason I exercise is for the quality of life I enjoy.,https://www.brainyquote.com/quotes/kenneth_h_cooper_357497?src=t_fitness,Kenneth H. Cooper,https://www.brainyquote.com/authors/kenneth-h-cooper-quotes
Practice puts brains in your muscles.,https://www.brainyquote.com/quotes/sam_snead_380606?src=t_fitness,Sam Snead,https://www.brainyquote.com/authors/sam-snead-quotes
Flexibility is crucial to my fitness. Incorporating a good warm-up and cool-down into every session decreases my chances of injury. I use both dynamic and static stretching in my training. I've starting doing a few yoga sessions which incorporates muscle strength and flexibility.,https://www.brainyquote.com/quotes/samantha_stosur_475948?src=t_fitness,Samantha Stosur,https://www.brainyquote.com/authors/samantha-stosur-quotes
"Number one, like yourself. Number two, you have to eat healthy. And number three, you've got to squeeze your buns. That's my formula.",https://www.brainyquote.com/quotes/richard_simmons_417270?src=t_fitness,Richard Simmons,https://www.brainyquote.com/authors/richard-simmons-quotes
Your body is the church where Nature asks to be reverenced.,https://www.brainyquote.com/quotes/marquis_de_sade_155347?src=t_fitness,Marquis de Sade,https://www.brainyquote.com/authors/marquis-de-sade-quotes
Find fitness with fun dancing. It is fun and makes you forget about the dreaded exercise.,https://www.brainyquote.com/quotes/paula_abdul_376003?src=t_fitness,Paula Abdul,https://www.brainyquote.com/authors/paula-abdul-quotes
"The purpose of training is to tighten up the slack, toughen the body, and polish the spirit.",https://www.brainyquote.com/quotes/morihei_ueshiba_183610?src=t_fitness,Morihei Ueshiba,https://www.brainyquote.com/authors/morihei-ueshiba-quotes
"If we could give every individual the right amount of nourishment and exercise, not too little and not too much, we would have found the safest way to health.",https://www.brainyquote.com/quotes/hippocrates_153531?src=t_fitness,Hippocrates,https://www.brainyquote.com/authors/hippocrates-quotes
Exercise is done against one's wishes and maintained only because the alternative is worse.,https://www.brainyquote.com/quotes/george_a_sheehan_178125?src=t_fitness,George A. Sheehan,https://www.brainyquote.com/authors/george-a-sheehan-quotes
"The first time I see a jogger smiling, I'll consider it.",https://www.brainyquote.com/quotes/joan_rivers_140555?src=t_fitness,Joan Rivers,https://www.brainyquote.com/authors/joan-rivers-quotes
"If a man achieves victory over this body, who in the world can exercise power over him? He who rules himself rules over the whole world.",https://www.brainyquote.com/quotes/vinoba_bhave_333594?src=t_fitness,Vinoba Bhave,https://www.brainyquote.com/authors/vinoba-bhave-quotes
A feeble body weakens the mind.,https://www.brainyquote.com/quotes/jeanjacques_rousseau_141396?src=t_fitness,Jean-Jacques Rousseau,https://www.brainyquote.com/authors/jean-jacques-rousseau-quotes
"I think exercise tests us in so many ways, our skills, our hearts, our ability to bounce back after setbacks. This is the inner beauty of sports and competition, and it can serve us all well as adult athletes.",https://www.brainyquote.com/quotes/peggy_fleming_326913?src=t_fitness,Peggy Fleming,https://www.brainyquote.com/authors/peggy-fleming-quotes
Exercise is the chief source of improvement in our faculties.,https://www.brainyquote.com/quotes/hugh_blair_192613?src=t_fitness,Hugh Blair,https://www.brainyquote.com/authors/hugh-blair-quotes
"Health is the vital principle of bliss, and exercise, of health.",https://www.brainyquote.com/quotes/james_thomson_383326?src=t_fitness,James Thomson,https://www.brainyquote.com/authors/james-thomson-quotes
"If I don't feel confident about my body, I'm not going to sit at home and feel sorry for myself and not do something about it. It's all about taking action and not being lazy. So you do the work, whether it's fitness or whatever. It's about getting up, motivating yourself and just doing it.",https://www.brainyquote.com/quotes/kim_kardashian_462865?src=t_fitness,Kim Kardashian,https://www.brainyquote.com/authors/kim-kardashian-quotes
"Swimming is normal for me. I'm relaxed. I'm comfortable, and I know my surroundings. It's my home.",https://www.brainyquote.com/quotes/michael_phelps_167148?src=t_fitness,Michael Phelps,https://www.brainyquote.com/authors/michael-phelps-quotes
"Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.",https://www.brainyquote.com/quotes/arnold_schwarzenegger_146560?src=t_fitness,Arnold Schwarzenegger,https://www.brainyquote.com/authors/arnold-schwarzenegger-quotes
In the midst of these hard times it is our good health and good sleep that are enjoyable.,https://www.brainyquote.com/quotes/knute_nelson_232011?src=t_fitness,Knute Nelson,https://www.brainyquote.com/authors/knute-nelson-quotes
"Exercise is amazing, from the inside out. I feel so alive and have more energy.",https://www.brainyquote.com/quotes/vanessa_hudgens_461413?src=t_fitness,Vanessa Hudgens,https://www.brainyquote.com/authors/vanessa-hudgens-quotes
"I think if you exercise, your state of mind - my state of mind - is usually more at ease, ready for more mental challenges. Once I get the physical stuff out of the way it always seems like I have more calmness and better self-esteem.",https://www.brainyquote.com/quotes/stone_gossard_349842?src=t_fitness,Stone Gossard,https://www.brainyquote.com/authors/stone-gossard-quotes
You must also give mental and physical fitness priority.,https://www.brainyquote.com/quotes/jim_otto_250573?src=t_fitness,Jim Otto,https://www.brainyquote.com/authors/jim-otto-quotes
Exercise is labor without weariness.,https://www.brainyquote.com/quotes/samuel_johnson_157359?src=t_fitness,Samuel Johnson,https://www.brainyquote.com/authors/samuel-johnson-quotes
There's a lot of people in this world who spend so much time watching their health that they haven't the time to enjoy it.,https://www.brainyquote.com/quotes/josh_billings_105712?src=t_fitness,Josh Billings,https://www.brainyquote.com/authors/josh-billings-quotes
"I have never taken any exercise, except sleeping and resting, and I never intend to take any.",https://www.brainyquote.com/quotes/mark_twain_137888?src=t_fitness,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"A runner must run with dreams in his heart, not money in his pocket.",https://www.brainyquote.com/quotes/emil_zatopek_320093?src=t_fitness,Emil Zatopek,https://www.brainyquote.com/authors/emil-zatopek-quotes
"The only way for a rich man to be healthy is by exercise and abstinence, to live as if he were poor.",https://www.brainyquote.com/quotes/william_temple_153677?src=t_fitness,William Temple,https://www.brainyquote.com/authors/william-temple-quotes
"It's challenging, but you have to at least try to eat right and exercise.",https://www.brainyquote.com/quotes/joely_fisher_224939?src=t_fitness,Joely Fisher,https://www.brainyquote.com/authors/joely-fisher-quotes
"Tactics, fitness, stroke ability, adaptability, experience, and sportsmanship are all necessary for winning.",https://www.brainyquote.com/quotes/fred_perry_181909?src=t_fitness,Fred Perry,https://www.brainyquote.com/authors/fred-perry-quotes
"I don't smoke, don't drink much, and go to the gym five times a week. I live a healthy lifestyle and feel great. I can run a marathon, you know.",https://www.brainyquote.com/quotes/sarah_michelle_gellar_361823?src=t_fitness,Sarah Michelle Gellar,https://www.brainyquote.com/authors/sarah-michelle-gellar-quotes
Jogging is very beneficial. It's good for your legs and your feet. It's also very good for the ground. If makes it feel needed.,https://www.brainyquote.com/quotes/charles_m_schulz_158374?src=t_fitness,Charles M. Schulz,https://www.brainyquote.com/authors/charles-m-schulz-quotes
Health is the thing that makes you feel that now is the best time of the year.,https://www.brainyquote.com/quotes/franklin_pierce_adams_158165?src=t_fitness,Franklin Pierce Adams,https://www.brainyquote.com/authors/franklin-pierce-adams-quotes
I like exercise. I like a healthy body.,https://www.brainyquote.com/quotes/erin_gray_212440?src=t_fitness,Erin Gray,https://www.brainyquote.com/authors/erin-gray-quotes
"I like to embrace natural beauty. I try to get at least 8 hours of sleep, drinking a lot of water and exercising.",https://www.brainyquote.com/quotes/tia_mowry_428587?src=t_fitness,Tia Mowry,https://www.brainyquote.com/authors/tia-mowry-quotes
"I'm French, so I'm quite lazy about exercising, and I smoke. But I do love going for a run in the morning with my dog. That's all.",https://www.brainyquote.com/quotes/eva_green_191151?src=t_fitness,Eva Green,https://www.brainyquote.com/authors/eva-green-quotes
"It's not about weight, it's about fitness, and one component of being fit is to have relatively low body fat, because fat is not very efficient, whereas muscle is.",https://www.brainyquote.com/quotes/deborah_bull_241291?src=t_fitness,Deborah Bull,https://www.brainyquote.com/authors/deborah-bull-quotes
Muscles come and go; flab lasts.,https://www.brainyquote.com/quotes/bill_vaughan_173983?src=t_fitness,Bill Vaughan,https://www.brainyquote.com/authors/bill-vaughan-quotes
"You can't be fat and fast, too; so lift, run, diet and work.",https://www.brainyquote.com/quotes/hank_stram_305130?src=t_fitness,Hank Stram,https://www.brainyquote.com/authors/hank-stram-quotes
A vigorous five-mile walk will do more good for an unhappy but otherwise healthy adult than all the medicine and psychology in the world.,https://www.brainyquote.com/quotes/paul_dudley_white_107436?src=t_fitness,Paul Dudley White,https://www.brainyquote.com/authors/paul-dudley-white-quotes
Fitness needs to be perceived as fun and games or we subconsciously avoid it.,https://www.brainyquote.com/quotes/alan_thicke_362111?src=t_fitness,Alan Thicke,https://www.brainyquote.com/authors/alan-thicke-quotes
