quote,quote_url,author,author_url
Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.,https://www.brainyquote.com/quotes/viktor_e_frankl_160380?src=t_freedom,Viktor E. Frankl,https://www.brainyquote.com/authors/viktor-e-frankl-quotes
The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.,https://www.brainyquote.com/quotes/albert_camus_391590?src=t_freedom,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
"If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter.",https://www.brainyquote.com/quotes/george_washington_146824?src=t_freedom,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
Freedom is never voluntarily given by the oppressor; it must be demanded by the oppressed.,https://www.brainyquote.com/quotes/martin_luther_king_jr_125901?src=t_freedom,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Man will never be free until the last king is strangled with the entrails of the last priest.,https://www.brainyquote.com/quotes/denis_diderot_105429?src=t_freedom,Denis Diderot,https://www.brainyquote.com/authors/denis-diderot-quotes
"Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.",https://www.brainyquote.com/quotes/ronald_reagan_183965?src=t_freedom,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
It is difficult to free fools from the chains they revere.,https://www.brainyquote.com/quotes/voltaire_136298?src=t_freedom,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
None are more hopelessly enslaved than those who falsely believe they are free.,https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_134023?src=t_freedom,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"Freedom consists not in doing what we like, but in having the right to do what we ought.",https://www.brainyquote.com/quotes/pope_john_paul_ii_178860?src=t_freedom,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
"It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men.",https://www.brainyquote.com/quotes/samuel_adams_392728?src=t_freedom,Samuel Adams,https://www.brainyquote.com/authors/samuel-adams-quotes
A hero is someone who understands the responsibility that comes with his freedom.,https://www.brainyquote.com/quotes/bob_dylan_142058?src=t_freedom,Bob Dylan,https://www.brainyquote.com/authors/bob-dylan-quotes
"Freedom makes a huge requirement of every human being. With freedom comes responsibility. For the person who is unwilling to grow up, the person who does not want to carry his own weight, this is a frightening prospect.",https://www.brainyquote.com/quotes/eleanor_roosevelt_166988?src=t_freedom,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
Freedom is the oxygen of the soul.,https://www.brainyquote.com/quotes/moshe_dayan_105884?src=t_freedom,Moshe Dayan,https://www.brainyquote.com/authors/moshe-dayan-quotes
Freedom is what you do with what's been done to you.,https://www.brainyquote.com/quotes/jeanpaul_sartre_101931?src=t_freedom,Jean-Paul Sartre,https://www.brainyquote.com/authors/jean-paul-sartre-quotes
"I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.",https://www.brainyquote.com/quotes/robert_a_heinlein_124502?src=t_freedom,Robert A. Heinlein,https://www.brainyquote.com/authors/robert-a-heinlein-quotes
"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",https://www.brainyquote.com/quotes/nelson_mandela_178787?src=t_freedom,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
'Emergencies' have always been the pretext on which the safeguards of individual liberty have been eroded.,https://www.brainyquote.com/quotes/friedrich_august_von_haye_185957?src=t_freedom,Friedrich August von Hayek,https://www.brainyquote.com/authors/friedrich-august-von-haye-quotes
"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.",https://www.brainyquote.com/quotes/dwight_d_eisenhower_107094?src=t_freedom,Dwight D. Eisenhower,https://www.brainyquote.com/authors/dwight-d-eisenhower-quotes
"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.",https://www.brainyquote.com/quotes/peter_marshall_387115?src=t_freedom,Peter Marshall,https://www.brainyquote.com/authors/peter-marshall-quotes
I hope for nothing. I fear nothing. I am free.,https://www.brainyquote.com/quotes/nikos_kazantzakis_387747?src=t_freedom,Nikos Kazantzakis,https://www.brainyquote.com/authors/nikos-kazantzakis-quotes
Freedom and justice cannot be parceled out in pieces to suit political convenience. I don't believe you can stand for freedom for one group of people and deny it to others.,https://www.brainyquote.com/quotes/coretta_scott_king_401224?src=t_freedom,Coretta Scott King,https://www.brainyquote.com/authors/coretta-scott-king-quotes
Conformity is the jailer of freedom and the enemy of growth.,https://www.brainyquote.com/quotes/john_f_kennedy_124908?src=t_freedom,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
Freedom is the recognition of necessity.,https://www.brainyquote.com/quotes/friedrich_engels_379956?src=t_freedom,Friedrich Engels,https://www.brainyquote.com/authors/friedrich-engels-quotes
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,https://www.brainyquote.com/quotes/soren_kierkegaard_101436?src=t_freedom,Soren Kierkegaard,https://www.brainyquote.com/authors/soren-kierkegaard-quotes
Freedom is never given; it is won.,https://www.brainyquote.com/quotes/a_philip_randolph_212163?src=t_freedom,A. Philip Randolph,https://www.brainyquote.com/authors/a-philip-randolph-quotes
"We hold these truths to be self-evident: that all men are created equal; that they are endowed by their Creator with certain unalienable rights; that among these are life, liberty, and the pursuit of happiness.",https://www.brainyquote.com/quotes/thomas_jefferson_157212?src=t_freedom,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
Freedom lies in being bold.,https://www.brainyquote.com/quotes/robert_frost_151833?src=t_freedom,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"Freedom itself was attacked this morning by a faceless coward, and freedom will be defended.",https://www.brainyquote.com/quotes/george_w_bush_131044?src=t_freedom,George W. Bush,https://www.brainyquote.com/authors/george-w-bush-quotes
"Those who expect to reap the blessings of freedom must, like men, undergo the fatigue of supporting it.",https://www.brainyquote.com/quotes/thomas_paine_124837?src=t_freedom,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
"When we lose the right to be different, we lose the privilege to be free.",https://www.brainyquote.com/quotes/charles_evans_hughes_163110?src=t_freedom,Charles Evans Hughes,https://www.brainyquote.com/authors/charles-evans-hughes-quotes
"Those who deny freedom to others deserve it not for themselves; and under the rule of a just God, cannot long retain it.",https://www.brainyquote.com/quotes/abraham_lincoln_105879?src=t_freedom,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
Humanity has won its battle. Liberty now has a country.,https://www.brainyquote.com/quotes/marquis_de_lafayette_109252?src=t_freedom,Marquis de Lafayette,https://www.brainyquote.com/authors/marquis-de-lafayette-quotes
Freedom is something that dies unless it's used.,https://www.brainyquote.com/quotes/hunter_s_thompson_588251?src=t_freedom,Hunter S. Thompson,https://www.brainyquote.com/authors/hunter-s-thompson-quotes
True individual freedom cannot exist without economic security and independence. People who are hungry and out of a job are the stuff of which dictatorships are made.,https://www.brainyquote.com/quotes/franklin_d_roosevelt_134721?src=t_freedom,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
"Guard with jealous attention the public liberty. Suspect everyone who approaches that jewel. Unfortunately, nothing will preserve it but downright force. Whenever you give up that force, you are inevitably ruined.",https://www.brainyquote.com/quotes/patrick_henry_101581?src=t_freedom,Patrick Henry,https://www.brainyquote.com/authors/patrick-henry-quotes
