quote,quote_url,author,author_url
Love is the only force capable of transforming an enemy into a friend.,https://www.brainyquote.com/quotes/martin_luther_king_jr_110082?src=t_friendship,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom.",https://www.brainyquote.com/quotes/marcel_proust_105251?src=t_friendship,Marcel Proust,https://www.brainyquote.com/authors/marcel-proust-quotes
One of the most beautiful qualities of true friendship is to understand and to be understood.,https://www.brainyquote.com/quotes/lucius_annaeus_seneca_155059?src=t_friendship,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
A real friend is one who walks in when the rest of the world walks out.,https://www.brainyquote.com/quotes/walter_winchell_121442?src=t_friendship,Walter Winchell,https://www.brainyquote.com/authors/walter-winchell-quotes
"In the sweetness of friendship let there be laughter, and sharing of pleasures. For in the dew of little things the heart finds its morning and is refreshed.",https://www.brainyquote.com/quotes/khalil_gibran_162061?src=t_friendship,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
"The greatest gift of life is friendship, and I have received it.",https://www.brainyquote.com/quotes/hubert_h_humphrey_152599?src=t_friendship,Hubert H. Humphrey,https://www.brainyquote.com/authors/hubert-h-humphrey-quotes
One loyal friend is worth ten thousand relatives.,https://www.brainyquote.com/quotes/euripides_149016?src=t_friendship,Euripides,https://www.brainyquote.com/authors/euripides-quotes
It is one of the blessings of old friends that you can afford to be stupid with them.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_105261?src=t_friendship,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
There is nothing on this earth more to be prized than true friendship.,https://www.brainyquote.com/quotes/thomas_aquinas_163328?src=t_friendship,Thomas Aquinas,https://www.brainyquote.com/authors/thomas-aquinas-quotes
There are no strangers here; Only friends you haven't yet met.,https://www.brainyquote.com/quotes/william_butler_yeats_383082?src=t_friendship,William Butler Yeats,https://www.brainyquote.com/authors/william-butler-yeats-quotes
The friend in my adversity I shall always cherish most. I can better trust those who helped to relieve the gloom of my dark hours than those who are so ready to enjoy with me the sunshine of my prosperity.,https://www.brainyquote.com/quotes/ulysses_s_grant_132903?src=t_friendship,Ulysses S. Grant,https://www.brainyquote.com/authors/ulysses-s-grant-quotes
Walking with a friend in the dark is better than walking alone in the light.,https://www.brainyquote.com/quotes/helen_keller_384608?src=t_friendship,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
"Each friend represents a world in us, a world not born until they arrive, and it is only by this meeting that a new world is born.",https://www.brainyquote.com/quotes/anais_nin_132043?src=t_friendship,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.",https://www.brainyquote.com/quotes/elie_wiesel_393174?src=t_friendship,Elie Wiesel,https://www.brainyquote.com/authors/elie-wiesel-quotes
Things are never quite as scary when you've got a best friend.,https://www.brainyquote.com/quotes/bill_watterson_383142?src=t_friendship,Bill Watterson,https://www.brainyquote.com/authors/bill-watterson-quotes
Remember that the most valuable antiques are dear old friends.,https://www.brainyquote.com/quotes/h_jackson_brown_jr_124509?src=t_friendship,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
A friend to all is a friend to none.,https://www.brainyquote.com/quotes/aristotle_379607?src=t_friendship,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.",https://www.brainyquote.com/quotes/oprah_winfrey_105255?src=t_friendship,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
It takes a long time to grow an old friend.,https://www.brainyquote.com/quotes/john_leonard_105249?src=t_friendship,John Leonard,https://www.brainyquote.com/authors/john-leonard-quotes
True friends stab you in the front.,https://www.brainyquote.com/quotes/oscar_wilde_100745?src=t_friendship,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.",https://www.brainyquote.com/quotes/albert_schweitzer_105225?src=t_friendship,Albert Schweitzer,https://www.brainyquote.com/authors/albert-schweitzer-quotes
A true friend is someone who is there for you when he'd rather be anywhere else.,https://www.brainyquote.com/quotes/len_wein_366317?src=t_friendship,Len Wein,https://www.brainyquote.com/authors/len-wein-quotes
Friends are the siblings God never gave us.,https://www.brainyquote.com/quotes/mencius_379023?src=t_friendship,Mencius,https://www.brainyquote.com/authors/mencius-quotes
It's the friends you can call up at 4 a.m. that matter.,https://www.brainyquote.com/quotes/marlene_dietrich_105242?src=t_friendship,Marlene Dietrich,https://www.brainyquote.com/authors/marlene-dietrich-quotes
A friend is someone who gives you total freedom to be yourself.,https://www.brainyquote.com/quotes/jim_morrison_162006?src=t_friendship,Jim Morrison,https://www.brainyquote.com/authors/jim-morrison-quotes
"True friendship multiplies the good in life and divides its evils. Strive to have friends, for life without friends is like life on a desert island... to find one real friend in a lifetime is good fortune; to keep him is a blessing.",https://www.brainyquote.com/quotes/baltasar_gracian_408657?src=t_friendship,Baltasar Gracian,https://www.brainyquote.com/authors/baltasar-gracian-quotes
I have learned that to be with those I like is enough.,https://www.brainyquote.com/quotes/walt_whitman_109707?src=t_friendship,Walt Whitman,https://www.brainyquote.com/authors/walt-whitman-quotes
Sometimes being a friend means mastering the art of timing. There is a time for silence. A time to let go and allow people to hurl themselves into their own destiny. And a time to prepare to pick up the pieces when it's all over.,https://www.brainyquote.com/quotes/octavia_e_butler_170210?src=t_friendship,Octavia E. Butler,https://www.brainyquote.com/authors/octavia-e-butler-quotes
My best friend is the one who brings out the best in me.,https://www.brainyquote.com/quotes/henry_ford_122451?src=t_friendship,Henry Ford,https://www.brainyquote.com/authors/henry-ford-quotes
I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.,https://www.brainyquote.com/quotes/plutarch_105273?src=t_friendship,Plutarch,https://www.brainyquote.com/authors/plutarch-quotes
Of all possessions a friend is the most precious.,https://www.brainyquote.com/quotes/herodotus_402187?src=t_friendship,Herodotus,https://www.brainyquote.com/authors/herodotus-quotes
A man's friendships are one of the best measures of his worth.,https://www.brainyquote.com/quotes/charles_darwin_383136?src=t_friendship,Charles Darwin,https://www.brainyquote.com/authors/charles-darwin-quotes
Friends and good manners will carry you where money won't go.,https://www.brainyquote.com/quotes/margaret_walker_189840?src=t_friendship,Margaret Walker,https://www.brainyquote.com/authors/margaret-walker-quotes
"When we honestly ask ourselves which person in our lives means the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand.",https://www.brainyquote.com/quotes/henri_nouwen_105224?src=t_friendship,Henri Nouwen,https://www.brainyquote.com/authors/henri-nouwen-quotes
"A single rose can be my garden... a single friend, my world.",https://www.brainyquote.com/quotes/leo_buscaglia_163836?src=t_friendship,Leo Buscaglia,https://www.brainyquote.com/authors/leo-buscaglia-quotes
"It is not so much our friends' help that helps us, as the confidence of their help.",https://www.brainyquote.com/quotes/epicurus_161673?src=t_friendship,Epicurus,https://www.brainyquote.com/authors/epicurus-quotes
If you have one true friend you have more than your share.,https://www.brainyquote.com/quotes/thomas_fuller_151904?src=t_friendship,Thomas Fuller,https://www.brainyquote.com/authors/thomas-fuller-quotes
A true friend is one who overlooks your failures and tolerates your success!,https://www.brainyquote.com/quotes/doug_larson_121444?src=t_friendship,Doug Larson,https://www.brainyquote.com/authors/doug-larson-quotes
A friend is a gift you give yourself.,https://www.brainyquote.com/quotes/robert_louis_stevenson_103477?src=t_friendship,Robert Louis Stevenson,https://www.brainyquote.com/authors/robert-louis-stevenson-quotes
Never explain - your friends do not need it and your enemies will not believe you anyway.,https://www.brainyquote.com/quotes/elbert_hubbard_108523?src=t_friendship,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
"The bird a nest, the spider a web, man friendship.",https://www.brainyquote.com/quotes/william_blake_105253?src=t_friendship,William Blake,https://www.brainyquote.com/authors/william-blake-quotes
"No person is your friend who demands your silence, or denies your right to grow.",https://www.brainyquote.com/quotes/alice_walker_131842?src=t_friendship,Alice Walker,https://www.brainyquote.com/authors/alice-walker-quotes
"There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you.",https://www.brainyquote.com/quotes/paramahansa_yogananda_395474?src=t_friendship,Paramahansa Yogananda,https://www.brainyquote.com/authors/paramahansa-yogananda-quotes
True friendship is like sound health; the value of it is seldom known until it is lost.,https://www.brainyquote.com/quotes/charles_caleb_colton_108909?src=t_friendship,Charles Caleb Colton,https://www.brainyquote.com/authors/charles-caleb-colton-quotes
Never contract friendship with a man that is not better than thyself.,https://www.brainyquote.com/quotes/confucius_118067?src=t_friendship,Confucius,https://www.brainyquote.com/authors/confucius-quotes
Some people go to priests; others to poetry; I to my friends.,https://www.brainyquote.com/quotes/virginia_woolf_147081?src=t_friendship,Virginia Woolf,https://www.brainyquote.com/authors/virginia-woolf-quotes
Lovers have a right to betray you... friends don't.,https://www.brainyquote.com/quotes/judy_holliday_228012?src=t_friendship,Judy Holliday,https://www.brainyquote.com/authors/judy-holliday-quotes
"When you choose your friends, don't be short-changed by choosing personality over character.",https://www.brainyquote.com/quotes/w_somerset_maugham_101347?src=t_friendship,W. Somerset Maugham,https://www.brainyquote.com/authors/w-somerset-maugham-quotes
A friendship founded on business is better than a business founded on friendship.,https://www.brainyquote.com/quotes/john_d_rockefeller_103600?src=t_friendship,John D. Rockefeller,https://www.brainyquote.com/authors/john-d-rockefeller-quotes
"Friendship... is not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.",https://www.brainyquote.com/quotes/muhammad_ali_100736?src=t_friendship,Muhammad Ali,https://www.brainyquote.com/authors/muhammad-ali-quotes
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",https://www.brainyquote.com/quotes/charles_r_swindoll_121433?src=t_friendship,Charles R. Swindoll,https://www.brainyquote.com/authors/charles-r-swindoll-quotes
"She is a friend of mind. She gather me, man. The pieces I am, she gather them and give them back to me in all the right order. It's good, you know, when you got a woman who is a friend of your mind.",https://www.brainyquote.com/quotes/toni_morrison_105243?src=t_friendship,Toni Morrison,https://www.brainyquote.com/authors/toni-morrison-quotes
"Be slow to fall into friendship; but when thou art in, continue firm and constant.",https://www.brainyquote.com/quotes/socrates_163838?src=t_friendship,Socrates,https://www.brainyquote.com/authors/socrates-quotes
Do I not destroy my enemies when I make them my friends?,https://www.brainyquote.com/quotes/abraham_lincoln_103475?src=t_friendship,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"A true friend is the greatest of all blessings, and that which we take the least care of all to acquire.",https://www.brainyquote.com/quotes/francois_de_la_rochefouca_142634?src=t_friendship,Francois de La Rochefoucauld,https://www.brainyquote.com/authors/francois-de-la-rochefouca-quotes
"Friendship improves happiness and abates misery, by the doubling of our joy and the dividing of our grief.",https://www.brainyquote.com/quotes/marcus_tullius_cicero_130785?src=t_friendship,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
The language of friendship is not words but meanings.,https://www.brainyquote.com/quotes/henry_david_thoreau_161672?src=t_friendship,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
"Friendship is unnecessary, like philosophy, like art... It has no survival value; rather it is one of those things that give value to survival.",https://www.brainyquote.com/quotes/c_s_lewis_105239?src=t_friendship,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
My friends are my estate.,https://www.brainyquote.com/quotes/emily_dickinson_379913?src=t_friendship,Emily Dickinson,https://www.brainyquote.com/authors/emily-dickinson-quotes
The world is round so that friendship may encircle it.,https://www.brainyquote.com/quotes/pierre_teilhard_de_chardi_156688?src=t_friendship,Pierre Teilhard de Chardin,https://www.brainyquote.com/authors/pierre-teilhard-de-chardi-quotes
