quote,quote_url,author,author_url
I refuse to join any club that would have me as a member.,https://www.brainyquote.com/quotes/groucho_marx_122546?src=t_funny,Groucho Marx,https://www.brainyquote.com/authors/groucho-marx-quotes
Do not take life too seriously. You will never get out of it alive.,https://www.brainyquote.com/quotes/elbert_hubbard_104409?src=t_funny,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
I am not a member of any organized political party. I am a Democrat.,https://www.brainyquote.com/quotes/will_rogers_122697?src=t_funny,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
"I may be drunk, Miss, but in the morning I will be sober and you will still be ugly.",https://www.brainyquote.com/quotes/winston_churchill_108948?src=t_funny,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
Behind every great man is a woman rolling her eyes.,https://www.brainyquote.com/quotes/jim_carrey_379231?src=t_funny,Jim Carrey,https://www.brainyquote.com/authors/jim-carrey-quotes
My life needs editing.,https://www.brainyquote.com/quotes/mort_sahl_102619?src=t_funny,Mort Sahl,https://www.brainyquote.com/authors/mort-sahl-quotes
"A day without sunshine is like, you know, night.",https://www.brainyquote.com/quotes/steve_martin_378299?src=t_funny,Steve Martin,https://www.brainyquote.com/authors/steve-martin-quotes
Laziness is nothing more than the habit of resting before you get tired.,https://www.brainyquote.com/quotes/jules_renard_132051?src=t_funny,Jules Renard,https://www.brainyquote.com/authors/jules-renard-quotes
It takes considerable knowledge just to realize the extent of your own ignorance.,https://www.brainyquote.com/quotes/thomas_sowell_371253?src=t_funny,Thomas Sowell,https://www.brainyquote.com/authors/thomas-sowell-quotes
"I always wanted to be somebody, but now I realize I should have been more specific.",https://www.brainyquote.com/quotes/lily_tomlin_109612?src=t_funny,Lily Tomlin,https://www.brainyquote.com/authors/lily-tomlin-quotes
Always remember that you are absolutely unique. Just like everyone else.,https://www.brainyquote.com/quotes/margaret_mead_141040?src=t_funny,Margaret Mead,https://www.brainyquote.com/authors/margaret-mead-quotes
"Get your facts first, then you can distort them as you please.",https://www.brainyquote.com/quotes/mark_twain_122862?src=t_funny,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Progress is man's ability to complicate simplicity.,https://www.brainyquote.com/quotes/thor_heyerdahl_104583?src=t_funny,Thor Heyerdahl,https://www.brainyquote.com/authors/thor-heyerdahl-quotes
What's another word for Thesaurus?,https://www.brainyquote.com/quotes/steven_wright_102067?src=t_funny,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
"Between two evils, I always pick the one I never tried before.",https://www.brainyquote.com/quotes/mae_west_130791?src=t_funny,Mae West,https://www.brainyquote.com/authors/mae-west-quotes
"I believe that if life gives you lemons, you should make lemonade... And try to find somebody whose life has given them vodka, and have a party.",https://www.brainyquote.com/quotes/ron_white_393779?src=t_funny,Ron White,https://www.brainyquote.com/authors/ron-white-quotes
"Happiness is having a large, loving, caring, close-knit family in another city.",https://www.brainyquote.com/quotes/george_burns_122473?src=t_funny,George Burns,https://www.brainyquote.com/authors/george-burns-quotes
We are all here on earth to help others; what on earth the others are here for I don't know.,https://www.brainyquote.com/quotes/w_h_auden_161273?src=t_funny,W. H. Auden,https://www.brainyquote.com/authors/w-h-auden-quotes
No man has a good enough memory to be a successful liar.,https://www.brainyquote.com/quotes/abraham_lincoln_105816?src=t_funny,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"If you could kick the person in the pants responsible for most of your trouble, you wouldn't sit for a month.",https://www.brainyquote.com/quotes/theodore_roosevelt_120663?src=t_funny,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
I love deadlines. I like the whooshing sound they make as they fly by.,https://www.brainyquote.com/quotes/douglas_adams_134151?src=t_funny,Douglas Adams,https://www.brainyquote.com/authors/douglas-adams-quotes
"Life is hard. After all, it kills you.",https://www.brainyquote.com/quotes/katharine_hepburn_163684?src=t_funny,Katharine Hepburn,https://www.brainyquote.com/authors/katharine-hepburn-quotes
