quote,quote_url,author,author_url
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",https://www.brainyquote.com/quotes/steve_jobs_416875?src=t_future,Steve Jobs,https://www.brainyquote.com/authors/steve-jobs-quotes
You cannot escape the responsibility of tomorrow by evading it today.,https://www.brainyquote.com/quotes/abraham_lincoln_101733?src=t_future,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
The secret of your future is hidden in your daily routine.,https://www.brainyquote.com/quotes/mike_murdock_185322?src=t_future,Mike Murdock,https://www.brainyquote.com/authors/mike-murdock-quotes
It is not in the stars to hold our destiny but in ourselves.,https://www.brainyquote.com/quotes/william_shakespeare_101458?src=t_future,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
A person often meets his destiny on the road he took to avoid it.,https://www.brainyquote.com/quotes/jean_de_la_fontaine_107696?src=t_future,Jean de La Fontaine,https://www.brainyquote.com/authors/jean-de-la-fontaine-quotes
The future rewards those who press on. I don't have time to feel sorry for myself. I don't have time to complain. I'm going to press on.,https://www.brainyquote.com/quotes/barack_obama_416597?src=t_future,Barack Obama,https://www.brainyquote.com/authors/barack-obama-quotes
"Prediction is very difficult, especially if it's about the future.",https://www.brainyquote.com/quotes/niels_bohr_130288?src=t_future,Niels Bohr,https://www.brainyquote.com/authors/niels-bohr-quotes
The youth is the hope of our future.,https://www.brainyquote.com/quotes/jose_rizal_244773?src=t_future,Jose Rizal,https://www.brainyquote.com/authors/jose-rizal-quotes
"Fear not for the future, weep not for the past.",https://www.brainyquote.com/quotes/percy_bysshe_shelley_378919?src=t_future,Percy Bysshe Shelley,https://www.brainyquote.com/authors/percy-bysshe-shelley-quotes
"Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.",https://www.brainyquote.com/quotes/marcus_aurelius_138728?src=t_future,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
"I don't know what the future may hold, but I know who holds the future.",https://www.brainyquote.com/quotes/ralph_abernathy_143902?src=t_future,Ralph Abernathy,https://www.brainyquote.com/authors/ralph-abernathy-quotes
"Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.",https://www.brainyquote.com/quotes/william_jennings_bryan_389006?src=t_future,William Jennings Bryan,https://www.brainyquote.com/authors/william-jennings-bryan-quotes
"The future starts today, not tomorrow.",https://www.brainyquote.com/quotes/pope_john_paul_ii_178863?src=t_future,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
"If you think in terms of a year, plant a seed; if in terms of ten years, plant trees; if in terms of 100 years, teach the people.",https://www.brainyquote.com/quotes/confucius_391333?src=t_future,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"If we open a quarrel between past and present, we shall find that we have lost the future.",https://www.brainyquote.com/quotes/winston_churchill_136286?src=t_future,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future.",https://www.brainyquote.com/quotes/oscar_wilde_107108?src=t_future,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"Let the future tell the truth, and evaluate each one according to his work and accomplishments. The present is theirs; the future, for which I have really worked, is mine.",https://www.brainyquote.com/quotes/nikola_tesla_401271?src=t_future,Nikola Tesla,https://www.brainyquote.com/authors/nikola-tesla-quotes
Let us put our minds together and see what life we can make for our children.,https://www.brainyquote.com/quotes/sitting_bull_172388?src=t_future,Sitting Bull,https://www.brainyquote.com/authors/sitting-bull-quotes
"The reason people find it so hard to be happy is that they always see the past better than it was, the present worse than it is, and the future less resolved than it will be.",https://www.brainyquote.com/quotes/marcel_pagnol_402273?src=t_future,Marcel Pagnol,https://www.brainyquote.com/authors/marcel-pagnol-quotes
The future is always beginning now.,https://www.brainyquote.com/quotes/mark_strand_161774?src=t_future,Mark Strand,https://www.brainyquote.com/authors/mark-strand-quotes
I look to the future because that's where I'm going to spend the rest of my life.,https://www.brainyquote.com/quotes/george_burns_189717?src=t_future,George Burns,https://www.brainyquote.com/authors/george-burns-quotes
You can never plan the future by the past.,https://www.brainyquote.com/quotes/edmund_burke_161391?src=t_future,Edmund Burke,https://www.brainyquote.com/authors/edmund-burke-quotes
"The distinction between the past, present and future is only a stubbornly persistent illusion.",https://www.brainyquote.com/quotes/albert_einstein_148814?src=t_future,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
One faces the future with one's past.,https://www.brainyquote.com/quotes/pearl_s_buck_163264?src=t_future,Pearl S. Buck,https://www.brainyquote.com/authors/pearl-s-buck-quotes
Control your own destiny or someone else will.,https://www.brainyquote.com/quotes/jack_welch_379300?src=t_future,Jack Welch,https://www.brainyquote.com/authors/jack-welch-quotes
"I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.",https://www.brainyquote.com/quotes/alan_watts_106487?src=t_future,Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
