quote,quote_url,author,author_url
"If you have a garden and a library, you have everything you need.",https://www.brainyquote.com/quotes/marcus_tullius_cicero_104340?src=t_gardening,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
To see a world in a grain of sand and heaven in a wild flower Hold infinity in the palm of your hand and eternity in an hour.,https://www.brainyquote.com/quotes/william_blake_150124?src=t_gardening,William Blake,https://www.brainyquote.com/authors/william-blake-quotes
"Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine for the soul.",https://www.brainyquote.com/quotes/luther_burbank_277482?src=t_gardening,Luther Burbank,https://www.brainyquote.com/authors/luther-burbank-quotes
You can cut all the flowers but you cannot keep spring from coming.,https://www.brainyquote.com/quotes/pablo_neruda_381705?src=t_gardening,Pablo Neruda,https://www.brainyquote.com/authors/pablo-neruda-quotes
"The glory of gardening: hands in the dirt, head in the sun, heart with nature. To nurture a garden is to feed not just on the body, but the soul.",https://www.brainyquote.com/quotes/alfred_austin_169801?src=t_gardening,Alfred Austin,https://www.brainyquote.com/authors/alfred-austin-quotes
"Weeds are flowers too, once you get to know them.",https://www.brainyquote.com/quotes/a_a_milne_379491?src=t_gardening,A. A. Milne,https://www.brainyquote.com/authors/a-a-milne-quotes
Isn't it enough to see that a garden is beautiful without having to believe that there are fairies at the bottom of it too?,https://www.brainyquote.com/quotes/douglas_adams_107514?src=t_gardening,Douglas Adams,https://www.brainyquote.com/authors/douglas-adams-quotes
A garden requires patient labor and attention. Plants do not grow merely to satisfy ambitions or to fulfill good intentions. They thrive because someone expended effort on them.,https://www.brainyquote.com/quotes/liberty_hyde_bailey_198927?src=t_gardening,Liberty Hyde Bailey,https://www.brainyquote.com/authors/liberty-hyde-bailey-quotes
"I know that if odour were visible, as colour is, I'd see the summer garden in rainbow clouds.",https://www.brainyquote.com/quotes/robert_bridges_189551?src=t_gardening,Robert Bridges,https://www.brainyquote.com/authors/robert-bridges-quotes
It will never rain roses: when we want to have more roses we must plant more trees.,https://www.brainyquote.com/quotes/george_eliot_165195?src=t_gardening,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
"We must cultivate our own garden. When man was put in the garden of Eden he was put there so that he should work, which proves that man was not born to rest.",https://www.brainyquote.com/quotes/voltaire_402813?src=t_gardening,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
The best place to find God is in a garden. You can dig for him there.,https://www.brainyquote.com/quotes/george_bernard_shaw_161677?src=t_gardening,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
What is a weed? A plant whose virtues have never been discovered.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_122248?src=t_gardening,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
Won't you come into the garden? I would like my roses to see you.,https://www.brainyquote.com/quotes/richard_brinsley_sheridan_161822?src=t_gardening,Richard Brinsley Sheridan,https://www.brainyquote.com/authors/richard-brinsley-sheridan-quotes
"Remember that children, marriages, and flower gardens reflect the kind of care they get.",https://www.brainyquote.com/quotes/h_jackson_brown_jr_124522?src=t_gardening,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
The flower that smells the sweetest is shy and lowly.,https://www.brainyquote.com/quotes/william_wordsworth_147019?src=t_gardening,William Wordsworth,https://www.brainyquote.com/authors/william-wordsworth-quotes
"When the flower blooms, the bees come uninvited.",https://www.brainyquote.com/quotes/ramakrishna_378863?src=t_gardening,Ramakrishna,https://www.brainyquote.com/authors/ramakrishna-quotes
"In search of my mother's garden, I found my own.",https://www.brainyquote.com/quotes/alice_walker_107676?src=t_gardening,Alice Walker,https://www.brainyquote.com/authors/alice-walker-quotes
