quote,quote_url,author,author_url
Do not let your hearts be troubled. Trust in God; trust also in me.,https://www.brainyquote.com/quotes/jesus_christ_414651?src=t_god,Jesus Christ,https://www.brainyquote.com/authors/jesus-christ-quotes
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",https://www.brainyquote.com/quotes/abraham_lincoln_388944?src=t_god,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
Coincidence is God's way of remaining anonymous.,https://www.brainyquote.com/quotes/albert_einstein_574924?src=t_god,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"God has given us two hands, one to receive with and the other to give with.",https://www.brainyquote.com/quotes/billy_graham_150657?src=t_god,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
"Disappointment is inevitable. But to become discouraged, there's a choice I make. God would never discourage me. He would always point me to himself to trust him. Therefore, my discouragement is from Satan. As you go through the emotions that we have, hostility is not from God, bitterness, unforgiveness, all of these are attacks from Satan.",https://www.brainyquote.com/quotes/charles_stanley_451677?src=t_god,Charles Stanley,https://www.brainyquote.com/authors/charles-stanley-quotes
"My trust in God flows out of the experience of his loving me, day in and day out, whether the day is stormy or fair, whether I'm sick or in good health, whether I'm in a state of grace or disgrace. He comes to me where I live and loves me as I am.",https://www.brainyquote.com/quotes/brennan_manning_531779?src=t_god,Brennan Manning,https://www.brainyquote.com/authors/brennan-manning-quotes
Life is God's novel. Let him write it.,https://www.brainyquote.com/quotes/isaac_bashevis_singer_113196?src=t_god,Isaac Bashevis Singer,https://www.brainyquote.com/authors/isaac-bashevis-singer-quotes
"I just want to do God's will. And he's allowed me to go to the mountain. And I've looked over, and I've seen the promised land! I may not get there with you, but I want you to know tonight that we as a people will get to the promised land.",https://www.brainyquote.com/quotes/martin_luther_king_jr_162496?src=t_god,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"God has given you one face, and you make yourself another.",https://www.brainyquote.com/quotes/william_shakespeare_104271?src=t_god,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Some of God's greatest gifts are unanswered prayers.,https://www.brainyquote.com/quotes/garth_brooks_103798?src=t_god,Garth Brooks,https://www.brainyquote.com/authors/garth-brooks-quotes
Men must be governed by God or they will be ruled by tyrants.,https://www.brainyquote.com/quotes/william_penn_382962?src=t_god,William Penn,https://www.brainyquote.com/authors/william-penn-quotes
Every child comes with the message that God is not yet discouraged of man.,https://www.brainyquote.com/quotes/rabindranath_tagore_104535?src=t_god,Rabindranath Tagore,https://www.brainyquote.com/authors/rabindranath-tagore-quotes
"Never trust anyone completely but God. Love people, but put your full trust only in God.",https://www.brainyquote.com/quotes/lawrence_welk_313444?src=t_god,Lawrence Welk,https://www.brainyquote.com/authors/lawrence-welk-quotes
Every morning I wake up and thank God.,https://www.brainyquote.com/quotes/aaron_neville_216114?src=t_god,Aaron Neville,https://www.brainyquote.com/authors/aaron-neville-quotes
For prayer is nothing else than being on terms of friendship with God.,https://www.brainyquote.com/quotes/saint_teresa_of_avila_209866?src=t_god,Saint Teresa of Avila,https://www.brainyquote.com/authors/saint-teresa-of-avila-quotes
"We need to find God, and he cannot be found in noise and restlessness. God is the friend of silence. See how nature - trees, flowers, grass- grows in silence; see the stars, the moon and the sun, how they move in silence... We need silence to be able to touch souls.",https://www.brainyquote.com/quotes/mother_teresa_164357?src=t_god,Mother Teresa,https://www.brainyquote.com/authors/mother-teresa-quotes
"People see God every day, they just don't recognize him.",https://www.brainyquote.com/quotes/pearl_bailey_131758?src=t_god,Pearl Bailey,https://www.brainyquote.com/authors/pearl-bailey-quotes
"Not only does God play dice, but... he sometimes throws them where they cannot be seen.",https://www.brainyquote.com/quotes/stephen_hawking_131084?src=t_god,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
God meets daily needs daily. Not weekly or annually. He will give you what you need when it is needed.,https://www.brainyquote.com/quotes/max_lucado_543041?src=t_god,Max Lucado,https://www.brainyquote.com/authors/max-lucado-quotes
"God gave you a gift of 86,400 seconds today. Have you used one to say 'thank you?'",https://www.brainyquote.com/quotes/william_arthur_ward_105497?src=t_god,William Arthur Ward,https://www.brainyquote.com/authors/william-arthur-ward-quotes
God never ends anything on a negative; God always ends on a positive.,https://www.brainyquote.com/quotes/edwin_louis_cole_360089?src=t_god,Edwin Louis Cole,https://www.brainyquote.com/authors/edwin-louis-cole-quotes
Laughter is God's blessing.,https://www.brainyquote.com/quotes/joseph_prince_419754?src=t_god,Joseph Prince,https://www.brainyquote.com/authors/joseph-prince-quotes
One and God make a majority.,https://www.brainyquote.com/quotes/frederick_douglass_105354?src=t_god,Frederick Douglass,https://www.brainyquote.com/authors/frederick-douglass-quotes
"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.",https://www.brainyquote.com/quotes/anne_frank_133186?src=t_god,Anne Frank,https://www.brainyquote.com/authors/anne-frank-quotes
"Start living now. Stop saving the good china for that special occasion. Stop withholding your love until that special person materializes. Every day you are alive is a special occasion. Every minute, every breath, is a gift from God.",https://www.brainyquote.com/quotes/mary_manin_morrissey_121788?src=t_god,Mary Manin Morrissey,https://www.brainyquote.com/authors/mary-manin-morrissey-quotes
"While I know myself as a creation of God, I am also obligated to realize and remember that everyone else and everything else are also God's creation.",https://www.brainyquote.com/quotes/maya_angelou_167463?src=t_god,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
Heaven means to be one with God.,https://www.brainyquote.com/quotes/confucius_118200?src=t_god,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"I believe God is managing affairs and that He doesn't need any advice from me. With God in charge, I believe everything will work out for the best in the end. So what is there to worry about.",https://www.brainyquote.com/quotes/henry_ford_151866?src=t_god,Henry Ford,https://www.brainyquote.com/authors/henry-ford-quotes
God is the tangential point between zero and infinity.,https://www.brainyquote.com/quotes/alfred_jarry_105378?src=t_god,Alfred Jarry,https://www.brainyquote.com/authors/alfred-jarry-quotes
"Praise God, from whom all blessings flow! Praise Him, all creatures here below! Praise Him above, ye heavenly host! Praise Father, Son, and Holy Ghost!",https://www.brainyquote.com/quotes/thomas_ken_188917?src=t_god,Thomas Ken,https://www.brainyquote.com/authors/thomas-ken-quotes
"Young man, young man, your arm's too short to box with God.",https://www.brainyquote.com/quotes/james_weldon_johnson_105352?src=t_god,James Weldon Johnson,https://www.brainyquote.com/authors/james-weldon-johnson-quotes
God used beautiful mathematics in creating the world.,https://www.brainyquote.com/quotes/paul_dirac_279316?src=t_god,Paul Dirac,https://www.brainyquote.com/authors/paul-dirac-quotes
What God intended for you goes far beyond anything you can imagine.,https://www.brainyquote.com/quotes/oprah_winfrey_383598?src=t_god,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
"There is no place in my soul, no corner of my character, where God is not.",https://www.brainyquote.com/quotes/evelyn_underhill_345180?src=t_god,Evelyn Underhill,https://www.brainyquote.com/authors/evelyn-underhill-quotes
"God will not permit any troubles to come upon us, unless He has a specific plan by which great blessing can come out of the difficulty.",https://www.brainyquote.com/quotes/peter_marshall_158664?src=t_god,Peter Marshall,https://www.brainyquote.com/authors/peter-marshall-quotes
"I don't stand for the black man's side, I don' t stand for the white man's side. I stand for God's side.",https://www.brainyquote.com/quotes/bob_marley_167099?src=t_god,Bob Marley,https://www.brainyquote.com/authors/bob-marley-quotes
Trust in God - she will provide.,https://www.brainyquote.com/quotes/emmeline_pankhurst_379916?src=t_god,Emmeline Pankhurst,https://www.brainyquote.com/authors/emmeline-pankhurst-quotes
I sometimes think that God in creating man somewhat overestimated his ability.,https://www.brainyquote.com/quotes/oscar_wilde_105916?src=t_god,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"If God had wanted me otherwise, He would have created me otherwise.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_104289?src=t_god,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"God and Nature first made us what we are, and then out of our own created genius we make ourselves what we want to be. Follow always that great law. Let the sky and God be our limit and Eternity our measurement.",https://www.brainyquote.com/quotes/marcus_garvey_201968?src=t_god,Marcus Garvey,https://www.brainyquote.com/authors/marcus-garvey-quotes
God is bigger than people think.,https://www.brainyquote.com/quotes/jimmy_dean_412456?src=t_god,Jimmy Dean,https://www.brainyquote.com/authors/jimmy-dean-quotes
"God is a verb, not a noun.",https://www.brainyquote.com/quotes/r_buckminster_fuller_105372?src=t_god,R. Buckminster Fuller,https://www.brainyquote.com/authors/r-buckminster-fuller-quotes
"Where mercy, love, and pity dwell, there God is dwelling too.",https://www.brainyquote.com/quotes/william_blake_124614?src=t_god,William Blake,https://www.brainyquote.com/authors/william-blake-quotes
My walk on the moon lasted three days. My walk with God will last forever.,https://www.brainyquote.com/quotes/charles_duke_598255?src=t_god,Charles Duke,https://www.brainyquote.com/authors/charles-duke-quotes
"Your God is ever beside you - indeed, He is even within you.",https://www.brainyquote.com/quotes/alphonsus_liguori_358229?src=t_god,Alphonsus Liguori,https://www.brainyquote.com/authors/alphonsus-liguori-quotes
I think that anything that begins to give people a sense of their own worth and dignity is God.,https://www.brainyquote.com/quotes/john_shelby_spong_258073?src=t_god,John Shelby Spong,https://www.brainyquote.com/authors/john-shelby-spong-quotes
God has entrusted me with myself.,https://www.brainyquote.com/quotes/epictetus_107566?src=t_god,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
