quote,quote_url,author,author_url
The ultimate tragedy is not the oppression and cruelty by the bad people but the silence over that by the good people.,https://www.brainyquote.com/quotes/martin_luther_king_jr_390143?src=t_good,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
The only thing necessary for the triumph of evil is for good men to do nothing.,https://www.brainyquote.com/quotes/edmund_burke_377528?src=t_good,Edmund Burke,https://www.brainyquote.com/authors/edmund-burke-quotes
There is nothing either good or bad but thinking makes it so.,https://www.brainyquote.com/quotes/william_shakespeare_109527?src=t_good,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Don't be afraid to give up the good to go for the great.,https://www.brainyquote.com/quotes/john_d_rockefeller_119902?src=t_good,John D. Rockefeller,https://www.brainyquote.com/authors/john-d-rockefeller-quotes
"Goodness is about character - integrity, honesty, kindness, generosity, moral courage, and the like. More than anything else, it is about how we treat other people.",https://www.brainyquote.com/quotes/dennis_prager_471259?src=t_good,Dennis Prager,https://www.brainyquote.com/authors/dennis-prager-quotes
"Despite everything, I believe that people are really good at heart.",https://www.brainyquote.com/quotes/anne_frank_109060?src=t_good,Anne Frank,https://www.brainyquote.com/authors/anne-frank-quotes
"Good judgment comes from experience, and a lot of that comes from bad judgment.",https://www.brainyquote.com/quotes/will_rogers_411692?src=t_good,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
"Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws.",https://www.brainyquote.com/quotes/plato_161536?src=t_good,Plato,https://www.brainyquote.com/authors/plato-quotes
"If you can't make it good, at least make it look good.",https://www.brainyquote.com/quotes/bill_gates_382270?src=t_good,Bill Gates,https://www.brainyquote.com/authors/bill-gates-quotes
"When I'm good, I'm very good. But when I'm bad I'm better.",https://www.brainyquote.com/quotes/mae_west_137976?src=t_good,Mae West,https://www.brainyquote.com/authors/mae-west-quotes
The true measure of a man is how he treats someone who can do him absolutely no good.,https://www.brainyquote.com/quotes/samuel_johnson_103605?src=t_good,Samuel Johnson,https://www.brainyquote.com/authors/samuel-johnson-quotes
The fragrance of flowers spreads only in the direction of the wind. But the goodness of a person spreads in all directions.,https://www.brainyquote.com/quotes/chanakya_201071?src=t_good,Chanakya,https://www.brainyquote.com/authors/chanakya-quotes
"The more we come out and do good to others, the more our hearts will be purified, and God will be in them.",https://www.brainyquote.com/quotes/swami_vivekananda_381889?src=t_good,Swami Vivekananda,https://www.brainyquote.com/authors/swami-vivekananda-quotes
Every man is guilty of all the good he did not do.,https://www.brainyquote.com/quotes/voltaire_132939?src=t_good,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
"But I say to you, Love your enemies and pray for those who persecute you, so that you may be sons of your Father who is in heaven; for he makes his sun rise on the evil and on the good, and sends rain on the just and on the unjust.",https://www.brainyquote.com/quotes/jesus_christ_425192?src=t_good,Jesus Christ,https://www.brainyquote.com/authors/jesus-christ-quotes
A good beginning makes a good end.,https://www.brainyquote.com/quotes/louis_lamour_162932?src=t_good,Louis L'Amour,https://www.brainyquote.com/authors/louis-lamour-quotes
"It takes many good deeds to build a good reputation, and only one bad one to lose it.",https://www.brainyquote.com/quotes/benjamin_franklin_385547?src=t_good,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"Be sweet, be good, and honest always.",https://www.brainyquote.com/quotes/emma_bunton_129498?src=t_good,Emma Bunton,https://www.brainyquote.com/authors/emma-bunton-quotes
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.",https://www.brainyquote.com/quotes/albert_einstein_109022?src=t_good,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
Goodness is the only investment that never fails.,https://www.brainyquote.com/quotes/henry_david_thoreau_106122?src=t_good,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
