quote,quote_url,author,author_url
Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.,https://www.brainyquote.com/quotes/john_adams_391045?src=t_government,John Adams,https://www.brainyquote.com/authors/john-adams-quotes
The most terrifying words in the English language are: I'm from the government and I'm here to help.,https://www.brainyquote.com/quotes/ronald_reagan_128358?src=t_government,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
The best argument against democracy is a five-minute conversation with the average voter.,https://www.brainyquote.com/quotes/winston_churchill_105424?src=t_government,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
A government big enough to give you everything you want is a government big enough to take from you everything you have.,https://www.brainyquote.com/quotes/gerald_r_ford_113300?src=t_government,Gerald R. Ford,https://www.brainyquote.com/authors/gerald-r-ford-quotes
The problem with socialism is that you eventually run out of other peoples' money.,https://www.brainyquote.com/quotes/margaret_thatcher_502392?src=t_government,Margaret Thatcher,https://www.brainyquote.com/authors/margaret-thatcher-quotes
"We are fast approaching the stage of the ultimate inversion: the stage where the government is free to do anything it pleases, while the citizens may act only by permission; which is the stage of the darkest periods of human history, the stage of rule by brute force.",https://www.brainyquote.com/quotes/ayn_rand_136316?src=t_government,Ayn Rand,https://www.brainyquote.com/authors/ayn-rand-quotes
"If men were angels, no government would be necessary.",https://www.brainyquote.com/quotes/james_madison_105473?src=t_government,James Madison,https://www.brainyquote.com/authors/james-madison-quotes
How can anyone govern a nation that has two hundred and forty-six different kinds of cheese?,https://www.brainyquote.com/quotes/charles_de_gaulle_398023?src=t_government,Charles de Gaulle,https://www.brainyquote.com/authors/charles-de-gaulle-quotes
Nationalism is an infantile disease. It is the measles of mankind.,https://www.brainyquote.com/quotes/albert_einstein_107012?src=t_government,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"Government, even in its best state, is but a necessary evil; in its worst state, an intolerable one.",https://www.brainyquote.com/quotes/thomas_paine_100996?src=t_government,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
"Corruption is the enemy of development, and of good governance. It must be got rid of. Both the government and the people at large must come together to achieve this national objective.",https://www.brainyquote.com/quotes/pratibha_patil_506695?src=t_government,Pratibha Patil,https://www.brainyquote.com/authors/pratibha-patil-quotes
Giving money and power to government is like giving whiskey and car keys to teenage boys.,https://www.brainyquote.com/quotes/p_j_orourke_105432?src=t_government,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
I'd rather entrust the government of the United States to the first 400 people listed in the Boston telephone directory than to the faculty of Harvard University.,https://www.brainyquote.com/quotes/william_f_buckley_jr_400600?src=t_government,"William F. Buckley, Jr.",https://www.brainyquote.com/authors/william-f-buckley-jr-quotes
