quote,quote_url,author,author_url
"God will not look you over for medals degrees or diplomas, but for scars.",https://www.brainyquote.com/quotes/elbert_hubbard_384301?src=t_graduation,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
"The essence of Government is power; and power, lodged as it must be in human hands, will ever be liable to abuse.",https://www.brainyquote.com/quotes/james_madison_122668?src=t_graduation,James Madison,https://www.brainyquote.com/authors/james-madison-quotes
The doer alone learneth.,https://www.brainyquote.com/quotes/friedrich_nietzsche_126022?src=t_graduation,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"Some people drink from the fountain of knowledge, others just gargle.",https://www.brainyquote.com/quotes/robert_anthony_125911?src=t_graduation,Robert Anthony,https://www.brainyquote.com/authors/robert-anthony-quotes
You are educated. Your certification is in your degree. You may think of it as the ticket to the good life. Let me ask you to think of an alternative. Think of it as your ticket to change the world.,https://www.brainyquote.com/quotes/tom_brokaw_108699?src=t_graduation,Tom Brokaw,https://www.brainyquote.com/authors/tom-brokaw-quotes
We don't stop going to school when we graduate.,https://www.brainyquote.com/quotes/carol_burnett_371195?src=t_graduation,Carol Burnett,https://www.brainyquote.com/authors/carol-burnett-quotes
All real education is the architecture of the soul.,https://www.brainyquote.com/quotes/william_bennett_190727?src=t_graduation,William Bennett,https://www.brainyquote.com/authors/william-bennett-quotes
"God wants us to know that life is a series of beginnings, not endings. Just as graduations are not terminations, but commencements. Creation is an ongoing process, and when we create a perfect world where love and compassion are shared by all, suffering will cease.",https://www.brainyquote.com/quotes/bernie_siegel_607619?src=t_graduation,Bernie Siegel,https://www.brainyquote.com/authors/bernie-siegel-quotes
It might be said now that I have the best of both worlds. A Harvard education and a Yale degree.,https://www.brainyquote.com/quotes/john_f_kennedy_114944?src=t_graduation,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
Being considerate of others will take your children further in life than any college degree.,https://www.brainyquote.com/quotes/marian_wright_edelman_149164?src=t_graduation,Marian Wright Edelman,https://www.brainyquote.com/authors/marian-wright-edelman-quotes
A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that 'individuality' is the key to success.,https://www.brainyquote.com/quotes/robert_orben_108692?src=t_graduation,Robert Orben,https://www.brainyquote.com/authors/robert-orben-quotes
"I learned law so well, the day I graduated I sued the college, won the case, and got my tuition back.",https://www.brainyquote.com/quotes/fred_allen_108194?src=t_graduation,Fred Allen,https://www.brainyquote.com/authors/fred-allen-quotes
For good nurture and education implant good constitutions.,https://www.brainyquote.com/quotes/plato_402978?src=t_graduation,Plato,https://www.brainyquote.com/authors/plato-quotes
"It makes little difference how many university courses or degrees a person may own. If he cannot use words to move an idea from one point to another, his education is incomplete.",https://www.brainyquote.com/quotes/norman_cousins_402258?src=t_graduation,Norman Cousins,https://www.brainyquote.com/authors/norman-cousins-quotes
Commencement speeches were invented largely in the belief that outgoing college students should never be released into the world until they have been properly sedated.,https://www.brainyquote.com/quotes/garry_trudeau_177981?src=t_graduation,Garry Trudeau,https://www.brainyquote.com/authors/garry-trudeau-quotes
"You are graduating from college. That means that this is the first day of the last day of your life. No, that's wrong. This is the last day of the first day of school. Nope, that's worse. This is a day.",https://www.brainyquote.com/quotes/andy_samberg_426597?src=t_graduation,Andy Samberg,https://www.brainyquote.com/authors/andy-samberg-quotes
"Really, the potential for, first of all, any college graduate today is enormously good. These are good times for anyone with a college degree today, particularly African Americans. With a college degree today, you really breach the unemployment rate.",https://www.brainyquote.com/quotes/alexis_herman_212930?src=t_graduation,Alexis Herman,https://www.brainyquote.com/authors/alexis-herman-quotes
I'm not impressed by someone's degree... I'm impressed by them making movies.,https://www.brainyquote.com/quotes/richard_king_218076?src=t_graduation,Richard King,https://www.brainyquote.com/authors/richard-king-quotes
This man used to go to school with his dog. Then they were separated. His dog graduated!,https://www.brainyquote.com/quotes/henny_youngman_406016?src=t_graduation,Henny Youngman,https://www.brainyquote.com/authors/henny-youngman-quotes
Never go to your high school reunion pregnant or they will think that is all you have done since you graduated.,https://www.brainyquote.com/quotes/erma_bombeck_136536?src=t_graduation,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
