quote,quote_url,author,author_url
"Some are born great, some achieve greatness, and some have greatness thrust upon them.",https://www.brainyquote.com/quotes/william_shakespeare_101484?src=t_great,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Great minds discuss ideas; average minds discuss events; small minds discuss people.,https://www.brainyquote.com/quotes/eleanor_roosevelt_385439?src=t_great,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
Great things are done by a series of small things brought together.,https://www.brainyquote.com/quotes/vincent_van_gogh_120866?src=t_great,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_387459?src=t_great,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
"If you cannot do great things, do small things in a great way.",https://www.brainyquote.com/quotes/napoleon_hill_152848?src=t_great,Napoleon Hill,https://www.brainyquote.com/authors/napoleon-hill-quotes
"Lives of great men all remind us, we can make our lives sublime, and, departing, leave behind us, footprints on the sands of time.",https://www.brainyquote.com/quotes/henry_wadsworth_longfello_124600?src=t_great,Henry Wadsworth Longfellow,https://www.brainyquote.com/authors/henry-wadsworth-longfello-quotes
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.",https://www.brainyquote.com/quotes/vince_lombardi_151240?src=t_great,Vince Lombardi,https://www.brainyquote.com/authors/vince-lombardi-quotes
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,https://www.brainyquote.com/quotes/william_arthur_ward_103463?src=t_great,William Arthur Ward,https://www.brainyquote.com/authors/william-arthur-ward-quotes
The greatness of a nation can be judged by the way its animals are treated.,https://www.brainyquote.com/quotes/mahatma_gandhi_150700?src=t_great,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.",https://www.brainyquote.com/quotes/winston_churchill_156910?src=t_great,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"After climbing a great hill, one only finds that there are many more hills to climb.",https://www.brainyquote.com/quotes/nelson_mandela_178785?src=t_great,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
We are all faced with a series of great opportunities brilliantly disguised as impossible situations.,https://www.brainyquote.com/quotes/charles_r_swindoll_389215?src=t_great,Charles R. Swindoll,https://www.brainyquote.com/authors/charles-r-swindoll-quotes
Nothing great in the world has ever been accomplished without passion.,https://www.brainyquote.com/quotes/georg_wilhelm_friedrich_h_101479?src=t_great,Georg Wilhelm Friedrich Hegel,https://www.brainyquote.com/authors/georg-wilhelm-friedrich-h-quotes
Behind every great fortune lies a great crime.,https://www.brainyquote.com/quotes/honore_de_balzac_197735?src=t_great,Honore de Balzac,https://www.brainyquote.com/authors/honore-de-balzac-quotes
"To achieve great things, two things are needed; a plan, and not quite enough time.",https://www.brainyquote.com/quotes/leonard_bernstein_140536?src=t_great,Leonard Bernstein,https://www.brainyquote.com/authors/leonard-bernstein-quotes
Great spirits have always encountered violent opposition from mediocre minds.,https://www.brainyquote.com/quotes/albert_einstein_129798?src=t_great,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"I am the greatest, I said that even before I knew I was.",https://www.brainyquote.com/quotes/muhammad_ali_148626?src=t_great,Muhammad Ali,https://www.brainyquote.com/authors/muhammad-ali-quotes
"The greater the obstacle, the more glory in overcoming it.",https://www.brainyquote.com/quotes/moliere_382611?src=t_great,Moliere,https://www.brainyquote.com/authors/moliere-quotes
"To become truly great, one has to stand with people, not above them.",https://www.brainyquote.com/quotes/montesquieu_383787?src=t_great,Montesquieu,https://www.brainyquote.com/authors/montesquieu-quotes
"You are your greatest asset. Put your time, effort and money into training, grooming, and encouraging your greatest asset.",https://www.brainyquote.com/quotes/tom_hopkins_388982?src=t_great,Tom Hopkins,https://www.brainyquote.com/authors/tom-hopkins-quotes
The greatest weapon against stress is our ability to choose one thought over another.,https://www.brainyquote.com/quotes/william_james_385478?src=t_great,William James,https://www.brainyquote.com/authors/william-james-quotes
It is a rough road that leads to the heights of greatness.,https://www.brainyquote.com/quotes/lucius_annaeus_seneca_125252?src=t_great,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
The greatest discovery of all time is that a person can change his future by merely changing his attitude.,https://www.brainyquote.com/quotes/oprah_winfrey_387162?src=t_great,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
Good health and good sense are two of life's greatest blessings.,https://www.brainyquote.com/quotes/publilius_syrus_391791?src=t_great,Publilius Syrus,https://www.brainyquote.com/authors/publilius-syrus-quotes
Those who dare to fail miserably can achieve greatly.,https://www.brainyquote.com/quotes/john_f_kennedy_121367?src=t_great,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.",https://www.brainyquote.com/quotes/helen_keller_114884?src=t_great,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
A man's worth is no greater than his ambitions.,https://www.brainyquote.com/quotes/marcus_aurelius_162721?src=t_great,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
The greatest mistake you can make in life is continually fearing that you'll make one.,https://www.brainyquote.com/quotes/elbert_hubbard_134870?src=t_great,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile.,https://www.brainyquote.com/quotes/plato_108514?src=t_great,Plato,https://www.brainyquote.com/authors/plato-quotes
