quote,quote_url,author,author_url
It is no measure of health to be well adjusted to a profoundly sick society.,https://www.brainyquote.com/quotes/jiddu_krishnamurti_107856?src=t_health,Jiddu Krishnamurti,https://www.brainyquote.com/authors/jiddu-krishnamurti-quotes
"When wealth is lost, nothing is lost; when health is lost, something is lost; when character is lost, all is lost.",https://www.brainyquote.com/quotes/billy_graham_161989?src=t_health,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
The first wealth is health.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_105704?src=t_health,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
"He who has health, has hope; and he who has hope, has everything.",https://www.brainyquote.com/quotes/thomas_carlyle_118220?src=t_health,Thomas Carlyle,https://www.brainyquote.com/authors/thomas-carlyle-quotes
"Early to bed and early to rise makes a man healthy, wealthy and wise.",https://www.brainyquote.com/quotes/benjamin_franklin_564198?src=t_health,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
It is health that is real wealth and not pieces of gold and silver.,https://www.brainyquote.com/quotes/mahatma_gandhi_109078?src=t_health,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
A healthy outside starts from the inside.,https://www.brainyquote.com/quotes/robert_urich_205053?src=t_health,Robert Urich,https://www.brainyquote.com/authors/robert-urich-quotes
"Good health is not something we can buy. However, it can be an extremely valuable savings account.",https://www.brainyquote.com/quotes/anne_wilson_schaef_169948?src=t_health,Anne Wilson Schaef,https://www.brainyquote.com/authors/anne-wilson-schaef-quotes
Health is not valued till sickness comes.,https://www.brainyquote.com/quotes/thomas_fuller_380713?src=t_health,Thomas Fuller,https://www.brainyquote.com/authors/thomas-fuller-quotes
I believe that the greatest gift you can give your family and the world is a healthy you.,https://www.brainyquote.com/quotes/joyce_meyer_567639?src=t_health,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
"Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul.",https://www.brainyquote.com/quotes/john_muir_104245?src=t_health,John Muir,https://www.brainyquote.com/authors/john-muir-quotes
"Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management, which is perhaps the most important ingredient to living a happy, healthy and rewarding life.",https://www.brainyquote.com/quotes/marilu_henner_255189?src=t_health,Marilu Henner,https://www.brainyquote.com/authors/marilu-henner-quotes
There's nothing more important than our good health - that's our principal capital asset.,https://www.brainyquote.com/quotes/arlen_specter_462442?src=t_health,Arlen Specter,https://www.brainyquote.com/authors/arlen-specter-quotes
Your body hears everything your mind says.,https://www.brainyquote.com/quotes/naomi_judd_170356?src=t_health,Naomi Judd,https://www.brainyquote.com/authors/naomi-judd-quotes
"You know, all that really matters is that the people you love are happy and healthy. Everything else is just sprinkles on the sundae.",https://www.brainyquote.com/quotes/paul_walker_185136?src=t_health,Paul Walker,https://www.brainyquote.com/authors/paul-walker-quotes
"My personal goals are to be happy, healthy and to be surrounded by loved ones.",https://www.brainyquote.com/quotes/kiana_tom_296915?src=t_health,Kiana Tom,https://www.brainyquote.com/authors/kiana-tom-quotes
"Rest when you're weary. Refresh and renew yourself, your body, your mind, your spirit. Then get back to work.",https://www.brainyquote.com/quotes/ralph_marston_132647?src=t_health,Ralph Marston,https://www.brainyquote.com/authors/ralph-marston-quotes
Sleep is that golden chain that ties health and our bodies together.,https://www.brainyquote.com/quotes/thomas_dekker_204715?src=t_health,Thomas Dekker,https://www.brainyquote.com/authors/thomas-dekker-quotes
"A wise man should consider that health is the greatest of human blessings, and learn how by his own thought to derive benefit from his illnesses.",https://www.brainyquote.com/quotes/hippocrates_398538?src=t_health,Hippocrates,https://www.brainyquote.com/authors/hippocrates-quotes
The healthy man does not torture others - generally it is the tortured who turn into torturers.,https://www.brainyquote.com/quotes/carl_jung_165965?src=t_health,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,https://www.brainyquote.com/quotes/tom_stoppard_120728?src=t_health,Tom Stoppard,https://www.brainyquote.com/authors/tom-stoppard-quotes
"I know a man who gave up smoking, drinking, sex, and rich food. He was healthy right up to the day he killed himself.",https://www.brainyquote.com/quotes/johnny_carson_128070?src=t_health,Johnny Carson,https://www.brainyquote.com/authors/johnny-carson-quotes
