quote,quote_url,author,author_url
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",https://www.brainyquote.com/quotes/desmond_tutu_106145?src=t_history,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
"Our greatest glory is not in never falling, but in rising every time we fall.",https://www.brainyquote.com/quotes/confucius_101164?src=t_history,Confucius,https://www.brainyquote.com/authors/confucius-quotes
We are not makers of history. We are made by history.,https://www.brainyquote.com/quotes/martin_luther_king_jr_115052?src=t_history,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Those who do not remember the past are condemned to repeat it.,https://www.brainyquote.com/quotes/george_santayana_101521?src=t_history,George Santayana,https://www.brainyquote.com/authors/george-santayana-quotes
I like the dreams of the future better than the history of the past.,https://www.brainyquote.com/quotes/thomas_jefferson_129997?src=t_history,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
History is a set of lies agreed upon.,https://www.brainyquote.com/quotes/napoleon_bonaparte_161968?src=t_history,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"Following the light of the sun, we left the Old World.",https://www.brainyquote.com/quotes/christopher_columbus_100795?src=t_history,Christopher Columbus,https://www.brainyquote.com/authors/christopher-columbus-quotes
People are trapped in history and history is trapped in them.,https://www.brainyquote.com/quotes/james_baldwin_105734?src=t_history,James Baldwin,https://www.brainyquote.com/authors/james-baldwin-quotes
History will be kind to me for I intend to write it.,https://www.brainyquote.com/quotes/winston_churchill_161247?src=t_history,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
History is not a burden on the memory but an illumination of the soul.,https://www.brainyquote.com/quotes/john_dalbergacton_409906?src=t_history,John Dalberg-Acton,https://www.brainyquote.com/authors/john-dalberg-acton-quotes
"History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again.",https://www.brainyquote.com/quotes/maya_angelou_387255?src=t_history,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
That men do not learn very much from the lessons of history is the most important of all the lessons of history.,https://www.brainyquote.com/quotes/aldous_huxley_163193?src=t_history,Aldous Huxley,https://www.brainyquote.com/authors/aldous-huxley-quotes
The test of our progress is not whether we add more to the abundance of those who have much it is whether we provide enough for those who have little.,https://www.brainyquote.com/quotes/franklin_d_roosevelt_163168?src=t_history,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
"I came, I saw, I conquered.",https://www.brainyquote.com/quotes/julius_caesar_125995?src=t_history,Julius Caesar,https://www.brainyquote.com/authors/julius-caesar-quotes
There are no extraordinary men... just extraordinary circumstances that ordinary men are forced to deal with.,https://www.brainyquote.com/quotes/william_halsey_126229?src=t_history,William Halsey,https://www.brainyquote.com/authors/william-halsey-quotes
"Never, never and never again shall it be that this beautiful land will again experience the oppression of one by another.",https://www.brainyquote.com/quotes/nelson_mandela_178793?src=t_history,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
