quote,quote_url,author,author_url
"Home is the place where, when you have to go there, they have to take you in.",https://www.brainyquote.com/quotes/robert_frost_100246?src=t_home,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"Have nothing in your house that you do not know to be useful, or believe to be beautiful.",https://www.brainyquote.com/quotes/william_morris_158643?src=t_home,William Morris,https://www.brainyquote.com/authors/william-morris-quotes
"The ache for home lives in all of us, the safe place where we can go as we are and not be questioned.",https://www.brainyquote.com/quotes/maya_angelou_386838?src=t_home,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
My home is in Heaven. I'm just traveling through this world.,https://www.brainyquote.com/quotes/billy_graham_382921?src=t_home,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
"Where we love is home - home that our feet may leave, but not our hearts.",https://www.brainyquote.com/quotes/oliver_wendell_holmes_sr_108718?src=t_home,"Oliver Wendell Holmes, Sr.",https://www.brainyquote.com/authors/oliver-wendell-holmes-sr-quotes
Home is where the heart is.,https://www.brainyquote.com/quotes/pliny_the_elder_142267?src=t_home,Pliny the Elder,https://www.brainyquote.com/authors/pliny-the-elder-quotes
"Never make your home in a place. Make a home for yourself inside your own head. You'll find what you need to furnish it - memory, friends you can trust, love of learning, and other such things. That way it will go with you wherever you journey.",https://www.brainyquote.com/quotes/tad_williams_161941?src=t_home,Tad Williams,https://www.brainyquote.com/authors/tad-williams-quotes
Home is the nicest word there is.,https://www.brainyquote.com/quotes/laura_ingalls_wilder_320585?src=t_home,Laura Ingalls Wilder,https://www.brainyquote.com/authors/laura-ingalls-wilder-quotes
Owning a home is a keystone of wealth - both financial affluence and emotional security.,https://www.brainyquote.com/quotes/suze_orman_173483?src=t_home,Suze Orman,https://www.brainyquote.com/authors/suze-orman-quotes
"He is happiest, be he king or peasant, who finds peace in his home.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_101508?src=t_home,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
The strength of a nation derives from the integrity of the home.,https://www.brainyquote.com/quotes/confucius_134943?src=t_home,Confucius,https://www.brainyquote.com/authors/confucius-quotes
A home without books is a body without soul.,https://www.brainyquote.com/quotes/marcus_tullius_cicero_379109?src=t_home,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
There is nothing like staying at home for real comfort.,https://www.brainyquote.com/quotes/jane_austen_163803?src=t_home,Jane Austen,https://www.brainyquote.com/authors/jane-austen-quotes
Home is where you feel at home and are treated well.,https://www.brainyquote.com/quotes/dalai_lama_446755?src=t_home,Dalai Lama,https://www.brainyquote.com/authors/dalai-lama-quotes
Home is any four walls that enclose the right person.,https://www.brainyquote.com/quotes/helen_rowland_133034?src=t_home,Helen Rowland,https://www.brainyquote.com/authors/helen-rowland-quotes
