quote,quote_url,author,author_url
A day without laughter is a day wasted.,https://www.brainyquote.com/quotes/charlie_chaplin_108932?src=t_humor,Charlie Chaplin,https://www.brainyquote.com/authors/charlie-chaplin-quotes
Everywhere is within walking distance if you have the time.,https://www.brainyquote.com/quotes/steven_wright_128152?src=t_humor,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
"There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.",https://www.brainyquote.com/quotes/erma_bombeck_133166?src=t_humor,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
Start every day off with a smile and get it over with.,https://www.brainyquote.com/quotes/w_c_fields_100240?src=t_humor,W. C. Fields,https://www.brainyquote.com/authors/w-c-fields-quotes
Imagination was given to man to compensate him for what he is not; a sense of humor to console him for what he is.,https://www.brainyquote.com/quotes/francis_bacon_161730?src=t_humor,Francis Bacon,https://www.brainyquote.com/authors/francis-bacon-quotes
Analyzing humor is like dissecting a frog. Few people are interested and the frog dies of it.,https://www.brainyquote.com/quotes/e_b_white_100291?src=t_humor,E. B. White,https://www.brainyquote.com/authors/e-b-white-quotes
A sense of humor... is needed armor. Joy in one's heart and some laughter on one's lips is a sign that the person down deep has a pretty good grasp of life.,https://www.brainyquote.com/quotes/hugh_sidey_105964?src=t_humor,Hugh Sidey,https://www.brainyquote.com/authors/hugh-sidey-quotes
Everything human is pathetic. The secret source of humor itself is not joy but sorrow. There is no humor in heaven.,https://www.brainyquote.com/quotes/mark_twain_131333?src=t_humor,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
The most wasted of all days is one without laughter.,https://www.brainyquote.com/quotes/e_e_cummings_161271?src=t_humor,e. e. cummings,https://www.brainyquote.com/authors/e-e-cummings-quotes
A person without a sense of humor is like a wagon without springs. It's jolted by every pebble on the road.,https://www.brainyquote.com/quotes/henry_ward_beecher_161732?src=t_humor,Henry Ward Beecher,https://www.brainyquote.com/authors/henry-ward-beecher-quotes
Laughter is an instant vacation.,https://www.brainyquote.com/quotes/milton_berle_106353?src=t_humor,Milton Berle,https://www.brainyquote.com/authors/milton-berle-quotes
Laughter is the closest distance between two people.,https://www.brainyquote.com/quotes/victor_borge_100429?src=t_humor,Victor Borge,https://www.brainyquote.com/authors/victor-borge-quotes
Humor is emotional chaos remembered in tranquility.,https://www.brainyquote.com/quotes/james_thurber_102256?src=t_humor,James Thurber,https://www.brainyquote.com/authors/james-thurber-quotes
"Common sense and a sense of humor are the same thing, moving at different speeds. A sense of humor is just common sense, dancing.",https://www.brainyquote.com/quotes/clive_james_105952?src=t_humor,Clive James,https://www.brainyquote.com/authors/clive-james-quotes
Comedy is simply a funny way of being serious.,https://www.brainyquote.com/quotes/peter_ustinov_161731?src=t_humor,Peter Ustinov,https://www.brainyquote.com/authors/peter-ustinov-quotes
"Everything is funny, as long as it's happening to somebody else.",https://www.brainyquote.com/quotes/will_rogers_164648?src=t_humor,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
