quote,quote_url,author,author_url
Reality leaves a lot to the imagination.,https://www.brainyquote.com/quotes/john_lennon_107487?src=t_imagination,John Lennon,https://www.brainyquote.com/authors/john-lennon-quotes
Logic will get you from A to B. Imagination will take you everywhere.,https://www.brainyquote.com/quotes/albert_einstein_121643?src=t_imagination,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
I saw the angel in the marble and carved until I set him free.,https://www.brainyquote.com/quotes/michelangelo_161309?src=t_imagination,Michelangelo,https://www.brainyquote.com/authors/michelangelo-quotes
You're only given a little spark of madness. You mustn't lose it.,https://www.brainyquote.com/quotes/robin_williams_383381?src=t_imagination,Robin Williams,https://www.brainyquote.com/authors/robin-williams-quotes
"If you want a vision of the future, imagine a boot stamping on a human face - forever.",https://www.brainyquote.com/quotes/george_orwell_159438?src=t_imagination,George Orwell,https://www.brainyquote.com/authors/george-orwell-quotes
"If you can imagine it, you can achieve it. If you can dream it, you can become it.",https://www.brainyquote.com/quotes/william_arthur_ward_110017?src=t_imagination,William Arthur Ward,https://www.brainyquote.com/authors/william-arthur-ward-quotes
You can't depend on your eyes when your imagination is out of focus.,https://www.brainyquote.com/quotes/mark_twain_131203?src=t_imagination,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"Imagination is the beginning of creation. You imagine what you desire, you will what you imagine and at last you create what you will.",https://www.brainyquote.com/quotes/george_bernard_shaw_113045?src=t_imagination,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
The man who has no imagination has no wings.,https://www.brainyquote.com/quotes/muhammad_ali_163702?src=t_imagination,Muhammad Ali,https://www.brainyquote.com/authors/muhammad-ali-quotes
Men are mortal. So are ideas. An idea needs propagation as much as a plant needs watering. Otherwise both will wither and die.,https://www.brainyquote.com/quotes/b_r_ambedkar_389066?src=t_imagination,B. R. Ambedkar,https://www.brainyquote.com/authors/b-r-ambedkar-quotes
Everything you can imagine is real.,https://www.brainyquote.com/quotes/pablo_picasso_107497?src=t_imagination,Pablo Picasso,https://www.brainyquote.com/authors/pablo-picasso-quotes
The world of reality has its limits; the world of imagination is boundless.,https://www.brainyquote.com/quotes/jeanjacques_rousseau_121644?src=t_imagination,Jean-Jacques Rousseau,https://www.brainyquote.com/authors/jean-jacques-rousseau-quotes
Imagination creates reality.,https://www.brainyquote.com/quotes/richard_wagner_211706?src=t_imagination,Richard Wagner,https://www.brainyquote.com/authors/richard-wagner-quotes
"Visualize this thing that you want, see it, feel it, believe in it. Make your mental blue print, and begin to build.",https://www.brainyquote.com/quotes/robert_collier_391608?src=t_imagination,Robert Collier,https://www.brainyquote.com/authors/robert-collier-quotes
There are no rules of architecture for a castle in the clouds.,https://www.brainyquote.com/quotes/gilbert_k_chesterton_106034?src=t_imagination,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
Imagination will often carry us to worlds that never were. But without it we go nowhere.,https://www.brainyquote.com/quotes/carl_sagan_131315?src=t_imagination,Carl Sagan,https://www.brainyquote.com/authors/carl-sagan-quotes
They who dream by day are cognizant of many things which escape those who dream only by night.,https://www.brainyquote.com/quotes/edgar_allan_poe_162039?src=t_imagination,Edgar Allan Poe,https://www.brainyquote.com/authors/edgar-allan-poe-quotes
"Happiness is not an ideal of reason, but of imagination.",https://www.brainyquote.com/quotes/immanuel_kant_105554?src=t_imagination,Immanuel Kant,https://www.brainyquote.com/authors/immanuel-kant-quotes
Imagination rules the world.,https://www.brainyquote.com/quotes/napoleon_bonaparte_150185?src=t_imagination,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
You can't do it unless you can imagine it.,https://www.brainyquote.com/quotes/george_lucas_462204?src=t_imagination,George Lucas,https://www.brainyquote.com/authors/george-lucas-quotes
I have always imagined that Paradise will be a kind of library.,https://www.brainyquote.com/quotes/jorge_luis_borges_121053?src=t_imagination,Jorge Luis Borges,https://www.brainyquote.com/authors/jorge-luis-borges-quotes
I only hope that we don't lose sight of one thing - that it was all started by a mouse.,https://www.brainyquote.com/quotes/walt_disney_131655?src=t_imagination,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
True originality consists not in a new manner but in a new vision.,https://www.brainyquote.com/quotes/edith_wharton_163165?src=t_imagination,Edith Wharton,https://www.brainyquote.com/authors/edith-wharton-quotes
"Those who do not want to imitate anything, produce nothing.",https://www.brainyquote.com/quotes/salvador_dali_132612?src=t_imagination,Salvador Dali,https://www.brainyquote.com/authors/salvador-dali-quotes
"To invent, you need a good imagination and a pile of junk.",https://www.brainyquote.com/quotes/thomas_a_edison_125362?src=t_imagination,Thomas A. Edison,https://www.brainyquote.com/authors/thomas-a-edison-quotes
"A man may imagine things that are false, but he can only understand things that are true, for if the things be false, the apprehension of them is not understanding.",https://www.brainyquote.com/quotes/isaac_newton_141476?src=t_imagination,Isaac Newton,https://www.brainyquote.com/authors/isaac-newton-quotes
"If I create from the heart, nearly everything works; if from the head, almost nothing.",https://www.brainyquote.com/quotes/marc_chagall_389595?src=t_imagination,Marc Chagall,https://www.brainyquote.com/authors/marc-chagall-quotes
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",https://www.brainyquote.com/quotes/dr_seuss_106026?src=t_imagination,Dr. Seuss,https://www.brainyquote.com/authors/dr-seuss-quotes
"A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.",https://www.brainyquote.com/quotes/antoine_de_saintexupery_161736?src=t_imagination,Antoine de Saint-Exupery,https://www.brainyquote.com/authors/antoine-de-saint-exupery-quotes
"The visionary starts with a clean sheet of paper, and re-imagines the world.",https://www.brainyquote.com/quotes/malcolm_gladwell_439269?src=t_imagination,Malcolm Gladwell,https://www.brainyquote.com/authors/malcolm-gladwell-quotes
An idea is salvation by imagination.,https://www.brainyquote.com/quotes/frank_lloyd_wright_127701?src=t_imagination,Frank Lloyd Wright,https://www.brainyquote.com/authors/frank-lloyd-wright-quotes
"And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.",https://www.brainyquote.com/quotes/sylvia_plath_108622?src=t_imagination,Sylvia Plath,https://www.brainyquote.com/authors/sylvia-plath-quotes
"What we wish, we readily believe, and what we ourselves think, we imagine others think also.",https://www.brainyquote.com/quotes/julius_caesar_156550?src=t_imagination,Julius Caesar,https://www.brainyquote.com/authors/julius-caesar-quotes
Some stories are true that never happened.,https://www.brainyquote.com/quotes/elie_wiesel_106021?src=t_imagination,Elie Wiesel,https://www.brainyquote.com/authors/elie-wiesel-quotes
"To accomplish great things we must first dream, then visualize, then plan... believe... act!",https://www.brainyquote.com/quotes/alfred_a_montapert_166039?src=t_imagination,Alfred A. Montapert,https://www.brainyquote.com/authors/alfred-a-montapert-quotes
"Imagine for yourself a character, a model personality, whose example you determine to follow, in private as well as in public.",https://www.brainyquote.com/quotes/epictetus_133666?src=t_imagination,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
Imagination and fiction make up more than three quarters of our real life.,https://www.brainyquote.com/quotes/simone_weil_102419?src=t_imagination,Simone Weil,https://www.brainyquote.com/authors/simone-weil-quotes
The world is governed by very different personages from what is imagined by those who are not behind the scenes.,https://www.brainyquote.com/quotes/benjamin_disraeli_136330?src=t_imagination,Benjamin Disraeli,https://www.brainyquote.com/authors/benjamin-disraeli-quotes
"To bring anything into your life, imagine that it's already there.",https://www.brainyquote.com/quotes/richard_bach_383522?src=t_imagination,Richard Bach,https://www.brainyquote.com/authors/richard-bach-quotes
The saddest thing I can imagine is to get used to luxury.,https://www.brainyquote.com/quotes/charlie_chaplin_142050?src=t_imagination,Charlie Chaplin,https://www.brainyquote.com/authors/charlie-chaplin-quotes
"The lunatic, the lover, and the poet, are of imagination all compact.",https://www.brainyquote.com/quotes/william_shakespeare_131201?src=t_imagination,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
I believe in the imagination. What I cannot see is infinitely more important than what I can see.,https://www.brainyquote.com/quotes/duane_michals_106045?src=t_imagination,Duane Michals,https://www.brainyquote.com/authors/duane-michals-quotes
Vision is the true creative rhythm.,https://www.brainyquote.com/quotes/robert_delaunay_307960?src=t_imagination,Robert Delaunay,https://www.brainyquote.com/authors/robert-delaunay-quotes
"New ideas pass through three periods: 1) It can't be done. 2) It probably can be done, but it's not worth doing. 3) I knew it was a good idea all along!",https://www.brainyquote.com/quotes/arthur_c_clarke_164506?src=t_imagination,Arthur C. Clarke,https://www.brainyquote.com/authors/arthur-c-clarke-quotes
The artist must bow to the monster of his own imagination.,https://www.brainyquote.com/quotes/richard_wright_388282?src=t_imagination,Richard Wright,https://www.brainyquote.com/authors/richard-wright-quotes
"When you can imagine you begin to create and when you begin to create you realize that you can create a world that you prefer to live in, rather than a world that you're suffering in.",https://www.brainyquote.com/quotes/ben_okri_461525?src=t_imagination,Ben Okri,https://www.brainyquote.com/authors/ben-okri-quotes
Ideas control the world.,https://www.brainyquote.com/quotes/james_a_garfield_132586?src=t_imagination,James A. Garfield,https://www.brainyquote.com/authors/james-a-garfield-quotes
Solitude is as needful to the imagination as society is wholesome for the character.,https://www.brainyquote.com/quotes/james_russell_lowell_101747?src=t_imagination,James Russell Lowell,https://www.brainyquote.com/authors/james-russell-lowell-quotes
"All successful people men and women are big dreamers. They imagine what their future could be, ideal in every respect, and then they work every day toward their distant vision, that goal or purpose.",https://www.brainyquote.com/quotes/brian_tracy_163247?src=t_imagination,Brian Tracy,https://www.brainyquote.com/authors/brian-tracy-quotes
I imagine that yes is the only living thing.,https://www.brainyquote.com/quotes/e_e_cummings_105756?src=t_imagination,e. e. cummings,https://www.brainyquote.com/authors/e-e-cummings-quotes
"I wash my hands of those who imagine chattering to be knowledge, silence to be ignorance, and affection to be art.",https://www.brainyquote.com/quotes/khalil_gibran_145911?src=t_imagination,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
All men who have achieved great things have been great dreamers.,https://www.brainyquote.com/quotes/orison_swett_marden_161313?src=t_imagination,Orison Swett Marden,https://www.brainyquote.com/authors/orison-swett-marden-quotes
