quote,quote_url,author,author_url
"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.",https://www.brainyquote.com/quotes/stephen_covey_138246?src=t_independence,Stephen Covey,https://www.brainyquote.com/authors/stephen-covey-quotes
True independence and freedom can only exist in doing what's right.,https://www.brainyquote.com/quotes/brigham_young_146734?src=t_independence,Brigham Young,https://www.brainyquote.com/authors/brigham-young-quotes
"The bedrock of our democracy is the rule of law and that means we have to have an independent judiciary, judges who can make decisions independent of the political winds that are blowing.",https://www.brainyquote.com/quotes/caroline_kennedy_443266?src=t_independence,Caroline Kennedy,https://www.brainyquote.com/authors/caroline-kennedy-quotes
Independence is happiness.,https://www.brainyquote.com/quotes/susan_b_anthony_380664?src=t_independence,Susan B. Anthony,https://www.brainyquote.com/authors/susan-b-anthony-quotes
"My mother told me to be a lady. And for her, that meant be your own person, be independent.",https://www.brainyquote.com/quotes/ruth_bader_ginsburg_218231?src=t_independence,Ruth Bader Ginsburg,https://www.brainyquote.com/authors/ruth-bader-ginsburg-quotes
"I wanted to be an independent woman, a woman who could pay for her bills, a woman who could run her own life - and I became that woman.",https://www.brainyquote.com/quotes/diane_von_furstenberg_582602?src=t_independence,Diane von Furstenberg,https://www.brainyquote.com/authors/diane-von-furstenberg-quotes
Independence doesn't mean you decide the way you want.,https://www.brainyquote.com/quotes/stephen_breyer_218433?src=t_independence,Stephen Breyer,https://www.brainyquote.com/authors/stephen-breyer-quotes
"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.",https://www.brainyquote.com/quotes/b_r_ambedkar_396096?src=t_independence,B. R. Ambedkar,https://www.brainyquote.com/authors/b-r-ambedkar-quotes
Diversity: the art of thinking independently together.,https://www.brainyquote.com/quotes/malcolm_forbes_151513?src=t_independence,Malcolm Forbes,https://www.brainyquote.com/authors/malcolm-forbes-quotes
What then is freedom? The power to live as one wishes.,https://www.brainyquote.com/quotes/marcus_tullius_cicero_382338?src=t_independence,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
The best teamwork comes from men who are working independently toward one goal in unison.,https://www.brainyquote.com/quotes/james_cash_penney_226500?src=t_independence,James Cash Penney,https://www.brainyquote.com/authors/james-cash-penney-quotes
"At the bottom of education, at the bottom of politics, even at the bottom of religion, there must be for our race economic independence.",https://www.brainyquote.com/quotes/booker_t_washington_394187?src=t_independence,Booker T. Washington,https://www.brainyquote.com/authors/booker-t-washington-quotes
"Work is about more than making a living, as vital as that is. It's fundamental to human dignity, to our sense of self-worth as useful, independent, free people.",https://www.brainyquote.com/quotes/william_j_clinton_454945?src=t_independence,William J. Clinton,https://www.brainyquote.com/authors/william-j-clinton-quotes
It is very nearly impossible... to become an educated person in a country so distrustful of the independent mind.,https://www.brainyquote.com/quotes/james_baldwin_149896?src=t_independence,James Baldwin,https://www.brainyquote.com/authors/james-baldwin-quotes
Injustice in the end produces independence.,https://www.brainyquote.com/quotes/voltaire_145528?src=t_independence,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
"Follow the path of the unsafe, independent thinker. Expose your ideas to the danger of controversy. Speak your mind and fear less the label of 'crackpot' than the stigma of conformity.",https://www.brainyquote.com/quotes/thomas_j_watson_209880?src=t_independence,Thomas J. Watson,https://www.brainyquote.com/authors/thomas-j-watson-quotes
I am no bird; and no net ensnares me; I am a free human being with an independent will.,https://www.brainyquote.com/quotes/charlotte_bronte_388605?src=t_independence,Charlotte Bronte,https://www.brainyquote.com/authors/charlotte-bronte-quotes
Charity is injurious unless it helps the recipient to become independent of it.,https://www.brainyquote.com/quotes/john_d_rockefeller_147461?src=t_independence,John D. Rockefeller,https://www.brainyquote.com/authors/john-d-rockefeller-quotes
"There is no dignity quite so impressive, and no one independence quite so important, as living within your means.",https://www.brainyquote.com/quotes/calvin_coolidge_390997?src=t_independence,Calvin Coolidge,https://www.brainyquote.com/authors/calvin-coolidge-quotes
Nature never said to me: Do not be poor; still less did she say: Be rich; her cry to me was always: Be independent.,https://www.brainyquote.com/quotes/nicolas_chamfort_392601?src=t_independence,Nicolas Chamfort,https://www.brainyquote.com/authors/nicolas-chamfort-quotes
"I have an independent streak. You know, it's kind of hard to tell a independent woman what to do.",https://www.brainyquote.com/quotes/betty_ford_415679?src=t_independence,Betty Ford,https://www.brainyquote.com/authors/betty-ford-quotes
"Independence is a heady draught, and if you drink it in your youth, it can have the same effect on the brain as young wine does. It does not matter that its taste is not always appealing. It is addictive and with each drink you want more.",https://www.brainyquote.com/quotes/maya_angelou_578822?src=t_independence,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"True freedom is the capacity for acting according to one's true character, to be altogether one's self, to be self-determined and not subject to outside coercion.",https://www.brainyquote.com/quotes/corliss_lamont_366705?src=t_independence,Corliss Lamont,https://www.brainyquote.com/authors/corliss-lamont-quotes
There is an inverse relationship between reliance on the state and self-reliance.,https://www.brainyquote.com/quotes/william_f_buckley_jr_385060?src=t_independence,"William F. Buckley, Jr.",https://www.brainyquote.com/authors/william-f-buckley-jr-quotes
The most unpardonable sin in society is independence of thought.,https://www.brainyquote.com/quotes/emma_goldman_138307?src=t_independence,Emma Goldman,https://www.brainyquote.com/authors/emma-goldman-quotes
"Originality is independence, not rebellion; it is sincerity, not antagonism.",https://www.brainyquote.com/quotes/george_henry_lewes_287486?src=t_independence,George Henry Lewes,https://www.brainyquote.com/authors/george-henry-lewes-quotes
"The man who is aware of himself is henceforward independent; and he is never bored, and life is only too short, and he is steeped through and through with a profound yet temperate happiness.",https://www.brainyquote.com/quotes/virginia_woolf_120436?src=t_independence,Virginia Woolf,https://www.brainyquote.com/authors/virginia-woolf-quotes
What you get free costs too much.,https://www.brainyquote.com/quotes/jean_anouilh_148653?src=t_independence,Jean Anouilh,https://www.brainyquote.com/authors/jean-anouilh-quotes
"Independence? That's middle class blasphemy. We are all dependent on one another, every soul of us on earth.",https://www.brainyquote.com/quotes/george_bernard_shaw_121596?src=t_independence,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
"Communication is a continual balancing act, juggling the conflicting needs for intimacy and independence. To survive in the world, we have to act in concert with others, but to survive as ourselves, rather than simply as cogs in a wheel, we have to act alone.",https://www.brainyquote.com/quotes/deborah_tannen_190370?src=t_independence,Deborah Tannen,https://www.brainyquote.com/authors/deborah-tannen-quotes
"Without moral and intellectual independence, there is no anchor for national independence.",https://www.brainyquote.com/quotes/david_bengurion_182244?src=t_independence,David Ben-Gurion,https://www.brainyquote.com/authors/david-ben-gurion-quotes
"We must have constantly present in our minds the difference between independence and liberty. Liberty is a right of doing whatever the laws permit, and if a citizen could do what they forbid he would no longer be possessed of liberty.",https://www.brainyquote.com/quotes/montesquieu_393857?src=t_independence,Montesquieu,https://www.brainyquote.com/authors/montesquieu-quotes
"It is not wealth one asks for, but just enough to preserve one's dignity, to work unhampered, to be generous, frank and independent.",https://www.brainyquote.com/quotes/w_somerset_maugham_133460?src=t_independence,W. Somerset Maugham,https://www.brainyquote.com/authors/w-somerset-maugham-quotes
Those who won our independence... valued liberty as an end and as a means. They believed liberty to be the secret of happiness and courage to be the secret of liberty.,https://www.brainyquote.com/quotes/louis_d_brandeis_126088?src=t_independence,Louis D. Brandeis,https://www.brainyquote.com/authors/louis-d-brandeis-quotes
Throughout the day no time for memorandums now. Go ahead! Liberty and independence forever.,https://www.brainyquote.com/quotes/davy_crockett_195237?src=t_independence,Davy Crockett,https://www.brainyquote.com/authors/davy-crockett-quotes
The most dangerous thing in the world is the sin of self-reliance and the stupor of worldliness.,https://www.brainyquote.com/quotes/john_piper_530141?src=t_independence,John Piper,https://www.brainyquote.com/authors/john-piper-quotes
"Mickey Mouse is, to me, a symbol of independence. He was a means to an end.",https://www.brainyquote.com/quotes/walt_disney_131656?src=t_independence,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
Part of your heritage in this society is the opportunity to become financially independent.,https://www.brainyquote.com/quotes/jim_rohn_147506?src=t_independence,Jim Rohn,https://www.brainyquote.com/authors/jim-rohn-quotes
"Impatience is the mark of independence, not of bondage.",https://www.brainyquote.com/quotes/marianne_moore_382336?src=t_independence,Marianne Moore,https://www.brainyquote.com/authors/marianne-moore-quotes
"The only part of the conduct of any one, for which he is amenable to society, is that which concerns others. In the part which merely concerns himself, his independence is, of right, absolute. Over himself, over his own body and mind, the individual is sovereign.",https://www.brainyquote.com/quotes/john_stuart_mill_201728?src=t_independence,John Stuart Mill,https://www.brainyquote.com/authors/john-stuart-mill-quotes
I know of no country in which there is so little independence of mind and real freedom of discussion as in America.,https://www.brainyquote.com/quotes/alexis_de_tocqueville_153749?src=t_independence,Alexis de Tocqueville,https://www.brainyquote.com/authors/alexis-de-tocqueville-quotes
