quote,quote_url,author,author_url
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,https://www.brainyquote.com/quotes/helen_keller_101301?src=t_inspirational,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",https://www.brainyquote.com/quotes/jimmy_dean_131287?src=t_inspirational,Jimmy Dean,https://www.brainyquote.com/authors/jimmy-dean-quotes
"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.",https://www.brainyquote.com/quotes/swami_sivananda_390760?src=t_inspirational,Swami Sivananda,https://www.brainyquote.com/authors/swami-sivananda-quotes
The best preparation for tomorrow is doing your best today.,https://www.brainyquote.com/quotes/h_jackson_brown_jr_382774?src=t_inspirational,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.,https://www.brainyquote.com/quotes/desmond_tutu_387490?src=t_inspirational,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
Keep your face always toward the sunshine - and shadows will fall behind you.,https://www.brainyquote.com/quotes/walt_whitman_384665?src=t_inspirational,Walt Whitman,https://www.brainyquote.com/authors/walt-whitman-quotes
Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.,https://www.brainyquote.com/quotes/francis_of_assisi_121023?src=t_inspirational,Francis of Assisi,https://www.brainyquote.com/authors/francis-of-assisi-quotes
"Perfection is not attainable, but if we chase perfection we can catch excellence.",https://www.brainyquote.com/quotes/vince_lombardi_385070?src=t_inspirational,Vince Lombardi,https://www.brainyquote.com/authors/vince-lombardi-quotes
Don't judge each day by the harvest you reap but by the seeds that you plant.,https://www.brainyquote.com/quotes/robert_louis_stevenson_101230?src=t_inspirational,Robert Louis Stevenson,https://www.brainyquote.com/authors/robert-louis-stevenson-quotes
"Nothing is impossible, the word itself says 'I'm possible'!",https://www.brainyquote.com/quotes/audrey_hepburn_413479?src=t_inspirational,Audrey Hepburn,https://www.brainyquote.com/authors/audrey-hepburn-quotes
"No act of kindness, no matter how small, is ever wasted.",https://www.brainyquote.com/quotes/aesop_109734?src=t_inspirational,Aesop,https://www.brainyquote.com/authors/aesop-quotes
"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.",https://www.brainyquote.com/quotes/kevyn_aucoin_358534?src=t_inspirational,Kevyn Aucoin,https://www.brainyquote.com/authors/kevyn-aucoin-quotes
"We must let go of the life we have planned, so as to accept the one that is waiting for us.",https://www.brainyquote.com/quotes/joseph_campbell_386014?src=t_inspirational,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
Believe you can and you're halfway there.,https://www.brainyquote.com/quotes/theodore_roosevelt_380703?src=t_inspirational,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
"If you believe in yourself and have dedication and pride - and never quit, you'll be a winner. The price of victory is high but so are the rewards.",https://www.brainyquote.com/quotes/bear_bryant_192782?src=t_inspirational,Bear Bryant,https://www.brainyquote.com/authors/bear-bryant-quotes
"Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.",https://www.brainyquote.com/quotes/martin_luther_380369?src=t_inspirational,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
