quote,quote_url,author,author_url
"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.",https://www.brainyquote.com/quotes/heidi_klum_449843?src=t_jealousy,Heidi Klum,https://www.brainyquote.com/authors/heidi-klum-quotes
"Life is one big road with lots of signs. So when you riding through the ruts, don't complicate your mind. Flee from hate, mischief and jealousy. Don't bury your thoughts, put your vision to reality. Wake Up and Live!",https://www.brainyquote.com/quotes/bob_marley_167100?src=t_jealousy,Bob Marley,https://www.brainyquote.com/authors/bob-marley-quotes
Jealousy is the tribute mediocrity pays to genius.,https://www.brainyquote.com/quotes/fulton_j_sheen_162321?src=t_jealousy,Fulton J. Sheen,https://www.brainyquote.com/authors/fulton-j-sheen-quotes
Never underestimate the power of jealousy and the power of envy to destroy. Never underestimate that.,https://www.brainyquote.com/quotes/oliver_stone_311017?src=t_jealousy,Oliver Stone,https://www.brainyquote.com/authors/oliver-stone-quotes
You can be the moon and still be jealous of the stars.,https://www.brainyquote.com/quotes/gary_allan_400309?src=t_jealousy,Gary Allan,https://www.brainyquote.com/authors/gary-allan-quotes
Jealousy is the fear of comparison.,https://www.brainyquote.com/quotes/max_frisch_399097?src=t_jealousy,Max Frisch,https://www.brainyquote.com/authors/max-frisch-quotes
"There is no greater glory than love, nor any greater punishment than jealousy.",https://www.brainyquote.com/quotes/lope_de_vega_204851?src=t_jealousy,Lope de Vega,https://www.brainyquote.com/authors/lope-de-vega-quotes
The jealous are possessed by a mad devil and a dull spirit at the same time.,https://www.brainyquote.com/quotes/johann_kaspar_lavater_151441?src=t_jealousy,Johann Kaspar Lavater,https://www.brainyquote.com/authors/johann-kaspar-lavater-quotes
"As iron is eaten away by rust, so the envious are consumed by their own passion.",https://www.brainyquote.com/quotes/antisthenes_138836?src=t_jealousy,Antisthenes,https://www.brainyquote.com/authors/antisthenes-quotes
"Don't waste time on jealousy. Sometimes you're ahead, sometimes you're behind.",https://www.brainyquote.com/quotes/mary_schmich_384781?src=t_jealousy,Mary Schmich,https://www.brainyquote.com/authors/mary-schmich-quotes
"The jealous are troublesome to others, but a torment to themselves.",https://www.brainyquote.com/quotes/william_penn_383614?src=t_jealousy,William Penn,https://www.brainyquote.com/authors/william-penn-quotes
He that is jealous is not in love.,https://www.brainyquote.com/quotes/saint_augustine_380604?src=t_jealousy,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",https://www.brainyquote.com/quotes/aristotle_408833?src=t_jealousy,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
Jealousy is the jaundice of the soul.,https://www.brainyquote.com/quotes/john_dryden_380201?src=t_jealousy,John Dryden,https://www.brainyquote.com/authors/john-dryden-quotes
It will be found an unjust and unwise jealousy to deprive a man of his natural liberty upon the supposition he may abuse it.,https://www.brainyquote.com/quotes/george_washington_118082?src=t_jealousy,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
There is never jealousy where there is not strong regard.,https://www.brainyquote.com/quotes/washington_irving_149287?src=t_jealousy,Washington Irving,https://www.brainyquote.com/authors/washington-irving-quotes
"It is not love that is blind, but jealousy.",https://www.brainyquote.com/quotes/lawrence_durrell_138838?src=t_jealousy,Lawrence Durrell,https://www.brainyquote.com/authors/lawrence-durrell-quotes
Jealousy is no more than feeling alone against smiling enemies.,https://www.brainyquote.com/quotes/elizabeth_bowen_383236?src=t_jealousy,Elizabeth Bowen,https://www.brainyquote.com/authors/elizabeth-bowen-quotes
Jealousy... is a mental cancer.,https://www.brainyquote.com/quotes/b_c_forbes_106203?src=t_jealousy,B. C. Forbes,https://www.brainyquote.com/authors/b-c-forbes-quotes
More men die of jealousy than of cancer.,https://www.brainyquote.com/quotes/joseph_p_kennedy_387768?src=t_jealousy,Joseph P. Kennedy,https://www.brainyquote.com/authors/joseph-p-kennedy-quotes
Jealousy is all the fun you think they had.,https://www.brainyquote.com/quotes/erica_jong_114781?src=t_jealousy,Erica Jong,https://www.brainyquote.com/authors/erica-jong-quotes
Jealousy contains more of self-love than of love.,https://www.brainyquote.com/quotes/francois_de_la_rochefouca_106196?src=t_jealousy,Francois de La Rochefoucauld,https://www.brainyquote.com/authors/francois-de-la-rochefouca-quotes
"A negative judgment gives you more satisfaction than praise, provided it smacks of jealousy.",https://www.brainyquote.com/quotes/jean_baudrillard_386147?src=t_jealousy,Jean Baudrillard,https://www.brainyquote.com/authors/jean-baudrillard-quotes
Moral indignation is jealousy with a halo.,https://www.brainyquote.com/quotes/h_g_wells_103574?src=t_jealousy,H. G. Wells,https://www.brainyquote.com/authors/h-g-wells-quotes
"The envious die not once, but as oft as the envied win applause.",https://www.brainyquote.com/quotes/baltasar_gracian_150630?src=t_jealousy,Baltasar Gracian,https://www.brainyquote.com/authors/baltasar-gracian-quotes
"Those who enjoy their own emotionally bad health and who habitually fill their own minds with the rank poisons of suspicion, jealousy and hatred, as a rule take umbrage at those who refuse to do likewise, and they find a perverted relief in trying to denigrate them.",https://www.brainyquote.com/quotes/johannes_brahms_204444?src=t_jealousy,Johannes Brahms,https://www.brainyquote.com/authors/johannes-brahms-quotes
Those who are believed to be most abject and humble are usually most ambitious and envious.,https://www.brainyquote.com/quotes/baruch_spinoza_155820?src=t_jealousy,Baruch Spinoza,https://www.brainyquote.com/authors/baruch-spinoza-quotes
"That's the way I got along in life. I don't ever remember being particularly jealous of anybody, because I figured if I can't do it myself, I don't deserve to get it.",https://www.brainyquote.com/quotes/clyde_tombaugh_264580?src=t_jealousy,Clyde Tombaugh,https://www.brainyquote.com/authors/clyde-tombaugh-quotes
"To jealousy, nothing is more frightful than laughter.",https://www.brainyquote.com/quotes/francoise_sagan_154884?src=t_jealousy,Francoise Sagan,https://www.brainyquote.com/authors/francoise-sagan-quotes
"Love shouldn't be about jealousy or anything like that. It should be about commitment and being able to trust that person. If you can't have that from the get-go, there's a problem.",https://www.brainyquote.com/quotes/aaron_carter_427355?src=t_jealousy,Aaron Carter,https://www.brainyquote.com/authors/aaron-carter-quotes
The knives of jealousy are honed on details.,https://www.brainyquote.com/quotes/ruth_rendell_178381?src=t_jealousy,Ruth Rendell,https://www.brainyquote.com/authors/ruth-rendell-quotes
Jealousy is the fear or apprehension of superiority: envy our uneasiness under it.,https://www.brainyquote.com/quotes/william_shenstone_391544?src=t_jealousy,William Shenstone,https://www.brainyquote.com/authors/william-shenstone-quotes
My wife's jealousy is getting ridiculous. The other day she looked at my calendar and wanted to know who May was.,https://www.brainyquote.com/quotes/rodney_dangerfield_154018?src=t_jealousy,Rodney Dangerfield,https://www.brainyquote.com/authors/rodney-dangerfield-quotes
"Jealousy is the tie that binds, and binds, and binds.",https://www.brainyquote.com/quotes/helen_rowland_379364?src=t_jealousy,Helen Rowland,https://www.brainyquote.com/authors/helen-rowland-quotes
"Hunger, revenge, to sleep are petty foes, But only death the jealous eyes can close.",https://www.brainyquote.com/quotes/william_wycherley_385393?src=t_jealousy,William Wycherley,https://www.brainyquote.com/authors/william-wycherley-quotes
Jealousy is never satisfied with anything short of an omniscience that would detect the subtlest fold of the heart.,https://www.brainyquote.com/quotes/george_eliot_148922?src=t_jealousy,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
"Nothing is more capable of troubling our reason, and consuming our health, than secret notions of jealousy in solitude.",https://www.brainyquote.com/quotes/aphra_behn_169957?src=t_jealousy,Aphra Behn,https://www.brainyquote.com/authors/aphra-behn-quotes
Jealousy is a dog's bark which attracts thieves.,https://www.brainyquote.com/quotes/karl_kraus_379213?src=t_jealousy,Karl Kraus,https://www.brainyquote.com/authors/karl-kraus-quotes
"Jealousy, that dragon which slays love under the pretence of keeping it alive.",https://www.brainyquote.com/quotes/havelock_ellis_138839?src=t_jealousy,Havelock Ellis,https://www.brainyquote.com/authors/havelock-ellis-quotes
"There's no regret. You can't regret. I mean, I've felt regret but I've also refused to allow regret to sow a seed and live in me because I don't believe it. You feel it, it's like guilt, it's like jealousy, it's like all those horrible things. You've just got to snip them and get them out, because they're no good.",https://www.brainyquote.com/quotes/jude_law_414694?src=t_jealousy,Jude Law,https://www.brainyquote.com/authors/jude-law-quotes
"Like hatred, jealousy is forbidden by the laws of life because it is essentially destructive.",https://www.brainyquote.com/quotes/alexis_carrel_386258?src=t_jealousy,Alexis Carrel,https://www.brainyquote.com/authors/alexis-carrel-quotes
"Jealousy is, I think, the worst of all faults because it makes a victim of both parties.",https://www.brainyquote.com/quotes/gene_tierney_197148?src=t_jealousy,Gene Tierney,https://www.brainyquote.com/authors/gene-tierney-quotes
