quote,quote_url,author,author_url
Opinion is the medium between knowledge and ignorance.,https://www.brainyquote.com/quotes/plato_382233?src=t_knowledge,Plato,https://www.brainyquote.com/authors/plato-quotes
There is much pleasure to be gained from useless knowledge.,https://www.brainyquote.com/quotes/bertrand_russell_100346?src=t_knowledge,Bertrand Russell,https://www.brainyquote.com/authors/bertrand-russell-quotes
"To know what you know and what you do not know, that is true knowledge.",https://www.brainyquote.com/quotes/confucius_141560?src=t_knowledge,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"A people without the knowledge of their past history, origin and culture is like a tree without roots.",https://www.brainyquote.com/quotes/marcus_garvey_365148?src=t_knowledge,Marcus Garvey,https://www.brainyquote.com/authors/marcus-garvey-quotes
"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.",https://www.brainyquote.com/quotes/kofi_annan_389917?src=t_knowledge,Kofi Annan,https://www.brainyquote.com/authors/kofi-annan-quotes
"To know that we know what we know, and to know that we do not know what we do not know, that is true knowledge.",https://www.brainyquote.com/quotes/nicolaus_copernicus_127510?src=t_knowledge,Nicolaus Copernicus,https://www.brainyquote.com/authors/nicolaus-copernicus-quotes
The true sign of intelligence is not knowledge but imagination.,https://www.brainyquote.com/quotes/albert_einstein_148802?src=t_knowledge,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
Without knowledge action is useless and knowledge without action is futile.,https://www.brainyquote.com/quotes/abu_bakr_219641?src=t_knowledge,Abu Bakr,https://www.brainyquote.com/authors/abu-bakr-quotes
"To know, is to know that you know nothing. That is the meaning of true knowledge.",https://www.brainyquote.com/quotes/socrates_123502?src=t_knowledge,Socrates,https://www.brainyquote.com/authors/socrates-quotes
"To acquire knowledge, one must study; but to acquire wisdom, one must observe.",https://www.brainyquote.com/quotes/marilyn_vos_savant_121674?src=t_knowledge,Marilyn vos Savant,https://www.brainyquote.com/authors/marilyn-vos-savant-quotes
We are drowning in information but starved for knowledge.,https://www.brainyquote.com/quotes/john_naisbitt_382513?src=t_knowledge,John Naisbitt,https://www.brainyquote.com/authors/john-naisbitt-quotes
"Wisdom is the right use of knowledge. To know is not to be wise. Many men know a great deal, and are all the greater fools for it. There is no fool so great a fool as a knowing fool. But to know how to use knowledge is to have wisdom.",https://www.brainyquote.com/quotes/charles_spurgeon_121393?src=t_knowledge,Charles Spurgeon,https://www.brainyquote.com/authors/charles-spurgeon-quotes
"We are all born ignorant, but one must work hard to remain stupid.",https://www.brainyquote.com/quotes/unknown_383579?src=t_knowledge,Unknown,https://www.brainyquote.com/authors/unknown-quotes
