quote,quote_url,author,author_url
"If the highest aim of a captain were to preserve his ship, he would keep it in port forever.",https://www.brainyquote.com/quotes/thomas_aquinas_187122?src=t_leadership,Thomas Aquinas,https://www.brainyquote.com/authors/thomas-aquinas-quotes
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.,https://www.brainyquote.com/quotes/alexander_the_great_391181?src=t_leadership,Alexander the Great,https://www.brainyquote.com/authors/alexander-the-great-quotes
"A leader is one who knows the way, goes the way, and shows the way.",https://www.brainyquote.com/quotes/john_c_maxwell_383606?src=t_leadership,John C. Maxwell,https://www.brainyquote.com/authors/john-c-maxwell-quotes
"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.",https://www.brainyquote.com/quotes/lao_tzu_121709?src=t_leadership,Lao Tzu,https://www.brainyquote.com/authors/lao-tzu-quotes
A genuine leader is not a searcher for consensus but a molder of consensus.,https://www.brainyquote.com/quotes/martin_luther_king_jr_166528?src=t_leadership,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Leadership is the capacity to translate vision into reality.,https://www.brainyquote.com/quotes/warren_bennis_121713?src=t_leadership,Warren Bennis,https://www.brainyquote.com/authors/warren-bennis-quotes
Leadership is the art of getting someone else to do something you want done because he wants to do it.,https://www.brainyquote.com/quotes/dwight_d_eisenhower_101562?src=t_leadership,Dwight D. Eisenhower,https://www.brainyquote.com/authors/dwight-d-eisenhower-quotes
Speak softly and carry a big stick; you will go far.,https://www.brainyquote.com/quotes/theodore_roosevelt_130674?src=t_leadership,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
"Ultimately, leadership is not about glorious crowning acts. It's about keeping your team focused on a goal and motivated to do their best to achieve it, especially when the stakes are high and the consequences really matter. It is about laying the groundwork for others' success, and then standing back and letting them shine.",https://www.brainyquote.com/quotes/chris_hadfield_637159?src=t_leadership,Chris Hadfield,https://www.brainyquote.com/authors/chris-hadfield-quotes
Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,https://www.brainyquote.com/quotes/colin_powell_138124?src=t_leadership,Colin Powell,https://www.brainyquote.com/authors/colin-powell-quotes
"When you can't make them see the light, make them feel the heat.",https://www.brainyquote.com/quotes/ronald_reagan_383264?src=t_leadership,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
"Where there is no vision, there is no hope.",https://www.brainyquote.com/quotes/george_washington_carver_158551?src=t_leadership,George Washington Carver,https://www.brainyquote.com/authors/george-washington-carver-quotes
"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership.",https://www.brainyquote.com/quotes/nelson_mandela_393048?src=t_leadership,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
