quote,quote_url,author,author_url
"If we desire respect for the law, we must first make the law respectable.",https://www.brainyquote.com/quotes/louis_d_brandeis_106240?src=t_legal,Louis D. Brandeis,https://www.brainyquote.com/authors/louis-d-brandeis-quotes
"Laws are like cobwebs, which may catch small flies, but let wasps and hornets break through.",https://www.brainyquote.com/quotes/jonathan_swift_138280?src=t_legal,Jonathan Swift,https://www.brainyquote.com/authors/jonathan-swift-quotes
Ethics is knowing the difference between what you have a right to do and what is right to do.,https://www.brainyquote.com/quotes/potter_stewart_390058?src=t_legal,Potter Stewart,https://www.brainyquote.com/authors/potter-stewart-quotes
It is not wisdom but Authority that makes a law.,https://www.brainyquote.com/quotes/thomas_hobbes_378768?src=t_legal,Thomas Hobbes,https://www.brainyquote.com/authors/thomas-hobbes-quotes
Justice delayed is justice denied.,https://www.brainyquote.com/quotes/william_e_gladstone_101551?src=t_legal,William E. Gladstone,https://www.brainyquote.com/authors/william-e-gladstone-quotes
Laws are spider webs through which the big flies pass and the little ones get caught.,https://www.brainyquote.com/quotes/honore_de_balzac_385469?src=t_legal,Honore de Balzac,https://www.brainyquote.com/authors/honore-de-balzac-quotes
Make crime pay. Become a lawyer.,https://www.brainyquote.com/quotes/will_rogers_128273?src=t_legal,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
I have been committed to carrying out my duties... in accordance with both the letter and spirit of all applicable rules of ethics and canons of conduct.,https://www.brainyquote.com/quotes/samuel_alito_405604?src=t_legal,Samuel Alito,https://www.brainyquote.com/authors/samuel-alito-quotes
The safety of the people shall be the highest law.,https://www.brainyquote.com/quotes/marcus_tullius_cicero_118644?src=t_legal,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
"Laws are like sausages, it is better not to see them being made.",https://www.brainyquote.com/quotes/otto_von_bismarck_161318?src=t_legal,Otto von Bismarck,https://www.brainyquote.com/authors/otto-von-bismarck-quotes
Justice is the sum of all moral duty.,https://www.brainyquote.com/quotes/william_godwin_205720?src=t_legal,William Godwin,https://www.brainyquote.com/authors/william-godwin-quotes
"If the machine of government is of such a nature that it requires you to be the agent of injustice to another, then, I say, break the law.",https://www.brainyquote.com/quotes/henry_david_thoreau_106254?src=t_legal,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
"If you must break the law, do it to seize power: in all other cases observe it.",https://www.brainyquote.com/quotes/julius_caesar_134260?src=t_legal,Julius Caesar,https://www.brainyquote.com/authors/julius-caesar-quotes
It is better to risk saving a guilty man than to condemn an innocent one.,https://www.brainyquote.com/quotes/voltaire_124572?src=t_legal,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
Punishment is justice for the unjust.,https://www.brainyquote.com/quotes/saint_augustine_148558?src=t_legal,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
The best way to get a bad law repealed is to enforce it strictly.,https://www.brainyquote.com/quotes/abraham_lincoln_122582?src=t_legal,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens.,https://www.brainyquote.com/quotes/plato_169513?src=t_legal,Plato,https://www.brainyquote.com/authors/plato-quotes
Collecting more taxes than is absolutely necessary is legalized robbery.,https://www.brainyquote.com/quotes/calvin_coolidge_108015?src=t_legal,Calvin Coolidge,https://www.brainyquote.com/authors/calvin-coolidge-quotes
"I busted a mirror and got seven years bad luck, but my lawyer thinks he can get me five.",https://www.brainyquote.com/quotes/steven_wright_102569?src=t_legal,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
Ignorance of the law excuses no man from practicing it.,https://www.brainyquote.com/quotes/addison_mizner_158651?src=t_legal,Addison Mizner,https://www.brainyquote.com/authors/addison-mizner-quotes
Law is born from despair of human nature.,https://www.brainyquote.com/quotes/jose_ortega_y_gasset_162622?src=t_legal,Jose Ortega y Gasset,https://www.brainyquote.com/authors/jose-ortega-y-gasset-quotes
It is legal because I wish it.,https://www.brainyquote.com/quotes/louis_xiv_129190?src=t_legal,Louis XIV,https://www.brainyquote.com/authors/louis-xiv-quotes
The events of the day inspired me to become a lawyer.,https://www.brainyquote.com/quotes/christopher_darden_266103?src=t_legal,Christopher Darden,https://www.brainyquote.com/authors/christopher-darden-quotes
It is impossible to tell where the law stops and justice begins.,https://www.brainyquote.com/quotes/arthur_baer_189186?src=t_legal,Arthur Baer,https://www.brainyquote.com/authors/arthur-baer-quotes
Only one thing is impossible for God: To find any sense in any copyright law on the planet.,https://www.brainyquote.com/quotes/mark_twain_163473?src=t_legal,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Common sense often makes good law.,https://www.brainyquote.com/quotes/william_o_douglas_111873?src=t_legal,William O. Douglas,https://www.brainyquote.com/authors/william-o-douglas-quotes
He is no lawyer who cannot take two sides.,https://www.brainyquote.com/quotes/charles_lamb_151087?src=t_legal,Charles Lamb,https://www.brainyquote.com/authors/charles-lamb-quotes
"Justice? You get justice in the next world, in this world you have the law.",https://www.brainyquote.com/quotes/william_gaddis_176229?src=t_legal,William Gaddis,https://www.brainyquote.com/authors/william-gaddis-quotes
A lean compromise is better than a fat lawsuit.,https://www.brainyquote.com/quotes/george_herbert_152899?src=t_legal,George Herbert,https://www.brainyquote.com/authors/george-herbert-quotes
"People crushed by laws, have no hope but to evade power. If the laws are their enemies, they will be enemies to the law; and those who have most to hope and nothing to lose will always be dangerous.",https://www.brainyquote.com/quotes/edmund_burke_149708?src=t_legal,Edmund Burke,https://www.brainyquote.com/authors/edmund-burke-quotes
Obedience to lawful authority is the foundation of manly character.,https://www.brainyquote.com/quotes/robert_e_lee_383609?src=t_legal,Robert E. Lee,https://www.brainyquote.com/authors/robert-e-lee-quotes
Compromise is the best and cheapest lawyer.,https://www.brainyquote.com/quotes/robert_louis_stevenson_205048?src=t_legal,Robert Louis Stevenson,https://www.brainyquote.com/authors/robert-louis-stevenson-quotes
People do not win people fights. Lawyers do.,https://www.brainyquote.com/quotes/norman_ralph_augustine_204564?src=t_legal,Norman Ralph Augustine,https://www.brainyquote.com/authors/norman-ralph-augustine-quotes
I'm trusting in the Lord and a good lawyer.,https://www.brainyquote.com/quotes/oliver_north_378952?src=t_legal,Oliver North,https://www.brainyquote.com/authors/oliver-north-quotes
Laws made by common consent must not be trampled on by individuals.,https://www.brainyquote.com/quotes/george_washington_383664?src=t_legal,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
Lawyers are the only persons in whom ignorance of the law is not punished.,https://www.brainyquote.com/quotes/jeremy_bentham_118455?src=t_legal,Jeremy Bentham,https://www.brainyquote.com/authors/jeremy-bentham-quotes
In the Halls of Justice the only justice is in the halls.,https://www.brainyquote.com/quotes/lenny_bruce_106249?src=t_legal,Lenny Bruce,https://www.brainyquote.com/authors/lenny-bruce-quotes
That which is not just is not law.,https://www.brainyquote.com/quotes/william_lloyd_garrison_191970?src=t_legal,William Lloyd Garrison,https://www.brainyquote.com/authors/william-lloyd-garrison-quotes
The trouble with law is lawyers.,https://www.brainyquote.com/quotes/clarence_darrow_154031?src=t_legal,Clarence Darrow,https://www.brainyquote.com/authors/clarence-darrow-quotes
Advertising is legalized lying.,https://www.brainyquote.com/quotes/h_g_wells_102994?src=t_legal,H. G. Wells,https://www.brainyquote.com/authors/h-g-wells-quotes
One of the things I was taught in law school is that I'd never be able to think the same again - that being a lawyer is something that's part of who I am as an individual now.,https://www.brainyquote.com/quotes/anita_hill_359401?src=t_legal,Anita Hill,https://www.brainyquote.com/authors/anita-hill-quotes
"Judges are the weakest link in our system of justice, and they are also the most protected.",https://www.brainyquote.com/quotes/alan_dershowitz_111779?src=t_legal,Alan Dershowitz,https://www.brainyquote.com/authors/alan-dershowitz-quotes
"I say the law should be blind to race, gender and sexual orientation, just as it claims to be blind to wealth and power. There should be no specially protected groups of any kind, except for children, the severely disabled and the elderly, whose physical frailty demands society's care.",https://www.brainyquote.com/quotes/camille_paglia_462144?src=t_legal,Camille Paglia,https://www.brainyquote.com/authors/camille-paglia-quotes
A good lawyer is a bad Christian.,https://www.brainyquote.com/quotes/john_lothrop_motley_305515?src=t_legal,John Lothrop Motley,https://www.brainyquote.com/authors/john-lothrop-motley-quotes
"In law, nothing is certain but the expense.",https://www.brainyquote.com/quotes/samuel_butler_149771?src=t_legal,Samuel Butler,https://www.brainyquote.com/authors/samuel-butler-quotes
A successful lawsuit is the one worn by a policeman.,https://www.brainyquote.com/quotes/robert_frost_151815?src=t_legal,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"If Moses had gone to Harvard Law School and spent three years working on the Hill, he would have written the Ten Commandments with three exceptions and a saving clause.",https://www.brainyquote.com/quotes/charles_morgan_175201?src=t_legal,Charles Morgan,https://www.brainyquote.com/authors/charles-morgan-quotes
All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,https://www.brainyquote.com/quotes/joseph_conrad_136254?src=t_legal,Joseph Conrad,https://www.brainyquote.com/authors/joseph-conrad-quotes
Lawyers are the first refuge of the incompetent.,https://www.brainyquote.com/quotes/aaron_allston_167919?src=t_legal,Aaron Allston,https://www.brainyquote.com/authors/aaron-allston-quotes
I decided I wanted to be a lawyer when I was 11 years of age.,https://www.brainyquote.com/quotes/johnnie_cochran_191510?src=t_legal,Johnnie Cochran,https://www.brainyquote.com/authors/johnnie-cochran-quotes
Lawyers spend a great deal of their time shoveling smoke.,https://www.brainyquote.com/quotes/oliver_wendell_holmes_jr_382541?src=t_legal,"Oliver Wendell Holmes, Jr.",https://www.brainyquote.com/authors/oliver-wendell-holmes-jr-quotes
You can't learn everything you need to know legally.,https://www.brainyquote.com/quotes/john_irving_362752?src=t_legal,John Irving,https://www.brainyquote.com/authors/john-irving-quotes
I am the inferior of any man whose rights I trample under foot.,https://www.brainyquote.com/quotes/robert_green_ingersoll_122528?src=t_legal,Robert Green Ingersoll,https://www.brainyquote.com/authors/robert-green-ingersoll-quotes
A lawyer who does not know men is handicapped.,https://www.brainyquote.com/quotes/william_dunbar_195762?src=t_legal,William Dunbar,https://www.brainyquote.com/authors/william-dunbar-quotes
"From your confessor, lawyer and physician, hide not your case on no condition.",https://www.brainyquote.com/quotes/john_harington_177143?src=t_legal,John Harington,https://www.brainyquote.com/authors/john-harington-quotes
Bad laws are the worst sort of tyranny.,https://www.brainyquote.com/quotes/edmund_burke_106255?src=t_legal,Edmund Burke,https://www.brainyquote.com/authors/edmund-burke-quotes
Make your educational laws strict and your criminal ones can be gentle; but if you leave youth its liberty you will have to dig dungeons for ages.,https://www.brainyquote.com/quotes/michel_de_montaigne_132692?src=t_legal,Michel de Montaigne,https://www.brainyquote.com/authors/michel-de-montaigne-quotes
"I would say that IQ is the strongest predictor of which field you can get into and hold a job in, whether you can be an accountant, lawyer or nurse, for example.",https://www.brainyquote.com/quotes/daniel_goleman_285392?src=t_legal,Daniel Goleman,https://www.brainyquote.com/authors/daniel-goleman-quotes
"As a private lawyer, I could bill $750 an hour, but I don't.",https://www.brainyquote.com/quotes/jay_alan_sekulow_299468?src=t_legal,Jay Alan Sekulow,https://www.brainyquote.com/authors/jay-alan-sekulow-quotes
We are led by lawyers who do not understand either technology or balance sheets.,https://www.brainyquote.com/quotes/thomas_friedman_342286?src=t_legal,Thomas Friedman,https://www.brainyquote.com/authors/thomas-friedman-quotes
