quote,quote_url,author,author_url
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",https://www.brainyquote.com/quotes/marie_curie_389010?src=t_life,Marie Curie,https://www.brainyquote.com/authors/marie-curie-quotes
"Life's most persistent and urgent question is, 'What are you doing for others?'",https://www.brainyquote.com/quotes/martin_luther_king_jr_137105?src=t_life,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",https://www.brainyquote.com/quotes/buddha_101052?src=t_life,Buddha,https://www.brainyquote.com/authors/buddha-quotes
"We do not remember days, we remember moments.",https://www.brainyquote.com/quotes/cesare_pavese_109425?src=t_life,Cesare Pavese,https://www.brainyquote.com/authors/cesare-pavese-quotes
Life isn't about finding yourself. Life is about creating yourself.,https://www.brainyquote.com/quotes/george_bernard_shaw_109542?src=t_life,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",https://www.brainyquote.com/quotes/eminem_387440?src=t_life,Eminem,https://www.brainyquote.com/authors/eminem-quotes
Life is what happens while you are busy making other plans.,https://www.brainyquote.com/quotes/john_lennon_137162?src=t_life,John Lennon,https://www.brainyquote.com/authors/john-lennon-quotes
Into each life some rain must fall.,https://www.brainyquote.com/quotes/henry_wadsworth_longfello_139003?src=t_life,Henry Wadsworth Longfellow,https://www.brainyquote.com/authors/henry-wadsworth-longfello-quotes
The true secret of happiness lies in taking a genuine interest in all the details of daily life.,https://www.brainyquote.com/quotes/william_morris_386448?src=t_life,William Morris,https://www.brainyquote.com/authors/william-morris-quotes
"Don't go through life, grow through life.",https://www.brainyquote.com/quotes/eric_butterworth_130105?src=t_life,Eric Butterworth,https://www.brainyquote.com/authors/eric-butterworth-quotes
Life is a song - sing it. Life is a game - play it. Life is a challenge - meet it. Life is a dream - realize it. Life is a sacrifice - offer it. Life is love - enjoy it.,https://www.brainyquote.com/quotes/sai_baba_176928?src=t_life,Sai Baba,https://www.brainyquote.com/authors/sai-baba-quotes
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",https://www.brainyquote.com/quotes/sholom_aleichem_154531?src=t_life,Sholom Aleichem,https://www.brainyquote.com/authors/sholom-aleichem-quotes
"Not life, but good life, is to be chiefly valued.",https://www.brainyquote.com/quotes/socrates_101067?src=t_life,Socrates,https://www.brainyquote.com/authors/socrates-quotes
"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",https://www.brainyquote.com/quotes/e_m_forster_100809?src=t_life,E. M. Forster,https://www.brainyquote.com/authors/e-m-forster-quotes
