quote,quote_url,author,author_url
"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher.",https://www.brainyquote.com/quotes/socrates_163765?src=t_marriage,Socrates,https://www.brainyquote.com/authors/socrates-quotes
"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife.",https://www.brainyquote.com/quotes/franz_schubert_325151?src=t_marriage,Franz Schubert,https://www.brainyquote.com/authors/franz-schubert-quotes
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",https://www.brainyquote.com/quotes/friedrich_nietzsche_109784?src=t_marriage,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"A successful marriage requires falling in love many times, always with the same person.",https://www.brainyquote.com/quotes/mignon_mclaughlin_106607?src=t_marriage,Mignon McLaughlin,https://www.brainyquote.com/authors/mignon-mclaughlin-quotes
Marriage may be the closest thing to Heaven or Hell any of us will know on this earth.,https://www.brainyquote.com/quotes/edwin_louis_cole_360101?src=t_marriage,Edwin Louis Cole,https://www.brainyquote.com/authors/edwin-louis-cole-quotes
Don't marry the person you think you can live with; marry only the individual you think you can't live without.,https://www.brainyquote.com/quotes/james_dobson_106593?src=t_marriage,James Dobson,https://www.brainyquote.com/authors/james-dobson-quotes
"Marriage is a wonderful institution, but who wants to live in an institution?",https://www.brainyquote.com/quotes/groucho_marx_157484?src=t_marriage,Groucho Marx,https://www.brainyquote.com/authors/groucho-marx-quotes
"To keep your marriage brimming, With love in the loving cup, Whenever you're wrong, admit it; Whenever you're right, shut up.",https://www.brainyquote.com/quotes/ogden_nash_159112?src=t_marriage,Ogden Nash,https://www.brainyquote.com/authors/ogden-nash-quotes
"The first time you marry for love, the second for money, and the third for companionship.",https://www.brainyquote.com/quotes/jackie_kennedy_126998?src=t_marriage,Jackie Kennedy,https://www.brainyquote.com/authors/jackie-kennedy-quotes
My most brilliant achievement was my ability to be able to persuade my wife to marry me.,https://www.brainyquote.com/quotes/winston_churchill_111309?src=t_marriage,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
Marriage is good for those who are afraid to sleep alone at night.,https://www.brainyquote.com/quotes/st_jerome_131217?src=t_marriage,St. Jerome,https://www.brainyquote.com/authors/st-jerome-quotes
"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.",https://www.brainyquote.com/quotes/martin_luther_151420?src=t_marriage,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
"When a man steals your wife, there is no better revenge than to let him keep her.",https://www.brainyquote.com/quotes/sacha_guitry_106599?src=t_marriage,Sacha Guitry,https://www.brainyquote.com/authors/sacha-guitry-quotes
A happy marriage is a long conversation which always seems too short.,https://www.brainyquote.com/quotes/andre_maurois_108305?src=t_marriage,Andre Maurois,https://www.brainyquote.com/authors/andre-maurois-quotes
The secret of a happy marriage remains a secret.,https://www.brainyquote.com/quotes/henny_youngman_106637?src=t_marriage,Henny Youngman,https://www.brainyquote.com/authors/henny-youngman-quotes
Marriages are made in heaven and consummated on Earth.,https://www.brainyquote.com/quotes/john_lyly_151494?src=t_marriage,John Lyly,https://www.brainyquote.com/authors/john-lyly-quotes
A good husband makes a good wife.,https://www.brainyquote.com/quotes/john_florio_395928?src=t_marriage,John Florio,https://www.brainyquote.com/authors/john-florio-quotes
"Keep your eyes wide open before marriage, half shut afterwards.",https://www.brainyquote.com/quotes/benjamin_franklin_123487?src=t_marriage,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"Marriage is like a cage; one sees the birds outside desperate to get in, and those inside equally desperate to get out.",https://www.brainyquote.com/quotes/michel_de_montaigne_125532?src=t_marriage,Michel de Montaigne,https://www.brainyquote.com/authors/michel-de-montaigne-quotes
"I married beneath me, all women do.",https://www.brainyquote.com/quotes/nancy_astor_108560?src=t_marriage,Nancy Astor,https://www.brainyquote.com/authors/nancy-astor-quotes
"Marriage is neither heaven nor hell, it is simply purgatory.",https://www.brainyquote.com/quotes/abraham_lincoln_132033?src=t_marriage,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"When a man opens a car door for his wife, it's either a new car or a new wife.",https://www.brainyquote.com/quotes/prince_philip_161789?src=t_marriage,Prince Philip,https://www.brainyquote.com/authors/prince-philip-quotes
One should always be in love. That is the reason one should never marry.,https://www.brainyquote.com/quotes/oscar_wilde_143462?src=t_marriage,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
Marriage is not about age; it's about finding the right person.,https://www.brainyquote.com/quotes/sophia_bush_197197?src=t_marriage,Sophia Bush,https://www.brainyquote.com/authors/sophia-bush-quotes
