quote,quote_url,author,author_url
The art of medicine consists in amusing the patient while nature cures the disease.,https://www.brainyquote.com/quotes/voltaire_106709?src=t_medical,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
Doctors will have more lives to answer for in the next world than even we generals.,https://www.brainyquote.com/quotes/napoleon_bonaparte_150165?src=t_medical,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
When I was born I was so ugly the doctor slapped my mother.,https://www.brainyquote.com/quotes/rodney_dangerfield_388325?src=t_medical,Rodney Dangerfield,https://www.brainyquote.com/authors/rodney-dangerfield-quotes
The good physician treats the disease; the great physician treats the patient who has the disease.,https://www.brainyquote.com/quotes/william_osler_386616?src=t_medical,William Osler,https://www.brainyquote.com/authors/william-osler-quotes
"The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity.",https://www.brainyquote.com/quotes/arthur_schopenhauer_387357?src=t_medical,Arthur Schopenhauer,https://www.brainyquote.com/authors/arthur-schopenhauer-quotes
"As a medical doctor, it is my duty to evaluate the situation with as much data as I can gather and as much expertise as I have and as much experience as I have to determine whether or not the wish of the patient is medically justified.",https://www.brainyquote.com/quotes/jack_kevorkian_226102?src=t_medical,Jack Kevorkian,https://www.brainyquote.com/authors/jack-kevorkian-quotes
Never go to a doctor whose office plants have died.,https://www.brainyquote.com/quotes/erma_bombeck_100082?src=t_medical,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
A hospital bed is a parked taxi with the meter running.,https://www.brainyquote.com/quotes/groucho_marx_115765?src=t_medical,Groucho Marx,https://www.brainyquote.com/authors/groucho-marx-quotes
Thinking of disease constantly will intensify it. Feel always 'I am healthily in body and mind'.,https://www.brainyquote.com/quotes/swami_sivananda_205121?src=t_medical,Swami Sivananda,https://www.brainyquote.com/authors/swami-sivananda-quotes
Time is generally the best doctor.,https://www.brainyquote.com/quotes/ovid_159339?src=t_medical,Ovid,https://www.brainyquote.com/authors/ovid-quotes
I am dying from the treatment of too many physicians.,https://www.brainyquote.com/quotes/alexander_the_great_148614?src=t_medical,Alexander the Great,https://www.brainyquote.com/authors/alexander-the-great-quotes
"Medicine is my lawful wife and literature my mistress; when I get tired of one, I spend the night with the other.",https://www.brainyquote.com/quotes/anton_chekhov_156270?src=t_medical,Anton Chekhov,https://www.brainyquote.com/authors/anton-chekhov-quotes
"Modern medicine is a negation of health. It isn't organized to serve human health, but only itself, as an institution. It makes more people sick than it heals.",https://www.brainyquote.com/quotes/ivan_illich_154565?src=t_medical,Ivan Illich,https://www.brainyquote.com/authors/ivan-illich-quotes
Walking is man's best medicine.,https://www.brainyquote.com/quotes/hippocrates_380084?src=t_medical,Hippocrates,https://www.brainyquote.com/authors/hippocrates-quotes
"For the mind disturbed, the still beauty of dawn is nature's finest balm.",https://www.brainyquote.com/quotes/edwin_way_teale_176389?src=t_medical,Edwin Way Teale,https://www.brainyquote.com/authors/edwin-way-teale-quotes
I told the doctor I broke my leg in two places. He told me to quit going to those places.,https://www.brainyquote.com/quotes/henny_youngman_164262?src=t_medical,Henny Youngman,https://www.brainyquote.com/authors/henny-youngman-quotes
"A physician is not angry at the intemperance of a mad patient, nor does he take it ill to be railed at by a man in fever. Just so should a wise man treat all mankind, as a physician does his patient, and look upon them only as sick and extravagant.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_132863?src=t_medical,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
"My doctor gave me six months to live, but when I couldn't pay the bill he gave me six months more.",https://www.brainyquote.com/quotes/walter_matthau_128897?src=t_medical,Walter Matthau,https://www.brainyquote.com/authors/walter-matthau-quotes
The greatest evil is physical pain.,https://www.brainyquote.com/quotes/saint_augustine_148547?src=t_medical,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
"We should be concerned not only about the health of individual patients, but also the health of our entire society.",https://www.brainyquote.com/quotes/ben_carson_481267?src=t_medical,Ben Carson,https://www.brainyquote.com/authors/ben-carson-quotes
A hospital is no place to be sick.,https://www.brainyquote.com/quotes/samuel_goldwyn_126649?src=t_medical,Samuel Goldwyn,https://www.brainyquote.com/authors/samuel-goldwyn-quotes
"Illness is the doctor to whom we pay most heed; to kindness, to knowledge, we make promise only; pain we obey.",https://www.brainyquote.com/quotes/marcel_proust_397945?src=t_medical,Marcel Proust,https://www.brainyquote.com/authors/marcel-proust-quotes
The doctors x-rayed my head and found nothing.,https://www.brainyquote.com/quotes/dizzy_dean_139590?src=t_medical,Dizzy Dean,https://www.brainyquote.com/authors/dizzy-dean-quotes
"As a surgeon you have to have a controlled arrogance. If it's uncontrolled, you kill people, but you have to be pretty arrogant to saw through a person's chest, take out their heart and believe you can fix it. Then, when you succeed and the patient survives, you pray, because it's only by the grace of God that you get there.",https://www.brainyquote.com/quotes/mehmet_oz_433805?src=t_medical,Mehmet Oz,https://www.brainyquote.com/authors/mehmet-oz-quotes
