quote,quote_url,author,author_url
"In the End, we will remember not the words of our enemies, but the silence of our friends.",https://www.brainyquote.com/quotes/martin_luther_king_jr_103571?src=t_memorial_day,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"Patriotism is supporting your country all the time, and your government when it deserves it.",https://www.brainyquote.com/quotes/mark_twain_386139?src=t_memorial_day,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
"My fellow Americans, ask not what your country can do for you, ask what you can do for your country.",https://www.brainyquote.com/quotes/john_f_kennedy_109213?src=t_memorial_day,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
Guard against the impostures of pretended patriotism.,https://www.brainyquote.com/quotes/george_washington_382162?src=t_memorial_day,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
"I love America more than any other country in this world, and, exactly for this reason, I insist on the right to criticize her perpetually.",https://www.brainyquote.com/quotes/james_baldwin_101128?src=t_memorial_day,James Baldwin,https://www.brainyquote.com/authors/james-baldwin-quotes
"Patriotism consists not in waving the flag, but in striving that our country shall be righteous as well as strong.",https://www.brainyquote.com/quotes/james_bryce_169355?src=t_memorial_day,James Bryce,https://www.brainyquote.com/authors/james-bryce-quotes
I only regret that I have but one life to lose for my country.,https://www.brainyquote.com/quotes/nathan_hale_161330?src=t_memorial_day,Nathan Hale,https://www.brainyquote.com/authors/nathan-hale-quotes
There is nothing wrong with America that cannot be cured with what is right in America.,https://www.brainyquote.com/quotes/william_j_clinton_101130?src=t_memorial_day,William J. Clinton,https://www.brainyquote.com/authors/william-j-clinton-quotes
"Memorial Day isn't just about honoring veterans, its honoring those who lost their lives. Veterans had the fortune of coming home. For us, that's a reminder of when we come home we still have a responsibility to serve. It's a continuation of service that honors our country and those who fell defending it.",https://www.brainyquote.com/quotes/pete_hegseth_525241?src=t_memorial_day,Pete Hegseth,https://www.brainyquote.com/authors/pete-hegseth-quotes
"Man is a military animal, glories in gunpowder, and loves parade.",https://www.brainyquote.com/quotes/philip_james_bailey_391806?src=t_memorial_day,Philip James Bailey,https://www.brainyquote.com/authors/philip-james-bailey-quotes
Who sows virtue reaps honor.,https://www.brainyquote.com/quotes/leonardo_da_vinci_124544?src=t_memorial_day,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
The willingness of America's veterans to sacrifice for our country has earned them our lasting gratitude.,https://www.brainyquote.com/quotes/jeff_miller_299564?src=t_memorial_day,Jeff Miller,https://www.brainyquote.com/authors/jeff-miller-quotes
Memorial Day this year is especially important as we are reminded almost daily of the great sacrifices that the men and women of the Armed Services make to defend our way of life.,https://www.brainyquote.com/quotes/robin_hayes_338106?src=t_memorial_day,Robin Hayes,https://www.brainyquote.com/authors/robin-hayes-quotes
"A man's country is not a certain area of land, of mountains, rivers, and woods, but it is a principle and patriotism is loyalty to that principle.",https://www.brainyquote.com/quotes/george_william_curtis_107018?src=t_memorial_day,George William Curtis,https://www.brainyquote.com/authors/george-william-curtis-quotes
"What I can do for my country, I am willing to do.",https://www.brainyquote.com/quotes/christopher_gadsden_362319?src=t_memorial_day,Christopher Gadsden,https://www.brainyquote.com/authors/christopher-gadsden-quotes
These fallen heroes represent the character of a nation who has a long history of patriotism and honor - and a nation who has fought many battles to keep our country free from threats of terror.,https://www.brainyquote.com/quotes/michael_n_castle_236041?src=t_memorial_day,Michael N. Castle,https://www.brainyquote.com/authors/michael-n-castle-quotes
Patriotism was a living fire of unquestioned belief and purpose.,https://www.brainyquote.com/quotes/frank_knox_195293?src=t_memorial_day,Frank Knox,https://www.brainyquote.com/authors/frank-knox-quotes
True patriotism isn't cheap. It's about taking on a fair share of the burden of keeping America going.,https://www.brainyquote.com/quotes/robert_reich_409444?src=t_memorial_day,Robert Reich,https://www.brainyquote.com/authors/robert-reich-quotes
