quote,quote_url,author,author_url
A gentleman is simply a patient wolf.,https://www.brainyquote.com/quotes/lana_turner_127055?src=t_men,Lana Turner,https://www.brainyquote.com/authors/lana-turner-quotes
Waste no more time arguing about what a good man should be. Be one.,https://www.brainyquote.com/quotes/marcus_aurelius_383650?src=t_men,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
The greatest deception men suffer is from their own opinions.,https://www.brainyquote.com/quotes/leonardo_da_vinci_383004?src=t_men,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
"'Tis easy enough to be pleasant, When life flows along like a song; But the man worth while is the one who will smile when everything goes dead wrong.",https://www.brainyquote.com/quotes/ella_wheeler_wilcox_146980?src=t_men,Ella Wheeler Wilcox,https://www.brainyquote.com/authors/ella-wheeler-wilcox-quotes
Neutral men are the devil's allies.,https://www.brainyquote.com/quotes/edwin_hubbel_chapin_137501?src=t_men,Edwin Hubbel Chapin,https://www.brainyquote.com/authors/edwin-hubbel-chapin-quotes
"The less men think, the more they talk.",https://www.brainyquote.com/quotes/montesquieu_379738?src=t_men,Montesquieu,https://www.brainyquote.com/authors/montesquieu-quotes
Men aren't necessities. They're luxuries.,https://www.brainyquote.com/quotes/cher_182931?src=t_men,Cher,https://www.brainyquote.com/authors/cher-quotes
The true index of a man's character is the health of his wife.,https://www.brainyquote.com/quotes/cyril_connolly_165923?src=t_men,Cyril Connolly,https://www.brainyquote.com/authors/cyril-connolly-quotes
"Men are like steel. When they lose their temper, they lose their worth.",https://www.brainyquote.com/quotes/chuck_norris_142849?src=t_men,Chuck Norris,https://www.brainyquote.com/authors/chuck-norris-quotes
"Passion makes idiots of the cleverest men, and makes the biggest idiots clever.",https://www.brainyquote.com/quotes/francois_de_la_rochefouca_151052?src=t_men,Francois de La Rochefoucauld,https://www.brainyquote.com/authors/francois-de-la-rochefouca-quotes
Honor is simply the morality of superior men.,https://www.brainyquote.com/quotes/h_l_mencken_157536?src=t_men,H. L. Mencken,https://www.brainyquote.com/authors/h-l-mencken-quotes
Culture makes all men gentle.,https://www.brainyquote.com/quotes/menander_178106?src=t_men,Menander,https://www.brainyquote.com/authors/menander-quotes
"If you have men who will exclude any of God's creatures from the shelter of compassion and pity, you will have men who will deal likewise with their fellow men.",https://www.brainyquote.com/quotes/francis_of_assisi_104101?src=t_men,Francis of Assisi,https://www.brainyquote.com/authors/francis-of-assisi-quotes
Every man is a volume if you know how to read him.,https://www.brainyquote.com/quotes/william_ellery_channing_133579?src=t_men,William Ellery Channing,https://www.brainyquote.com/authors/william-ellery-channing-quotes
Men do not fail; they give up trying.,https://www.brainyquote.com/quotes/elihu_root_387769?src=t_men,Elihu Root,https://www.brainyquote.com/authors/elihu-root-quotes
"It is the privilege of the gods to want nothing, and of godlike men to want little.",https://www.brainyquote.com/quotes/diogenes_385349?src=t_men,Diogenes,https://www.brainyquote.com/authors/diogenes-quotes
"Stronger by weakness, wiser men become.",https://www.brainyquote.com/quotes/edmund_waller_201162?src=t_men,Edmund Waller,https://www.brainyquote.com/authors/edmund-waller-quotes
Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,https://www.brainyquote.com/quotes/mahatma_gandhi_160799?src=t_men,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
Luck is not something you can mention in the presence of self-made men.,https://www.brainyquote.com/quotes/e_b_white_138934?src=t_men,E. B. White,https://www.brainyquote.com/authors/e-b-white-quotes
"Every man needs two women: a quiet home-maker, and a thrilling nymph.",https://www.brainyquote.com/quotes/iris_murdoch_383811?src=t_men,Iris Murdoch,https://www.brainyquote.com/authors/iris-murdoch-quotes
Men must know their limitations.,https://www.brainyquote.com/quotes/clint_eastwood_379793?src=t_men,Clint Eastwood,https://www.brainyquote.com/authors/clint-eastwood-quotes
Men do not quit playing because they grow old; they grow old because they quit playing.,https://www.brainyquote.com/quotes/oliver_wendell_holmes_sr_103915?src=t_men,"Oliver Wendell Holmes, Sr.",https://www.brainyquote.com/authors/oliver-wendell-holmes-sr-quotes
"Whatever makes men good Christians, makes them good citizens.",https://www.brainyquote.com/quotes/daniel_webster_399876?src=t_men,Daniel Webster,https://www.brainyquote.com/authors/daniel-webster-quotes
I am an agnostic; I do not pretend to know what many ignorant men are sure of.,https://www.brainyquote.com/quotes/clarence_darrow_154023?src=t_men,Clarence Darrow,https://www.brainyquote.com/authors/clarence-darrow-quotes
Men don't care what's on TV. They only care what else is on TV.,https://www.brainyquote.com/quotes/jerry_seinfeld_406138?src=t_men,Jerry Seinfeld,https://www.brainyquote.com/authors/jerry-seinfeld-quotes
Treat all men alike. Give them the same law. Give them an even chance to live and grow.,https://www.brainyquote.com/quotes/chief_joseph_280237?src=t_men,Chief Joseph,https://www.brainyquote.com/authors/chief-joseph-quotes
A bachelor is a guy who never made the same mistake once.,https://www.brainyquote.com/quotes/phyllis_diller_382536?src=t_men,Phyllis Diller,https://www.brainyquote.com/authors/phyllis-diller-quotes
