quote,quote_url,author,author_url
"My mother said to me, 'If you are a soldier, you will become a general. If you are a monk, you will become the Pope.' Instead, I was a painter, and became Picasso.",https://www.brainyquote.com/quotes/pablo_picasso_128290?src=t_mom,Pablo Picasso,https://www.brainyquote.com/authors/pablo-picasso-quotes
"Having children is my greatest achievement. It was my saviour. It switched my focus from the outside to the inside. My children are gifts, they remind me of what's important.",https://www.brainyquote.com/quotes/elle_macpherson_330373?src=t_mom,Elle Macpherson,https://www.brainyquote.com/authors/elle-macpherson-quotes
An ounce of mother is worth a pound of clergy.,https://www.brainyquote.com/quotes/rudyard_kipling_162794?src=t_mom,Rudyard Kipling,https://www.brainyquote.com/authors/rudyard-kipling-quotes
"When you are a mother, you are never really alone in your thoughts. A mother always has to think twice, once for herself and once for her child.",https://www.brainyquote.com/quotes/sophia_loren_106851?src=t_mom,Sophia Loren,https://www.brainyquote.com/authors/sophia-loren-quotes
"My mother had a great deal of trouble with me, but I think she enjoyed it.",https://www.brainyquote.com/quotes/mark_twain_137899?src=t_mom,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Mothers are fonder than fathers of their children because they are more certain they are their own.,https://www.brainyquote.com/quotes/aristotle_106852?src=t_mom,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"When your mother asks, 'Do you want a piece of advice?' it is a mere formality. It doesn't matter if you answer yes or no. You're going to get it anyway.",https://www.brainyquote.com/quotes/erma_bombeck_136556?src=t_mom,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
"That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.",https://www.brainyquote.com/quotes/lauryn_hill_328441?src=t_mom,Lauryn Hill,https://www.brainyquote.com/authors/lauryn-hill-quotes
Men are what their mothers made them.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_163760?src=t_mom,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,https://www.brainyquote.com/quotes/honore_de_balzac_145948?src=t_mom,Honore de Balzac,https://www.brainyquote.com/authors/honore-de-balzac-quotes
My mother thinks I am the best. And I was raised to always believe what my mother tells me.,https://www.brainyquote.com/quotes/diego_maradona_418709?src=t_mom,Diego Maradona,https://www.brainyquote.com/authors/diego-maradona-quotes
"My mother used to tell me man gives the award, God gives the reward. I don't need another plaque.",https://www.brainyquote.com/quotes/denzel_washington_337090?src=t_mom,Denzel Washington,https://www.brainyquote.com/authors/denzel-washington-quotes
"Sweater, n.: garment worn by child when its mother is feeling chilly.",https://www.brainyquote.com/quotes/ambrose_bierce_106850?src=t_mom,Ambrose Bierce,https://www.brainyquote.com/authors/ambrose-bierce-quotes
Motherhood is the greatest thing and the hardest thing.,https://www.brainyquote.com/quotes/ricki_lake_418440?src=t_mom,Ricki Lake,https://www.brainyquote.com/authors/ricki-lake-quotes
"Motherhood is a great honor and privilege, yet it is also synonymous with servanthood. Every day women are called upon to selflessly meet the needs of their families. Whether they are awake at night nursing a baby, spending their time and money on less-than-grateful teenagers, or preparing meals, moms continuously put others before themselves.",https://www.brainyquote.com/quotes/charles_stanley_451704?src=t_mom,Charles Stanley,https://www.brainyquote.com/authors/charles-stanley-quotes
"The natural state of motherhood is unselfishness. When you become a mother, you are no longer the center of your own universe. You relinquish that position to your children.",https://www.brainyquote.com/quotes/jessica_lange_364785?src=t_mom,Jessica Lange,https://www.brainyquote.com/authors/jessica-lange-quotes
"How simple a thing it seems to me that to know ourselves as we are, we must know our mothers names.",https://www.brainyquote.com/quotes/alice_walker_146803?src=t_mom,Alice Walker,https://www.brainyquote.com/authors/alice-walker-quotes
My mother taught me to treat a lady respectfully.,https://www.brainyquote.com/quotes/chris_brown_410549?src=t_mom,Chris Brown,https://www.brainyquote.com/authors/chris-brown-quotes
Only God Himself fully appreciates the influence of a Christian mother in the molding of character in her children.,https://www.brainyquote.com/quotes/billy_graham_389508?src=t_mom,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
