quote,quote_url,author,author_url
A nation that continues year after year to spend more money on military defense than on programs of social uplift is approaching spiritual doom.,https://www.brainyquote.com/quotes/martin_luther_king_jr_138301?src=t_money,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
When I was young I thought that money was the most important thing in life; now that I am old I know that it is.,https://www.brainyquote.com/quotes/oscar_wilde_106826?src=t_money,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"Friendship is like money, easier made than kept.",https://www.brainyquote.com/quotes/samuel_butler_121431?src=t_money,Samuel Butler,https://www.brainyquote.com/authors/samuel-butler-quotes
A bank is a place that will lend you money if you can prove that you don't need it.,https://www.brainyquote.com/quotes/bob_hope_161800?src=t_money,Bob Hope,https://www.brainyquote.com/authors/bob-hope-quotes
The lack of money is the root of all evil.,https://www.brainyquote.com/quotes/mark_twain_397078?src=t_money,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
My pride fell with my fortunes.,https://www.brainyquote.com/quotes/william_shakespeare_125972?src=t_money,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
There's no such thing as a free lunch.,https://www.brainyquote.com/quotes/milton_friedman_141778?src=t_money,Milton Friedman,https://www.brainyquote.com/authors/milton-friedman-quotes
Never spend your money before you have earned it.,https://www.brainyquote.com/quotes/thomas_jefferson_165957?src=t_money,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
A rich man is nothing but a poor man with money.,https://www.brainyquote.com/quotes/w_c_fields_106833?src=t_money,W. C. Fields,https://www.brainyquote.com/authors/w-c-fields-quotes
Greed is not a financial issue. It's a heart issue.,https://www.brainyquote.com/quotes/andy_stanley_568747?src=t_money,Andy Stanley,https://www.brainyquote.com/authors/andy-stanley-quotes
Wealth flows from energy and ideas.,https://www.brainyquote.com/quotes/william_feather_122877?src=t_money,William Feather,https://www.brainyquote.com/authors/william-feather-quotes
A fool and his money are soon parted.,https://www.brainyquote.com/quotes/thomas_tusser_101875?src=t_money,Thomas Tusser,https://www.brainyquote.com/authors/thomas-tusser-quotes
Do what you love and the money will follow.,https://www.brainyquote.com/quotes/marsha_sinetar_137521?src=t_money,Marsha Sinetar,https://www.brainyquote.com/authors/marsha-sinetar-quotes
"Money won't create success, the freedom to make it will.",https://www.brainyquote.com/quotes/nelson_mandela_178792?src=t_money,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
