quote,quote_url,author,author_url
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",https://www.brainyquote.com/quotes/st_jerome_389605?src=t_motivational,St. Jerome,https://www.brainyquote.com/authors/st-jerome-quotes
It always seems impossible until it's done.,https://www.brainyquote.com/quotes/nelson_mandela_378967?src=t_motivational,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
Life is 10% what happens to you and 90% how you react to it.,https://www.brainyquote.com/quotes/charles_r_swindoll_388332?src=t_motivational,Charles R. Swindoll,https://www.brainyquote.com/authors/charles-r-swindoll-quotes
"When something is important enough, you do it even if the odds are not in your favor.",https://www.brainyquote.com/quotes/elon_musk_567219?src=t_motivational,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
Start where you are. Use what you have. Do what you can.,https://www.brainyquote.com/quotes/arthur_ashe_371527?src=t_motivational,Arthur Ashe,https://www.brainyquote.com/authors/arthur-ashe-quotes
"If you're going through hell, keep going.",https://www.brainyquote.com/quotes/winston_churchill_103788?src=t_motivational,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
With the new day comes new strength and new thoughts.,https://www.brainyquote.com/quotes/eleanor_roosevelt_143006?src=t_motivational,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,https://www.brainyquote.com/quotes/samuel_beckett_121335?src=t_motivational,Samuel Beckett,https://www.brainyquote.com/authors/samuel-beckett-quotes
"If you can dream it, you can do it.",https://www.brainyquote.com/quotes/walt_disney_130027?src=t_motivational,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
Don't watch the clock; do what it does. Keep going.,https://www.brainyquote.com/quotes/sam_levenson_166055?src=t_motivational,Sam Levenson,https://www.brainyquote.com/authors/sam-levenson-quotes
"If you fell down yesterday, stand up today.",https://www.brainyquote.com/quotes/h_g_wells_163592?src=t_motivational,H. G. Wells,https://www.brainyquote.com/authors/h-g-wells-quotes
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,https://www.brainyquote.com/quotes/ken_venturi_124452?src=t_motivational,Ken Venturi,https://www.brainyquote.com/authors/ken-venturi-quotes
"Aim for the moon. If you miss, you may hit a star.",https://www.brainyquote.com/quotes/w_clement_stone_137807?src=t_motivational,W. Clement Stone,https://www.brainyquote.com/authors/w-clement-stone-quotes
Only I can change my life. No one can do it for me.,https://www.brainyquote.com/quotes/carol_burnett_371189?src=t_motivational,Carol Burnett,https://www.brainyquote.com/authors/carol-burnett-quotes
It does not matter how slowly you go as long as you do not stop.,https://www.brainyquote.com/quotes/confucius_140908?src=t_motivational,Confucius,https://www.brainyquote.com/authors/confucius-quotes
I attribute my success to this - I never gave or took any excuse.,https://www.brainyquote.com/quotes/florence_nightingale_391864?src=t_motivational,Florence Nightingale,https://www.brainyquote.com/authors/florence-nightingale-quotes
"Set your goals high, and don't stop till you get there.",https://www.brainyquote.com/quotes/bo_jackson_129219?src=t_motivational,Bo Jackson,https://www.brainyquote.com/authors/bo-jackson-quotes
A good plan violently executed now is better than a perfect plan executed next week.,https://www.brainyquote.com/quotes/george_s_patton_138200?src=t_motivational,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
Failure will never overtake me if my determination to succeed is strong enough.,https://www.brainyquote.com/quotes/og_mandino_157864?src=t_motivational,Og Mandino,https://www.brainyquote.com/authors/og-mandino-quotes
You can't expect to hit the jackpot if you don't put a few nickels in the machine.,https://www.brainyquote.com/quotes/flip_wilson_102466?src=t_motivational,Flip Wilson,https://www.brainyquote.com/authors/flip-wilson-quotes
