quote,quote_url,author,author_url
Cinema is the most beautiful fraud in the world.,https://www.brainyquote.com/quotes/jeanluc_godard_161264?src=t_movies,Jean-Luc Godard,https://www.brainyquote.com/authors/jean-luc-godard-quotes
"If you want a happy ending, that depends, of course, on where you stop your story.",https://www.brainyquote.com/quotes/orson_welles_162035?src=t_movies,Orson Welles,https://www.brainyquote.com/authors/orson-welles-quotes
Cinema is a matter of what's in the frame and what's out.,https://www.brainyquote.com/quotes/martin_scorsese_164712?src=t_movies,Martin Scorsese,https://www.brainyquote.com/authors/martin-scorsese-quotes
"I think cinema, movies, and magic have always been closely associated. The very earliest people who made film were magicians.",https://www.brainyquote.com/quotes/francis_ford_coppola_314459?src=t_movies,Francis Ford Coppola,https://www.brainyquote.com/authors/francis-ford-coppola-quotes
The sound and music are 50% of the entertainment in a movie.,https://www.brainyquote.com/quotes/george_lucas_462198?src=t_movies,George Lucas,https://www.brainyquote.com/authors/george-lucas-quotes
"When people ask me if I went to film school I tell them, 'no, I went to films.'",https://www.brainyquote.com/quotes/quentin_tarantino_454785?src=t_movies,Quentin Tarantino,https://www.brainyquote.com/authors/quentin-tarantino-quotes
"A film is - or should be - more like music than like fiction. It should be a progression of moods and feelings. The theme, what's behind the emotion, the meaning, all that comes later.",https://www.brainyquote.com/quotes/stanley_kubrick_161304?src=t_movies,Stanley Kubrick,https://www.brainyquote.com/authors/stanley-kubrick-quotes
Movies are like an expensive form of therapy for me.,https://www.brainyquote.com/quotes/tim_burton_179842?src=t_movies,Tim Burton,https://www.brainyquote.com/authors/tim-burton-quotes
"You know what your problem is, it's that you haven't seen enough movies - all of life's riddles are answered in the movies.",https://www.brainyquote.com/quotes/steve_martin_133263?src=t_movies,Steve Martin,https://www.brainyquote.com/authors/steve-martin-quotes
Filmmaking is a chance to live many lifetimes.,https://www.brainyquote.com/quotes/robert_altman_164577?src=t_movies,Robert Altman,https://www.brainyquote.com/authors/robert-altman-quotes
