quote,quote_url,author,author_url
In three words I can sum up everything I've learned about life: it goes on.,https://www.brainyquote.com/quotes/robert_frost_101059?src=t_moving_on,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.",https://www.brainyquote.com/quotes/walter_anderson_183075?src=t_moving_on,Walter Anderson,https://www.brainyquote.com/authors/walter-anderson-quotes
Every new beginning comes from some other beginning's end.,https://www.brainyquote.com/quotes/seneca_405078?src=t_moving_on,Seneca,https://www.brainyquote.com/authors/seneca-quotes
"Every day is a new day, and you'll never be able to find happiness if you don't move on.",https://www.brainyquote.com/quotes/carrie_underwood_471334?src=t_moving_on,Carrie Underwood,https://www.brainyquote.com/authors/carrie-underwood-quotes
"If you carry joy in your heart, you can heal any moment.",https://www.brainyquote.com/quotes/carlos_santana_454496?src=t_moving_on,Carlos Santana,https://www.brainyquote.com/authors/carlos-santana-quotes
"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.",https://www.brainyquote.com/quotes/khalil_gibran_143033?src=t_moving_on,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",https://www.brainyquote.com/quotes/johnny_cash_188009?src=t_moving_on,Johnny Cash,https://www.brainyquote.com/authors/johnny-cash-quotes
"It is by going down into the abyss that we recover the treasures of life. Where you stumble, there lies your treasure.",https://www.brainyquote.com/quotes/joseph_campbell_391580?src=t_moving_on,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.",https://www.brainyquote.com/quotes/theodore_roosevelt_147887?src=t_moving_on,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
Blessed are the hearts that can bend; they shall never be broken.,https://www.brainyquote.com/quotes/albert_camus_383482?src=t_moving_on,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.",https://www.brainyquote.com/quotes/dave_pelzer_204767?src=t_moving_on,Dave Pelzer,https://www.brainyquote.com/authors/dave-pelzer-quotes
