quote,quote_url,author,author_url
"One good thing about music, when it hits you, you feel no pain.",https://www.brainyquote.com/quotes/bob_marley_109299?src=t_music,Bob Marley,https://www.brainyquote.com/authors/bob-marley-quotes
"Where words fail, music speaks.",https://www.brainyquote.com/quotes/hans_christian_andersen_192604?src=t_music,Hans Christian Andersen,https://www.brainyquote.com/authors/hans-christian-andersen-quotes
"Music should strike fire from the heart of man, and bring tears from the eyes of woman.",https://www.brainyquote.com/quotes/ludwig_van_beethoven_165578?src=t_music,Ludwig van Beethoven,https://www.brainyquote.com/authors/ludwig-van-beethoven-quotes
Music washes away from the soul the dust of everyday life.,https://www.brainyquote.com/quotes/berthold_auerbach_106857?src=t_music,Berthold Auerbach,https://www.brainyquote.com/authors/berthold-auerbach-quotes
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",https://www.brainyquote.com/quotes/plato_109438?src=t_music,Plato,https://www.brainyquote.com/authors/plato-quotes
"I think music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.",https://www.brainyquote.com/quotes/billy_joel_133275?src=t_music,Billy Joel,https://www.brainyquote.com/authors/billy-joel-quotes
"Without music, life would be a mistake.",https://www.brainyquote.com/quotes/friedrich_nietzsche_102457?src=t_music,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"After silence, that which comes nearest to expressing the inexpressible is music.",https://www.brainyquote.com/quotes/aldous_huxley_106874?src=t_music,Aldous Huxley,https://www.brainyquote.com/authors/aldous-huxley-quotes
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,https://www.brainyquote.com/quotes/maya_angelou_106861?src=t_music,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"I've said that playing the blues is like having to be black twice. Stevie Ray Vaughan missed on both counts, but I never noticed.",https://www.brainyquote.com/quotes/b_b_king_102588?src=t_music,B. B. King,https://www.brainyquote.com/authors/b-b-king-quotes
Music is the soundtrack of your life.,https://www.brainyquote.com/quotes/dick_clark_133272?src=t_music,Dick Clark,https://www.brainyquote.com/authors/dick-clark-quotes
Music expresses that which cannot be said and on which it is impossible to be silent.,https://www.brainyquote.com/quotes/victor_hugo_106867?src=t_music,Victor Hugo,https://www.brainyquote.com/authors/victor-hugo-quotes
"Music doesn't lie. If there is something to be changed in this world, then it can only happen through music.",https://www.brainyquote.com/quotes/jimi_hendrix_195416?src=t_music,Jimi Hendrix,https://www.brainyquote.com/authors/jimi-hendrix-quotes
"Music is God's gift to man, the only art of Heaven given to earth, the only art of earth we take to Heaven.",https://www.brainyquote.com/quotes/walter_savage_landor_100837?src=t_music,Walter Savage Landor,https://www.brainyquote.com/authors/walter-savage-landor-quotes
Music is the strongest form of magic.,https://www.brainyquote.com/quotes/marilyn_manson_380347?src=t_music,Marilyn Manson,https://www.brainyquote.com/authors/marilyn-manson-quotes
Music can change the world because it can change people.,https://www.brainyquote.com/quotes/bono_141199?src=t_music,Bono,https://www.brainyquote.com/authors/bono-quotes
Music is moonlight in the gloomy night of life.,https://www.brainyquote.com/quotes/jean_paul_106876?src=t_music,Jean Paul,https://www.brainyquote.com/authors/jean-paul-quotes
"It is cruel, you know, that music should be so beautiful. It has the beauty of loneliness of pain: of strength and freedom. The beauty of disappointment and never-satisfied love. The cruel beauty of nature and everlasting beauty of monotony.",https://www.brainyquote.com/quotes/benjamin_britten_139048?src=t_music,Benjamin Britten,https://www.brainyquote.com/authors/benjamin-britten-quotes
The world's most famous and popular language is music.,https://www.brainyquote.com/quotes/psy_475679?src=t_music,Psy,https://www.brainyquote.com/authors/psy-quotes
"Music is the divine way to tell beautiful, poetic things to the heart.",https://www.brainyquote.com/quotes/pablo_casals_100781?src=t_music,Pablo Casals,https://www.brainyquote.com/authors/pablo-casals-quotes
You are the music while the music lasts.,https://www.brainyquote.com/quotes/t_s_eliot_106865?src=t_music,T. S. Eliot,https://www.brainyquote.com/authors/t-s-eliot-quotes
I don't make music for eyes. I make music for ears.,https://www.brainyquote.com/quotes/adele_421406?src=t_music,Adele,https://www.brainyquote.com/authors/adele-quotes
Music is the shorthand of emotion.,https://www.brainyquote.com/quotes/leo_tolstoy_106870?src=t_music,Leo Tolstoy,https://www.brainyquote.com/authors/leo-tolstoy-quotes
"When words leave off, music begins.",https://www.brainyquote.com/quotes/heinrich_heine_133268?src=t_music,Heinrich Heine,https://www.brainyquote.com/authors/heinrich-heine-quotes
Music is love in search of a word.,https://www.brainyquote.com/quotes/sidney_lanier_106875?src=t_music,Sidney Lanier,https://www.brainyquote.com/authors/sidney-lanier-quotes
"If you want to be a rock star or just be famous, then run down the street naked, you'll make the news or something. But if you want music to be your livelihood, then play, play, play and play! And eventually you'll get to where you want to be.",https://www.brainyquote.com/quotes/eddie_van_halen_435147?src=t_music,Eddie Van Halen,https://www.brainyquote.com/authors/eddie-van-halen-quotes
The wise musicians are those who play what they can master.,https://www.brainyquote.com/quotes/duke_ellington_167448?src=t_music,Duke Ellington,https://www.brainyquote.com/authors/duke-ellington-quotes
Beautiful music is the art of the prophets that can calm the agitations of the soul; it is one of the most magnificent and delightful presents God has given us.,https://www.brainyquote.com/quotes/martin_luther_401125?src=t_music,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
There are more love songs than anything else. If songs could make you do something we'd all love one another.,https://www.brainyquote.com/quotes/frank_zappa_133271?src=t_music,Frank Zappa,https://www.brainyquote.com/authors/frank-zappa-quotes
"For me, singing sad songs often has a way of healing a situation. It gets the hurt out in the open into the light, out of the darkness.",https://www.brainyquote.com/quotes/reba_mcentire_163526?src=t_music,Reba McEntire,https://www.brainyquote.com/authors/reba-mcentire-quotes
"Music is forever; music should grow and mature with you, following you right on up until you die.",https://www.brainyquote.com/quotes/paul_simon_133273?src=t_music,Paul Simon,https://www.brainyquote.com/authors/paul-simon-quotes
Music should be your escape.,https://www.brainyquote.com/quotes/missy_elliott_279169?src=t_music,Missy Elliott,https://www.brainyquote.com/authors/missy-elliott-quotes
Music is well said to be the speech of angels.,https://www.brainyquote.com/quotes/thomas_carlyle_131259?src=t_music,Thomas Carlyle,https://www.brainyquote.com/authors/thomas-carlyle-quotes
