quote,quote_url,author,author_url
"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.",https://www.brainyquote.com/quotes/benjamin_franklin_141046?src=t_new_year's,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
And now we welcome the new year. Full of things that have never been.,https://www.brainyquote.com/quotes/rainer_maria_rilke_676230?src=t_new_year's,Rainer Maria Rilke,https://www.brainyquote.com/authors/rainer-maria-rilke-quotes
"The new year stands before us, like a chapter in a book, waiting to be written. We can help write that story by setting goals.",https://www.brainyquote.com/quotes/melody_beattie_676229?src=t_new_year's,Melody Beattie,https://www.brainyquote.com/authors/melody-beattie-quotes
"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.",https://www.brainyquote.com/quotes/helen_keller_392962?src=t_new_year's,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
Cheers to a new year and another chance for us to get it right.,https://www.brainyquote.com/quotes/oprah_winfrey_676234?src=t_new_year's,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
Write it on your heart that every day is the best day in the year.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_104452?src=t_new_year's,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
"I hope that in this year to come, you make mistakes. Because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something.",https://www.brainyquote.com/quotes/neil_gaiman_676237?src=t_new_year's,Neil Gaiman,https://www.brainyquote.com/authors/neil-gaiman-quotes
"Hope smiles from the threshold of the year to come, whispering, 'It will be happier.'",https://www.brainyquote.com/quotes/alfred_lord_tennyson_676236?src=t_new_year's,Alfred Lord Tennyson,https://www.brainyquote.com/authors/alfred-lord-tennyson-quotes
Take a leap of faith and begin this wondrous new year by believing. Believe in yourself. And believe that there is a loving Source - a Sower of Dreams - just waiting to be asked to help you make your dreams come true.,https://www.brainyquote.com/quotes/sarah_ban_breathnach_676232?src=t_new_year's,Sarah Ban Breathnach,https://www.brainyquote.com/authors/sarah-ban-breathnach-quotes
Character is the ability to carry out a good resolution long after the excitement of the moment has passed.,https://www.brainyquote.com/quotes/cavett_robert_389676?src=t_new_year's,Cavett Robert,https://www.brainyquote.com/authors/cavett-robert-quotes
Celebrate what you want to see more of.,https://www.brainyquote.com/quotes/tom_peters_166169?src=t_new_year's,Tom Peters,https://www.brainyquote.com/authors/tom-peters-quotes
"First you take a drink, then the drink takes a drink, then the drink takes you.",https://www.brainyquote.com/quotes/f_scott_fitzgerald_103951?src=t_new_year's,F. Scott Fitzgerald,https://www.brainyquote.com/authors/f-scott-fitzgerald-quotes
"Every time you tear a leaf off a calendar, you present a new place for new ideas and progress.",https://www.brainyquote.com/quotes/charles_kettering_181217?src=t_new_year's,Charles Kettering,https://www.brainyquote.com/authors/charles-kettering-quotes
"Let our New Year's resolution be this: we will be there for one another as fellow members of humanity, in the finest sense of the word.",https://www.brainyquote.com/quotes/goran_persson_178599?src=t_new_year's,Goran Persson,https://www.brainyquote.com/authors/goran-persson-quotes
"The object of a New Year is not that we should have a new year. It is that we should have a new soul and a new nose; new feet, a new backbone, new ears, and new eyes. Unless a particular man made New Year resolutions, he would make no resolutions. Unless a man starts afresh about things, he will certainly do nothing effective.",https://www.brainyquote.com/quotes/gilbert_k_chesterton_676238?src=t_new_year's,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
"I think in terms of the day's resolutions, not the years'.",https://www.brainyquote.com/quotes/henry_moore_107079?src=t_new_year's,Henry Moore,https://www.brainyquote.com/authors/henry-moore-quotes
Accept what people offer. Drink their milkshakes. Take their love.,https://www.brainyquote.com/quotes/wally_lamb_204001?src=t_new_year's,Wally Lamb,https://www.brainyquote.com/authors/wally-lamb-quotes
"Resolution One: I will live for God. Resolution Two: If no one else does, I still will.",https://www.brainyquote.com/quotes/jonathan_edwards_192671?src=t_new_year's,Jonathan Edwards,https://www.brainyquote.com/authors/jonathan-edwards-quotes
"Year's end is neither an end nor a beginning but a going on, with all the wisdom that experience can instill in us.",https://www.brainyquote.com/quotes/hal_borland_676233?src=t_new_year's,Hal Borland,https://www.brainyquote.com/authors/hal-borland-quotes
What I like to drink most is wine that belongs to others.,https://www.brainyquote.com/quotes/diogenes_128399?src=t_new_year's,Diogenes,https://www.brainyquote.com/authors/diogenes-quotes
"A year from now, you're gonna weigh more or less than what you do right now.",https://www.brainyquote.com/quotes/phil_mcgraw_204621?src=t_new_year's,Phil McGraw,https://www.brainyquote.com/authors/phil-mcgraw-quotes
"At a dinner party one should eat wisely but not too well, and talk well but not too wisely.",https://www.brainyquote.com/quotes/w_somerset_maugham_397144?src=t_new_year's,W. Somerset Maugham,https://www.brainyquote.com/authors/w-somerset-maugham-quotes
"Come, gentlemen, I hope we shall drink down all unkindness.",https://www.brainyquote.com/quotes/william_shakespeare_394960?src=t_new_year's,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Sometimes too much to drink is barely enough.,https://www.brainyquote.com/quotes/mark_twain_100058?src=t_new_year's,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Each age has deemed the new-born year the fittest time for festal cheer.,https://www.brainyquote.com/quotes/walter_scott_155492?src=t_new_year's,Walter Scott,https://www.brainyquote.com/authors/walter-scott-quotes
Strange to see how a good dinner and feasting reconciles everybody.,https://www.brainyquote.com/quotes/samuel_pepys_159507?src=t_new_year's,Samuel Pepys,https://www.brainyquote.com/authors/samuel-pepys-quotes
"If you asked me for my New Year Resolution, it would be to find out who I am.",https://www.brainyquote.com/quotes/cyril_cusack_301655?src=t_new_year's,Cyril Cusack,https://www.brainyquote.com/authors/cyril-cusack-quotes
"All of us every single year, we're a different person. I don't think we're the same person all our lives.",https://www.brainyquote.com/quotes/steven_spielberg_368876?src=t_new_year's,Steven Spielberg,https://www.brainyquote.com/authors/steven-spielberg-quotes
"New Year's Resolution: To tolerate fools more gladly, provided this does not encourage them to take up more of my time.",https://www.brainyquote.com/quotes/james_agate_406088?src=t_new_year's,James Agate,https://www.brainyquote.com/authors/james-agate-quotes
New Year's Day is every man's birthday.,https://www.brainyquote.com/quotes/charles_lamb_379743?src=t_new_year's,Charles Lamb,https://www.brainyquote.com/authors/charles-lamb-quotes
I never worry about being driven to drink; I just worry about being driven home.,https://www.brainyquote.com/quotes/w_c_fields_384956?src=t_new_year's,W. C. Fields,https://www.brainyquote.com/authors/w-c-fields-quotes
"I know. I'm lazy. But I made myself a New Years resolution that I would write myself something really special. Which means I have 'til December, right?",https://www.brainyquote.com/quotes/catherine_ohara_411668?src=t_new_year's,Catherine O'Hara,https://www.brainyquote.com/authors/catherine-ohara-quotes
I doubt if you can have a truly wild party without liquor.,https://www.brainyquote.com/quotes/carl_sandburg_281331?src=t_new_year's,Carl Sandburg,https://www.brainyquote.com/authors/carl-sandburg-quotes
"Dinner was made for eating, not for talking.",https://www.brainyquote.com/quotes/william_makepeace_thacker_378643?src=t_new_year's,William Makepeace Thackeray,https://www.brainyquote.com/authors/william-makepeace-thacker-quotes
"I have no way of knowing how people really feel, but the vast majority of those I meet couldn't be nicer. Every once in a while someone barks at me. My New Year's resolution is not to bark back.",https://www.brainyquote.com/quotes/tucker_carlson_197094?src=t_new_year's,Tucker Carlson,https://www.brainyquote.com/authors/tucker-carlson-quotes
Good parties create a temporary youthfulness.,https://www.brainyquote.com/quotes/mason_cooley_395380?src=t_new_year's,Mason Cooley,https://www.brainyquote.com/authors/mason-cooley-quotes
"If you are young and you drink a great deal it will spoil your health, slow your mind, make you fat - in other words, turn you into an adult.",https://www.brainyquote.com/quotes/p_j_orourke_103970?src=t_new_year's,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
"To be an ideal guest, stay at home.",https://www.brainyquote.com/quotes/e_w_howe_152803?src=t_new_year's,E. W. Howe,https://www.brainyquote.com/authors/e-w-howe-quotes
What is there more kindly than the feeling between host and guest?,https://www.brainyquote.com/quotes/aeschylus_383588?src=t_new_year's,Aeschylus,https://www.brainyquote.com/authors/aeschylus-quotes
I don't even drink! I can't stand the taste of alcohol. Every New Year's Eve I try one drink and every time it makes me feel sick. So I don't touch booze - I'm always the designated driver.,https://www.brainyquote.com/quotes/kim_kardashian_412642?src=t_new_year's,Kim Kardashian,https://www.brainyquote.com/authors/kim-kardashian-quotes
Dick Clark will be truly missed. We will carry on his legacy every New Year's Eve.,https://www.brainyquote.com/quotes/fergie_488150?src=t_new_year's,Fergie,https://www.brainyquote.com/authors/fergie-quotes
My New Year's resolution is to stick to a good workout plan that will keep me healthy and happy.,https://www.brainyquote.com/quotes/james_lafferty_410185?src=t_new_year's,James Lafferty,https://www.brainyquote.com/authors/james-lafferty-quotes
My parents used to throw great New Year's Eve parties. They invited such an eclectic mix of showbiz people. All those cool people were always hanging out at our apartment.,https://www.brainyquote.com/quotes/ben_stiller_327301?src=t_new_year's,Ben Stiller,https://www.brainyquote.com/authors/ben-stiller-quotes
